level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
cohort,A,all,all,episode,recalibrated,euclidean,1,16000,532,15468,527,5,3900,11568,0.9906015037593985,0.252133436772692,0.11904224079512085
cohort,A,all,all,episode,recalibrated,euclidean,2,16000,532,15468,527,5,3878,11590,0.9906015037593985,0.25071114559089736,0.11963677639046538
cohort,A,all,all,episode,recalibrated,euclidean,3,16000,532,15468,528,4,3866,11602,0.9924812030075187,0.2499353504008275,0.12016385980883022
cohort,A,all,all,episode,recalibrated,euclidean,4,16000,532,15468,526,6,3800,11668,0.9887218045112782,0.2456684768554435,0.12159038372630605
cohort,A,all,all,episode,recalibrated,euclidean,5,16000,532,15468,526,6,3762,11706,0.9887218045112782,0.24321179208688906,0.1226679104477612
cohort,A,all,all,episode,recalibrated,euclidean,6,16000,532,15468,526,6,3734,11734,0.9887218045112782,0.24140160331005947,0.12347417840375587
cohort,A,all,all,episode,recalibrated,euclidean,7,16000,532,15468,526,6,3690,11778,0.9887218045112782,0.23855702094647013,0.1247628083491461
cohort,A,all,all,episode,recalibrated,euclidean,8,16000,532,15468,526,6,3652,11816,0.9887218045112782,0.2361003361779157,0.12589755864049784
cohort,A,all,all,episode,recalibrated,euclidean,9,16000,532,15468,526,6,3615,11853,0.9887218045112782,0.23370830100853374,0.12702245834339532
cohort,A,all,all,episode,recalibrated,euclidean,10,16000,532,15468,525,7,3603,11865,0.9868421052631579,0.23293250581846392,0.12718023255813954
cohort,A,all,all,episode,recalibrated,euclidean,20,16000,532,15468,522,10,3433,12035,0.981203007518797,0.22194207395914145,0.13198482932996208
cohort,A,all,all,episode,recalibrated,cosine,1,16000,532,15468,116,416,1513,13955,0.21804511278195488,0.09781484354797,0.07120933087783916
cohort,A,all,all,episode,recalibrated,cosine,2,16000,532,15468,107,425,1499,13969,0.20112781954887218,0.0969097491595552,0.06662515566625156
cohort,A,all,all,episode,recalibrated,cosine,3,16000,532,15468,100,432,1456,14012,0.18796992481203006,0.09412981639513834,0.06426735218508997
cohort,A,all,all,episode,recalibrated,cosine,4,16000,532,15468,101,431,1441,14027,0.18984962406015038,0.09316007240755107,0.0654993514915694
cohort,A,all,all,episode,recalibrated,cosine,5,16000,532,15468,101,431,1436,14032,0.18984962406015038,0.09283682441168865,0.06571242680546518
cohort,A,all,all,episode,recalibrated,cosine,6,16000,532,15468,101,431,1425,14043,0.18984962406015038,0.09212567882079131,0.06618610747051114
cohort,A,all,all,episode,recalibrated,cosine,7,16000,532,15468,99,433,1431,14037,0.18609022556390978,0.09251357641582622,0.06470588235294118
cohort,A,all,all,episode,recalibrated,cosine,8,16000,532,15468,99,433,1433,14035,0.18609022556390978,0.09264287561417119,0.06462140992167102
cohort,A,all,all,episode,recalibrated,cosine,9,16000,532,15468,97,435,1428,14040,0.18233082706766918,0.09231962761830877,0.06360655737704918
cohort,A,all,all,episode,recalibrated,cosine,10,16000,532,15468,96,436,1420,14048,0.18045112781954886,0.09180243082492888,0.0633245382585752
cohort,A,all,all,episode,recalibrated,cosine,20,16000,532,15468,90,442,1383,14085,0.16917293233082706,0.08941039565554694,0.06109979633401222
cohort,A,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,1,16000,532,15468,443,89,2154,13314,0.8327067669172933,0.13925523661753297,0.1705814401232191
cohort,A,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,2,16000,532,15468,457,75,2286,13182,0.8590225563909775,0.147788983708301,0.16660590594239882
cohort,A,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,3,16000,532,15468,480,52,2367,13101,0.9022556390977443,0.1530256012412723,0.16859852476290832
cohort,A,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,4,16000,532,15468,484,48,2526,12942,0.9097744360902256,0.16330488750969743,0.16079734219269104
