level,cohort,suite,task,method,k,failure,episodes,scorable,p00,p10,p25,p50,p75,p90,p100
all,all,all,all,euclidean,1,False,30904,30630,0.16010776686483064,0.3776275845069885,0.44795787054068875,0.5572993749795958,0.747431528771936,1.0265005948904196,8.595965694330033
all,all,all,all,euclidean,2,False,30904,30630,0.2020578043242483,0.38135815585350447,0.44768209334214293,0.5539705357539016,0.7455995015642669,1.010901006981764,8.391631991332025
all,all,all,all,euclidean,3,False,30904,30630,0.20360626010649385,0.38208094420887756,0.44560381644288716,0.5503358874712144,0.7410443437238304,1.0098640131087901,8.163744264113877
all,all,all,all,euclidean,4,False,30904,30630,0.21726374242328822,0.3837295960441642,0.44613939537356995,0.5483960025475263,0.735922670390811,1.0048039783179348,8.080724141020962
all,all,all,all,euclidean,5,False,30904,30630,0.22396495320302054,0.3830249718955797,0.4452215485404364,0.5446792398184483,0.7277568674586996,1.0021690951746278,8.012015859619487
all,all,all,all,euclidean,6,False,30904,30630,0.2229972358201743,0.3827595605270507,0.44418483574621714,0.5421269335547585,0.7240680214798034,1.0000135061709787,7.939605491517229
all,all,all,all,euclidean,7,False,30904,30630,0.22257798995508699,0.3830751575902815,0.4442313547313096,0.541993034857168,0.7243593200008014,1.0004612353814581,7.883947116221077
all,all,all,all,euclidean,8,False,30904,30630,0.22341523612540104,0.38350305148518016,0.4436053912268707,0.5397737392002226,0.7224160212052125,0.9969174448860955,7.836453227025957
all,all,all,all,euclidean,9,False,30904,30630,0.22433693011596162,0.38343730197990344,0.4414639155340148,0.5372903775971021,0.7210832680695686,0.9930929633553653,7.785484738950947
all,all,all,all,euclidean,10,False,30904,30630,0.22471123532942475,0.38285202075134617,0.43973115481868186,0.5345875811755445,0.7198088011929482,0.9900226369408119,7.7427537891691856
all,all,all,all,euclidean,20,False,30904,30630,0.21925566577427563,0.3616246873185516,0.4149412672630657,0.5135649196772907,0.7102090060083317,0.9705831614639143,7.322011070114002
all,all,all,all,euclidean,1,True,1096,1096,0.49968665334418144,0.9942876247554877,1.2484947939094733,1.7159250225357479,2.9805972019292266,5.940046906752149,9.806440895353509
all,all,all,all,euclidean,2,True,1096,1096,0.5014791477092377,1.008105905927088,1.2869552656602417,1.7187629523851815,2.932370110147061,5.881809815242842,9.538131414650572
all,all,all,all,euclidean,3,True,1096,1096,0.5198251550949767,1.0318967340137557,1.3415687456585927,1.8327406839065863,2.901672208297998,5.736433775604905,9.274947289978456
all,all,all,all,euclidean,4,True,1096,1096,0.5375239696710032,1.0498298819900604,1.373171593515752,1.9436288946357199,2.872305249168863,5.628195272001696,9.167250939243665
all,all,all,all,euclidean,5,True,1096,1096,0.5467955566366925,1.0652540697164774,1.4055224075633048,1.9919518826179199,2.894785012482111,5.3206797773338526,9.089248562733776
all,all,all,all,euclidean,6,True,1096,1096,0.550726834996347,1.0749662116761889,1.430730058374081,2.0371366995199205,2.8763341437652254,5.210518208710636,9.006332939222906
all,all,all,all,euclidean,7,True,1096,1096,0.5513305027697895,1.0757891790383793,1.4443666442854888,2.060989908995076,2.877482217837536,5.166835678018056,8.943163019362766
all,all,all,all,euclidean,8,True,1096,1096,0.551458557691463,1.0746066713550428,1.4452439708593625,2.063590671095264,2.898713496595697,5.138583329891755,8.885319168290632
all,all,all,all,euclidean,9,True,1096,1096,0.5424778228296059,1.0657464345498837,1.4428319357554198,2.059028003211846,2.8876803015588814,5.110038530223857,8.81898461532897
all,all,all,all,euclidean,10,True,1096,1096,0.5336394363753149,1.0557577153446984,1.4369380749282965,2.053384126067053,2.879886544446391,5.080126254112252,8.769026639335728
all,all,all,all,euclidean,20,True,1096,1096,0.4551462540467882,0.9672715284284219,1.3620459495619461,1.9764069369010118,2.688282514504345,4.883301887313767,8.29705563307494
cohort,A,all,all,euclidean,1,False,15468,15331,0.16010776686483064,0.37763527647799805,0.4478772409722269,0.55786032316193,0.743233508748012,1.0131304438170408,3.738144828846467
cohort,A,all,all,euclidean,2,False,15468,15331,0.2020578043242483,0.3819617801384328,0.44810717571603753,0.5546546264811768,0.7411675712699816,1.0038552979853312,3.7513590869871276
cohort,A,all,all,euclidean,3,False,15468,15331,0.20360626010649385,0.3822054293008782,0.4455033182624857,0.5513907517254033,0.7372630523953574,1.0011775009656763,3.7355435962186623
cohort,A,all,all,euclidean,4,False,15468,15331,0.21726374242328822,0.3839598073112596,0.4458984217355583,0.5489531832144279,0.7325737751760325,0.9973071024404495,3.6847086420745967
cohort,A,all,all,euclidean,5,False,15468,15331,0.22396495320302054,0.38237461395806394,0.4453644252460468,0.5450950065148792,0.7248158830950207,0.9932776195145326,3.6310375384548395
cohort,A,all,all,euclidean,6,False,15468,15331,0.22973593952643698,0.3824001258529215,0.44444935066712055,0.5425567097887377,0.7203387838692213,0.9923016673722928,3.58362569260368
cohort,A,all,all,euclidean,7,False,15468,15331,0.23494373632795051,0.3830962783836457,0.444523334020839,0.54236570515128,0.7203476703429763,0.9935552430074153,3.5745189359667155
cohort,A,all,all,euclidean,8,False,15468,15331,0.2388322080815503,0.38348796462934437,0.4439080262653079,0.5405710288233575,0.718874370766324,0.9907851907352573,3.569505216089883
cohort,A,all,all,euclidean,9,False,15468,15331,0.2406505054610725,0.3836039006477441,0.4420812887584167,0.5377771808522467,0.7175667668289214,0.9855098121230144,3.566271608759718
cohort,A,all,all,euclidean,10,False,15468,15331,0.24204762145006398,0.38289120726460407,0.4403325984395732,0.5348116577468615,0.716524182077851,0.9824036300366762,3.5620968214201403
cohort,A,all,all,euclidean,20,False,15468,15331,0.21925566577427563,0.3610208448006435,0.41511249853167026,0.5133517658801579,0.7064951375754476,0.9632478799159033,3.4092281678604994
cohort,A,all,all,euclidean,1,True,532,532,0.5984070870189584,0.9937071360873551,1.2451017045745232,1.7076051756659552,3.1369141375942875,5.901082371932143,9.33364282198852
cohort,A,all,all,euclidean,2,True,532,532,0.6135759179419115,1.0073279551097956,1.278993471970948,1.7166802876153886,3.0352478841692556,5.930893470337368,8.975548029123683
cohort,A,all,all,euclidean,3,True,532,532,0.5844301594407233,1.0330969338171239,1.334790226434222,1.826545230160256,2.9988751180033666,5.824530995507634,8.68056315783254
cohort,A,all,all,euclidean,4,True,532,532,0.5806592009177791,1.0736791140701096,1.3719587028114388,1.9378063817026039,3.000622276363223,5.626632999852482,8.585664049096382
cohort,A,all,all,euclidean,5,True,532,532,0.5786390794849771,1.073556488973136,1.4012533686587545,1.993600366499361,2.986882785013352,5.305473286322915,8.512579473616194
cohort,A,all,all,euclidean,6,True,532,532,0.5720960682074459,1.0826300414430612,1.4340453902135928,2.032831907347423,2.958220088434185,5.236245588199511,8.4369846416616
cohort,A,all,all,euclidean,7,True,532,532,0.5661741218612462,1.0852566396957022,1.4443666442854888,2.055649428973239,2.947381999620298,5.185855091900408,8.37843240114561
cohort,A,all,all,euclidean,8,True,532,532,0.5596743217835541,1.081717790276523,1.4421530566716703,2.0623602763081363,2.949943900906245,5.156311449170594,8.324858195789417
cohort,A,all,all,euclidean,9,True,532,532,0.5532982128588367,1.084648643933371,1.4343303629520143,2.0556643054913635,2.945599232308191,5.132382376100565,8.265688817261916
cohort,A,all,all,euclidean,10,True,532,532,0.5497775319621464,1.074238266212676,1.4191204793299965,2.0503106365689305,2.934175969604157,5.102250274087799,8.219820090187484
cohort,A,all,all,euclidean,20,True,532,532,0.5335626847451754,0.9945510449151763,1.357251947246578,1.9802321325713588,2.7379314121388703,4.892821828250008,7.788249524432144
cohort,B,all,all,euclidean,1,False,15436,15299,0.18670847372684846,0.37756844647098103,0.44803615164151217,0.5567694985368535,0.7529533390682679,1.0377251737223598,8.595965694330033
cohort,B,all,all,euclidean,2,False,15436,15299,0.22684473148281717,0.38095914931570857,0.44729560107878086,0.5527955380069944,0.7494114032485666,1.0226877903304865,8.391631991332025
cohort,B,all,all,euclidean,3,False,15436,15299,0.23625092724086333,0.38182370563518675,0.44573448953566297,0.5495508265028699,0.7461497926212637,1.0185740655872066,8.163744264113877
cohort,B,all,all,euclidean,4,False,15436,15299,0.23931655462866414,0.38365299666899855,0.4464018797764141,0.5481257670398061,0.7393433037135099,1.0131085215062112,8.080724141020962
cohort,B,all,all,euclidean,5,False,15436,15299,0.23140668097473208,0.3836375450473813,0.4450429066973305,0.5440545928767576,0.7305102089188208,1.0087618899277928,8.012015859619487
cohort,B,all,all,euclidean,6,False,15436,15299,0.2229972358201743,0.3830337564233971,0.44388438001817915,0.5417148456437056,0.7272877500433281,1.0085599391620117,7.939605491517229
cohort,B,all,all,euclidean,7,False,15436,15299,0.22257798995508699,0.3830343331354296,0.443773067585763,0.5415705208527541,0.7281652093173941,1.0077602261183967,7.883947116221077
cohort,B,all,all,euclidean,8,False,15436,15299,0.22341523612540104,0.3836189539868364,0.44329500353330153,0.5393388700833359,0.7260202640039743,1.003254807987356,7.836453227025957
cohort,B,all,all,euclidean,9,False,15436,15299,0.22433693011596162,0.38315343562886717,0.4409235279158184,0.5369298278385009,0.7246377022365182,0.9988387671570634,7.785484738950947
cohort,B,all,all,euclidean,10,False,15436,15299,0.22471123532942475,0.38281475560768446,0.4389278637083437,0.5341967174381613,0.7234199302864117,0.9960254908489524,7.7427537891691856
cohort,B,all,all,euclidean,20,False,15436,15299,0.22355347870616363,0.362226207142684,0.4148010801626111,0.5137294814511884,0.7135240015022739,0.9753734985629308,7.322011070114002
cohort,B,all,all,euclidean,1,True,564,564,0.49968665334418144,0.9965402388530485,1.2542992207018653,1.7215078272800843,2.87581657515733,5.962821420657333,9.806440895353509
cohort,B,all,all,euclidean,2,True,564,564,0.5014791477092377,1.0108415884491107,1.2905675936414087,1.72068633971793,2.8037861357476626,5.816493563477453,9.538131414650572
cohort,B,all,all,euclidean,3,True,564,564,0.5198251550949767,1.0321525639595202,1.3528860344875664,1.8510521117128882,2.7796762927508216,5.659758149261764,9.274947289978456
cohort,B,all,all,euclidean,4,True,564,564,0.5375239696710032,1.041440252603008,1.3741350356965394,1.9461160492294622,2.81804499946915,5.584234613371418,9.167250939243665
cohort,B,all,all,euclidean,5,True,564,564,0.5467955566366925,1.0524628416749366,1.4104438573567852,1.9914273544060381,2.8099727311630702,5.38355544109483,9.089248562733776
cohort,B,all,all,euclidean,6,True,564,564,0.550726834996347,1.057412300535027,1.4243886677910937,2.0505624805393823,2.781641743138517,5.165782829063617,9.006332939222906
cohort,B,all,all,euclidean,7,True,564,564,0.5513305027697895,1.0663058463400152,1.4455592832355129,2.0651827012845914,2.7811117229151203,5.118414041799512,8.943163019362766
cohort,B,all,all,euclidean,8,True,564,564,0.551458557691463,1.0688851469218605,1.4474927997792595,2.063590671095264,2.791135491489576,5.088365838736298,8.885319168290632
cohort,B,all,all,euclidean,9,True,564,564,0.5424778228296059,1.0564964617521087,1.4490480603529106,2.0631598755545175,2.794986460230348,5.055924750166642,8.81898461532897
