level,cohort,suite,task,method,failure,k_count,episodes,count,baseline_k20_alarms,baseline_alarms_with_this_k_count
all,all,all,all,euclidean,False,0,30904,27285,2754,36
all,all,all,all,euclidean,False,1,30904,215,2754,14
all,all,all,all,euclidean,False,2,30904,131,2754,12
all,all,all,all,euclidean,False,3,30904,85,2754,23
all,all,all,all,euclidean,False,4,30904,75,2754,16
all,all,all,all,euclidean,False,5,30904,53,2754,13
all,all,all,all,euclidean,False,6,30904,65,2754,23
all,all,all,all,euclidean,False,7,30904,90,2754,28
all,all,all,all,euclidean,False,8,30904,98,2754,42
all,all,all,all,euclidean,False,9,30904,117,2754,67
all,all,all,all,euclidean,False,10,30904,2690,2754,2480
all,all,all,all,euclidean,True,0,1096,66,977,1
all,all,all,all,euclidean,True,1,1096,4,977,0
all,all,all,all,euclidean,True,2,1096,4,977,0
all,all,all,all,euclidean,True,3,1096,2,977,0
all,all,all,all,euclidean,True,4,1096,1,977,0
all,all,all,all,euclidean,True,5,1096,1,977,0
all,all,all,all,euclidean,True,6,1096,5,977,1
all,all,all,all,euclidean,True,7,1096,6,977,2
all,all,all,all,euclidean,True,8,1096,22,977,16
all,all,all,all,euclidean,True,9,1096,23,977,16
all,all,all,all,euclidean,True,10,1096,962,977,941
all,all,all,all,cosine,False,0,30904,30066,672,43
all,all,all,all,cosine,False,1,30904,46,672,7
all,all,all,all,cosine,False,2,30904,38,672,10
all,all,all,all,cosine,False,3,30904,42,672,15
all,all,all,all,cosine,False,4,30904,22,672,7
all,all,all,all,cosine,False,5,30904,22,672,9
all,all,all,all,cosine,False,6,30904,28,672,18
all,all,all,all,cosine,False,7,30904,40,672,26
all,all,all,all,cosine,False,8,30904,55,672,43
all,all,all,all,cosine,False,9,30904,73,672,59
all,all,all,all,cosine,False,10,30904,472,672,435
all,all,all,all,cosine,True,0,1096,1052,38,5
all,all,all,all,cosine,True,1,1096,1,38,0
all,all,all,all,cosine,True,2,1096,1,38,0
all,all,all,all,cosine,True,3,1096,2,38,1
all,all,all,all,cosine,True,4,1096,3,38,1
all,all,all,all,cosine,True,5,1096,0,38,0
all,all,all,all,cosine,True,6,1096,2,38,1
all,all,all,all,cosine,True,7,1096,1,38,1
all,all,all,all,cosine,True,8,1096,4,38,4
all,all,all,all,cosine,True,9,1096,4,38,3
all,all,all,all,cosine,True,10,1096,26,38,22
all,all,all,all,cosine_neighbors_euclidean_score,False,0,30904,28369,1967,239
all,all,all,all,cosine_neighbors_euclidean_score,False,1,30904,421,1967,64
all,all,all,all,cosine_neighbors_euclidean_score,False,2,30904,226,1967,65
all,all,all,all,cosine_neighbors_euclidean_score,False,3,30904,165,1967,60
all,all,all,all,cosine_neighbors_euclidean_score,False,4,30904,116,1967,69
all,all,all,all,cosine_neighbors_euclidean_score,False,5,30904,121,1967,81
all,all,all,all,cosine_neighbors_euclidean_score,False,6,30904,116,1967,86
all,all,all,all,cosine_neighbors_euclidean_score,False,7,30904,170,1967,146
all,all,all,all,cosine_neighbors_euclidean_score,False,8,30904,190,1967,168
all,all,all,all,cosine_neighbors_euclidean_score,False,9,30904,165,1967,153
all,all,all,all,cosine_neighbors_euclidean_score,False,10,30904,845,1967,836
all,all,all,all,cosine_neighbors_euclidean_score,True,0,1096,190,910,28
all,all,all,all,cosine_neighbors_euclidean_score,True,1,1096,32,910,20
all,all,all,all,cosine_neighbors_euclidean_score,True,2,1096,18,910,13
all,all,all,all,cosine_neighbors_euclidean_score,True,3,1096,17,910,16
all,all,all,all,cosine_neighbors_euclidean_score,True,4,1096,18,910,15
all,all,all,all,cosine_neighbors_euclidean_score,True,5,1096,35,910,35
all,all,all,all,cosine_neighbors_euclidean_score,True,6,1096,38,910,37
all,all,all,all,cosine_neighbors_euclidean_score,True,7,1096,98,910,97
all,all,all,all,cosine_neighbors_euclidean_score,True,8,1096,72,910,71
all,all,all,all,cosine_neighbors_euclidean_score,True,9,1096,49,910,49
all,all,all,all,cosine_neighbors_euclidean_score,True,10,1096,529,910,529
all,all,all,all,euclidean_neighbors_cosine_score,False,0,30904,29902,642,45
all,all,all,all,euclidean_neighbors_cosine_score,False,1,30904,179,642,19
all,all,all,all,euclidean_neighbors_cosine_score,False,2,30904,104,642,29
all,all,all,all,euclidean_neighbors_cosine_score,False,3,30904,71,642,22
all,all,all,all,euclidean_neighbors_cosine_score,False,4,30904,51,642,20
all,all,all,all,euclidean_neighbors_cosine_score,False,5,30904,41,642,25
all,all,all,all,euclidean_neighbors_cosine_score,False,6,30904,41,642,26
all,all,all,all,euclidean_neighbors_cosine_score,False,7,30904,60,642,41
all,all,all,all,euclidean_neighbors_cosine_score,False,8,30904,58,642,45
all,all,all,all,euclidean_neighbors_cosine_score,False,9,30904,106,642,94
all,all,all,all,euclidean_neighbors_cosine_score,False,10,30904,291,642,276
all,all,all,all,euclidean_neighbors_cosine_score,True,0,1096,1054,30,4
all,all,all,all,euclidean_neighbors_cosine_score,True,1,1096,5,30,1
all,all,all,all,euclidean_neighbors_cosine_score,True,2,1096,2,30,0
all,all,all,all,euclidean_neighbors_cosine_score,True,3,1096,4,30,2
all,all,all,all,euclidean_neighbors_cosine_score,True,4,1096,3,30,2
all,all,all,all,euclidean_neighbors_cosine_score,True,5,1096,4,30,2
all,all,all,all,euclidean_neighbors_cosine_score,True,6,1096,2,30,0
all,all,all,all,euclidean_neighbors_cosine_score,True,7,1096,4,30,3
all,all,all,all,euclidean_neighbors_cosine_score,True,8,1096,2,30,1
all,all,all,all,euclidean_neighbors_cosine_score,True,9,1096,2,30,1
all,all,all,all,euclidean_neighbors_cosine_score,True,10,1096,14,30,14
all,all,all,all,cosine_without_center,False,0,30904,29414,1125,32
all,all,all,all,cosine_without_center,False,1,30904,87,1125,4
all,all,all,all,cosine_without_center,False,2,30904,55,1125,9
all,all,all,all,cosine_without_center,False,3,30904,56,1125,11
all,all,all,all,cosine_without_center,False,4,30904,30,1125,10
all,all,all,all,cosine_without_center,False,5,30904,41,1125,23
all,all,all,all,cosine_without_center,False,6,30904,53,1125,29
all,all,all,all,cosine_without_center,False,7,30904,61,1125,41
all,all,all,all,cosine_without_center,False,8,30904,66,1125,40
all,all,all,all,cosine_without_center,False,9,30904,79,1125,64
all,all,all,all,cosine_without_center,False,10,30904,962,1125,862
all,all,all,all,cosine_without_center,True,0,1096,896,158,2
all,all,all,all,cosine_without_center,True,1,1096,7,158,2
all,all,all,all,cosine_without_center,True,2,1096,4,158,1
all,all,all,all,cosine_without_center,True,3,1096,4,158,2
all,all,all,all,cosine_without_center,True,4,1096,7,158,2
all,all,all,all,cosine_without_center,True,5,1096,4,158,2
all,all,all,all,cosine_without_center,True,6,1096,6,158,3
all,all,all,all,cosine_without_center,True,7,1096,9,158,6
all,all,all,all,cosine_without_center,True,8,1096,9,158,7
all,all,all,all,cosine_without_center,True,9,1096,13,158,10
all,all,all,all,cosine_without_center,True,10,1096,137,158,121
cohort,A,all,all,euclidean,False,0,15468,13693,1349,16
cohort,A,all,all,euclidean,False,1,15468,112,1349,7
cohort,A,all,all,euclidean,False,2,15468,75,1349,8
cohort,A,all,all,euclidean,False,3,15468,42,1349,17
cohort,A,all,all,euclidean,False,4,15468,37,1349,10
cohort,A,all,all,euclidean,False,5,15468,20,1349,5
cohort,A,all,all,euclidean,False,6,15468,26,1349,7
