level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,episode,recalibrated,euclidean,1,32000,1096,30904,1084,12,7946,22958,0.9890510948905109,0.25711881957028215,0.12004429678848283
all,all,all,all,episode,recalibrated,euclidean,2,32000,1096,30904,1084,12,7881,23023,0.9890510948905109,0.2550155319699715,0.12091466815393195
all,all,all,all,episode,recalibrated,euclidean,3,32000,1096,30904,1084,12,7840,23064,0.9890510948905109,0.2536888428682371,0.1214701927386822
all,all,all,all,episode,recalibrated,euclidean,4,32000,1096,30904,1081,15,7713,23191,0.9863138686131386,0.24957934247993788,0.1229247214009552
all,all,all,all,episode,recalibrated,euclidean,5,32000,1096,30904,1081,15,7635,23269,0.9863138686131386,0.2470553973595651,0.12402478201009637
all,all,all,all,episode,recalibrated,euclidean,6,32000,1096,30904,1081,15,7578,23326,0.9863138686131386,0.24521097592544655,0.12484120568194941
all,all,all,all,episode,recalibrated,euclidean,7,32000,1096,30904,1081,15,7491,23413,0.9863138686131386,0.24239580636810767,0.12610825944937004
all,all,all,all,episode,recalibrated,euclidean,8,32000,1096,30904,1081,15,7422,23482,0.9863138686131386,0.24016308568470102,0.12713160061154888
all,all,all,all,episode,recalibrated,euclidean,9,32000,1096,30904,1081,15,7334,23570,0.9863138686131386,0.23731555785658814,0.12846108140225787
all,all,all,all,episode,recalibrated,euclidean,10,32000,1096,30904,1080,16,7305,23599,0.9854014598540146,0.23637716800414185,0.12880143112701253
all,all,all,all,episode,recalibrated,euclidean,20,32000,1096,30904,1076,20,6941,23963,0.9817518248175182,0.2245987574424023,0.1342147935636772
all,all,all,all,episode,recalibrated,cosine,1,32000,1096,30904,244,852,3006,27898,0.22262773722627738,0.09726896194667357,0.07507692307692308
all,all,all,all,episode,recalibrated,cosine,2,32000,1096,30904,230,866,2980,27924,0.20985401459854014,0.09642764690654931,0.07165109034267912
all,all,all,all,episode,recalibrated,cosine,3,32000,1096,30904,218,878,2918,27986,0.1989051094890511,0.0944214341185607,0.06951530612244898
all,all,all,all,episode,recalibrated,cosine,4,32000,1096,30904,221,875,2893,28011,0.20164233576642335,0.09361247734921045,0.07096981374438022
all,all,all,all,episode,recalibrated,cosine,5,32000,1096,30904,219,877,2850,28054,0.19981751824817517,0.09222107170592804,0.07135874877810362
all,all,all,all,episode,recalibrated,cosine,6,32000,1096,30904,221,875,2845,28059,0.20164233576642335,0.09205928035205799,0.0720808871493803
all,all,all,all,episode,recalibrated,cosine,7,32000,1096,30904,217,879,2835,28069,0.197992700729927,0.09173569764431788,0.07110091743119266
all,all,all,all,episode,recalibrated,cosine,8,32000,1096,30904,217,879,2845,28059,0.197992700729927,0.09205928035205799,0.07086871325930764
all,all,all,all,episode,recalibrated,cosine,9,32000,1096,30904,216,880,2829,28075,0.19708029197080293,0.09154154801967383,0.07093596059113301
all,all,all,all,episode,recalibrated,cosine,10,32000,1096,30904,212,884,2816,28088,0.19343065693430658,0.0911208904996117,0.07001321003963012
all,all,all,all,episode,recalibrated,cosine,20,32000,1096,30904,199,897,2742,28162,0.18156934306569342,0.08872637846233497,0.06766405984359061
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,1,32000,1096,30904,911,185,4300,26604,0.8312043795620438,0.1391405643282423,0.17482249088466706
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,2,32000,1096,30904,939,157,4590,26314,0.8567518248175182,0.14852446285270515,0.16983179598480738
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,3,32000,1096,30904,994,102,4766,26138,0.906934306569343,0.15421951850893087,0.17256944444444444
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,4,32000,1096,30904,1006,90,5075,25829,0.9178832116788321,0.16421822417809992,0.16543331688866963
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,5,32000,1096,30904,1019,77,5100,25804,0.9297445255474452,0.16502718094745017,0.16653047883641117
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,6,32000,1096,30904,1025,71,5164,25740,0.9352189781021898,0.1670981102769868,0.16561641622232995
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,7,32000,1096,30904,1023,73,5145,25759,0.9333941605839416,0.1664833031322806,0.16585603112840466
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,8,32000,1096,30904,1028,68,5189,25715,0.9379562043795621,0.16790706704633704,0.16535306417886442
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,9,32000,1096,30904,1024,72,5197,25707,0.9343065693430657,0.16816593321252912,0.1646037614531426
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,10,32000,1096,30904,1029,67,5379,25525,0.9388686131386861,0.1740551384933989,0.1605805243445693
all,all,all,all,episode,recalibrated,cosine_neighbors_euclidean_score,20,32000,1096,30904,1035,61,5357,25547,0.9443430656934306,0.1733432565363707,0.1619211514392991
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,1,32000,1096,30904,209,887,2946,27958,0.1906934306569343,0.09532746570023298,0.06624405705229794
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,2,32000,1096,30904,184,912,2789,28115,0.1678832116788321,0.09024721718871344,0.0618903464513959
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,3,32000,1096,30904,172,924,2753,28151,0.15693430656934307,0.08908231944084909,0.05880341880341881
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,4,32000,1096,30904,156,940,2772,28132,0.14233576642335766,0.08969712658555527,0.05327868852459016
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,5,32000,1096,30904,149,947,2831,28073,0.13594890510948904,0.09160626456122185,0.05
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,6,32000,1096,30904,146,950,2822,28082,0.1332116788321168,0.09131504012425576,0.04919137466307277
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,7,32000,1096,30904,143,953,2704,28200,0.13047445255474452,0.0874967641729226,0.0502283105022831
all,all,all,all,episode,recalibrated,euclidean_neighbors_cosine_score,8,32000,1096,30904,150,946,2705,28199,0.13686131386861314,0.08752912244369661,0.05253940455341506
