level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,knn20,0,knn20,0.02,False,30904,"[0,25%)",1318,0
all,all,all,all,knn20,0,knn20,0.02,False,30904,"[25,50%)",1318,8
all,all,all,all,knn20,0,knn20,0.02,False,30904,"[50,75%)",1318,448
all,all,all,all,knn20,0,knn20,0.02,False,30904,"[75,100%)",1318,862
all,all,all,all,knn20,0,knn20,0.02,True,1096,"[0,25%)",773,7
all,all,all,all,knn20,0,knn20,0.02,True,1096,"[25,50%)",773,84
all,all,all,all,knn20,0,knn20,0.02,True,1096,"[50,75%)",773,440
all,all,all,all,knn20,0,knn20,0.02,True,1096,"[75,100%)",773,242
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,"[0,25%)",966,0
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,"[25,50%)",966,12
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,"[50,75%)",966,289
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,"[75,100%)",966,665
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,"[0,25%)",727,12
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,"[25,50%)",727,70
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,"[50,75%)",727,342
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,"[75,100%)",727,303
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,"[0,25%)",1082,0
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,"[25,50%)",1082,15
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,"[50,75%)",1082,356
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,"[75,100%)",1082,711
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,"[0,25%)",727,11
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,"[25,50%)",727,71
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,"[50,75%)",727,342
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,"[75,100%)",727,303
