method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,1.7447885274887085,556,546,10
knn20,0,knn20,episode,0.03,1.320591926574707,556,541,15
knn20,0,knn20,episode,0.05,1.1950372457504272,556,530,26
knn20,0,knn20,episode,0.1,1.0491962432861328,556,502,54
knn20,0,knn20,task_init,0.02,3.0058422088623047,70,70,0
knn20,0,knn20,task_init,0.03,2.3738603591918945,70,69,1
knn20,0,knn20,task_init,0.05,2.1294748783111572,70,68,2
knn20,0,knn20,task_init,0.1,1.320591926574707,70,64,6
norm_only,0,norm_only,episode,0.02,5.7221856117248535,556,546,10
norm_only,0,norm_only,episode,0.03,5.503779888153076,556,541,15
norm_only,0,norm_only,episode,0.05,5.108241558074951,556,530,26
norm_only,0,norm_only,episode,0.1,4.6068267822265625,556,502,54
norm_only,0,norm_only,task_init,0.02,6.5808820724487305,70,70,0
norm_only,0,norm_only,task_init,0.03,6.2933573722839355,70,69,1
norm_only,0,norm_only,task_init,0.05,6.094091415405273,70,68,2
norm_only,0,norm_only,task_init,0.1,5.561480522155762,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,5.539809703826904,556,546,10
c1_centroid_distance,1,centroid_distance,episode,0.03,5.298086643218994,556,541,15
c1_centroid_distance,1,centroid_distance,episode,0.05,4.998205661773682,556,530,26
c1_centroid_distance,1,centroid_distance,episode,0.1,4.572887897491455,556,502,54
c1_centroid_distance,1,centroid_distance,task_init,0.02,6.641025543212891,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,6.031537055969238,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,5.832385540008545,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,5.528081893920898,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.2488573789596558,556,546,10
c1_assigned_radius,1,assigned_radius,episode,0.03,1.1943649053573608,556,541,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.126761794090271,556,530,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.0308810472488403,556,502,54
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.497107982635498,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.3597091436386108,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.3148136138916016,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.2462135553359985,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.2488573789596558,556,546,10
c1_union_radius,1,union_radius,episode,0.03,1.1943649053573608,556,541,15
c1_union_radius,1,union_radius,episode,0.05,1.126761794090271,556,530,26
c1_union_radius,1,union_radius,episode,0.1,1.0308810472488403,556,502,54
c1_union_radius,1,union_radius,task_init,0.02,1.497107982635498,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.3597091436386108,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.3148136138916016,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.2462135553359985,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,3.8248860836029053,556,546,10
c2_centroid_distance,2,centroid_distance,episode,0.03,3.651578664779663,556,541,15
c2_centroid_distance,2,centroid_distance,episode,0.05,3.4409255981445312,556,530,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.0857582092285156,556,502,54
c2_centroid_distance,2,centroid_distance,task_init,0.02,4.947665691375732,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,4.731277942657471,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,4.154339790344238,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,3.777113199234009,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.4365466833114624,556,546,10
c2_assigned_radius,2,assigned_radius,episode,0.03,1.336798071861267,556,541,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.2829283475875854,556,530,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.1345151662826538,556,502,54
c2_assigned_radius,2,assigned_radius,task_init,0.02,1.860895037651062,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.7795082330703735,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.5625126361846924,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.3583608865737915,70,64,6
c2_union_radius,2,union_radius,episode,0.02,1.4365466833114624,556,546,10
c2_union_radius,2,union_radius,episode,0.03,1.336798071861267,556,541,15
c2_union_radius,2,union_radius,episode,0.05,1.2829283475875854,556,530,26
c2_union_radius,2,union_radius,episode,0.1,1.1345151662826538,556,502,54
c2_union_radius,2,union_radius,task_init,0.02,1.860895037651062,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,1.7795082330703735,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,1.5444942712783813,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.3583608865737915,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,3.5381550788879395,556,546,10
c4_centroid_distance,4,centroid_distance,episode,0.03,3.2672808170318604,556,541,15
c4_centroid_distance,4,centroid_distance,episode,0.05,2.884019136428833,556,530,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.5594046115875244,556,502,54
c4_centroid_distance,4,centroid_distance,task_init,0.02,4.519144058227539,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,3.938075304031372,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,3.786952495574951,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.4848520755767822,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,1.6154875755310059,556,546,10
c4_assigned_radius,4,assigned_radius,episode,0.03,1.5797300338745117,556,541,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.4004486799240112,556,530,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.2459101676940918,556,502,54
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.4704062938690186,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,2.1527631282806396,70,69,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,1.7388997077941895,70,68,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.5797300338745117,70,64,6
c4_union_radius,4,union_radius,episode,0.02,1.5941046476364136,556,546,10
c4_union_radius,4,union_radius,episode,0.03,1.4580762386322021,556,541,15
c4_union_radius,4,union_radius,episode,0.05,1.3606040477752686,556,530,26
c4_union_radius,4,union_radius,episode,0.1,1.2335608005523682,556,502,54
c4_union_radius,4,union_radius,task_init,0.02,2.2532811164855957,70,70,0
c4_union_radius,4,union_radius,task_init,0.03,1.8813362121582031,70,69,1
c4_union_radius,4,union_radius,task_init,0.05,1.6154875755310059,70,68,2
c4_union_radius,4,union_radius,task_init,0.1,1.4706858396530151,70,64,6
c8_centroid_distance,8,centroid_distance,episode,0.02,2.787770986557007,556,546,10
c8_centroid_distance,8,centroid_distance,episode,0.03,2.6574175357818604,556,541,15
c8_centroid_distance,8,centroid_distance,episode,0.05,2.302858591079712,556,530,26
c8_centroid_distance,8,centroid_distance,episode,0.1,2.094369888305664,556,502,54
