method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,2.8389265537261963,515,506,9
knn20,0,knn20,episode,0.03,2.6353766918182373,515,501,14
knn20,0,knn20,episode,0.05,2.3335700035095215,515,491,24
knn20,0,knn20,episode,0.1,2.03090763092041,515,465,50
knn20,0,knn20,task_init,0.02,6.398590087890625,68,68,0
knn20,0,knn20,task_init,0.03,4.840559482574463,68,67,1
knn20,0,knn20,task_init,0.05,3.875976085662842,68,66,2
knn20,0,knn20,task_init,0.1,2.967848539352417,68,63,5
norm_only,0,norm_only,episode,0.02,9.396918296813965,515,506,9
norm_only,0,norm_only,episode,0.03,9.142716407775879,515,501,14
norm_only,0,norm_only,episode,0.05,8.800275802612305,515,491,24
norm_only,0,norm_only,episode,0.1,7.500967025756836,515,465,50
norm_only,0,norm_only,task_init,0.02,14.33917236328125,68,68,0
norm_only,0,norm_only,task_init,0.03,13.402685165405273,68,67,1
norm_only,0,norm_only,task_init,0.05,10.923628807067871,68,66,2
norm_only,0,norm_only,task_init,0.1,9.524643898010254,68,63,5
c1_centroid_distance,1,centroid_distance,episode,0.02,9.09835433959961,515,506,9
c1_centroid_distance,1,centroid_distance,episode,0.03,8.870468139648438,515,501,14
c1_centroid_distance,1,centroid_distance,episode,0.05,8.520325660705566,515,491,24
c1_centroid_distance,1,centroid_distance,episode,0.1,7.347621440887451,515,465,50
c1_centroid_distance,1,centroid_distance,task_init,0.02,14.061068534851074,68,68,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,13.260089874267578,68,67,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,10.679107666015625,68,66,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,9.219404220581055,68,63,5
c1_assigned_radius,1,assigned_radius,episode,0.02,1.8612381219863892,515,506,9
c1_assigned_radius,1,assigned_radius,episode,0.03,1.814619541168213,515,501,14
c1_assigned_radius,1,assigned_radius,episode,0.05,1.7429914474487305,515,491,24
c1_assigned_radius,1,assigned_radius,episode,0.1,1.503092885017395,515,465,50
c1_assigned_radius,1,assigned_radius,task_init,0.02,2.8764538764953613,68,68,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,2.7125985622406006,68,67,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,2.184610605239868,68,66,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.8860011100769043,68,63,5
c1_union_radius,1,union_radius,episode,0.02,1.8612381219863892,515,506,9
c1_union_radius,1,union_radius,episode,0.03,1.814619541168213,515,501,14
c1_union_radius,1,union_radius,episode,0.05,1.7429914474487305,515,491,24
c1_union_radius,1,union_radius,episode,0.1,1.503092885017395,515,465,50
c1_union_radius,1,union_radius,task_init,0.02,2.8764538764953613,68,68,0
c1_union_radius,1,union_radius,task_init,0.03,2.7125985622406006,68,67,1
c1_union_radius,1,union_radius,task_init,0.05,2.184610605239868,68,66,2
c1_union_radius,1,union_radius,task_init,0.1,1.8860011100769043,68,63,5
c2_centroid_distance,2,centroid_distance,episode,0.02,6.43708610534668,515,506,9
c2_centroid_distance,2,centroid_distance,episode,0.03,5.954528331756592,515,501,14
c2_centroid_distance,2,centroid_distance,episode,0.05,5.521286964416504,515,491,24
c2_centroid_distance,2,centroid_distance,episode,0.1,5.08878231048584,515,465,50
c2_centroid_distance,2,centroid_distance,task_init,0.02,11.194652557373047,68,68,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,10.752562522888184,68,67,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,7.772968769073486,68,66,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,6.7240190505981445,68,63,5
c2_assigned_radius,2,assigned_radius,episode,0.02,1.9143791198730469,515,506,9
c2_assigned_radius,2,assigned_radius,episode,0.03,1.7469491958618164,515,501,14
c2_assigned_radius,2,assigned_radius,episode,0.05,1.65350341796875,515,491,24
c2_assigned_radius,2,assigned_radius,episode,0.1,1.4710758924484253,515,465,50
c2_assigned_radius,2,assigned_radius,task_init,0.02,2.773780345916748,68,68,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,2.6642403602600098,68,67,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,2.2688615322113037,68,66,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.9187593460083008,68,63,5
c2_union_radius,2,union_radius,episode,0.02,1.9143791198730469,515,506,9
c2_union_radius,2,union_radius,episode,0.03,1.7469491958618164,515,501,14
c2_union_radius,2,union_radius,episode,0.05,1.6531075239181519,515,491,24
c2_union_radius,2,union_radius,episode,0.1,1.430047869682312,515,465,50
c2_union_radius,2,union_radius,task_init,0.02,2.773780345916748,68,68,0
c2_union_radius,2,union_radius,task_init,0.03,2.6642403602600098,68,67,1
c2_union_radius,2,union_radius,task_init,0.05,2.2688615322113037,68,66,2
c2_union_radius,2,union_radius,task_init,0.1,1.9187593460083008,68,63,5
c4_centroid_distance,4,centroid_distance,episode,0.02,5.2824811935424805,515,506,9
c4_centroid_distance,4,centroid_distance,episode,0.03,4.852282524108887,515,501,14
c4_centroid_distance,4,centroid_distance,episode,0.05,4.491925239562988,515,491,24
c4_centroid_distance,4,centroid_distance,episode,0.1,4.038819789886475,515,465,50
c4_centroid_distance,4,centroid_distance,task_init,0.02,9.887794494628906,68,68,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,8.448640823364258,68,67,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,5.878009796142578,68,66,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,5.470298767089844,68,63,5
c4_assigned_radius,4,assigned_radius,episode,0.02,1.83822500705719,515,506,9
c4_assigned_radius,4,assigned_radius,episode,0.03,1.6973397731781006,515,501,14
c4_assigned_radius,4,assigned_radius,episode,0.05,1.613088607788086,515,491,24
c4_assigned_radius,4,assigned_radius,episode,0.1,1.5055835247039795,515,465,50
c4_assigned_radius,4,assigned_radius,task_init,0.02,2.52708101272583,68,68,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,2.2092342376708984,68,67,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,2.1592681407928467,68,66,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.83822500705719,68,63,5
c4_union_radius,4,union_radius,episode,0.02,1.6989232301712036,515,506,9
c4_union_radius,4,union_radius,episode,0.03,1.5922085046768188,515,501,14
c4_union_radius,4,union_radius,episode,0.05,1.5355432033538818,515,491,24
c4_union_radius,4,union_radius,episode,0.1,1.4427696466445923,515,465,50
c4_union_radius,4,union_radius,task_init,0.02,2.52708101272583,68,68,0
c4_union_radius,4,union_radius,task_init,0.03,2.2092342376708984,68,67,1
c4_union_radius,4,union_radius,task_init,0.05,2.1592681407928467,68,66,2
c4_union_radius,4,union_radius,task_init,0.1,1.7886605262756348,68,63,5
c8_centroid_distance,8,centroid_distance,episode,0.02,4.530157089233398,515,506,9
c8_centroid_distance,8,centroid_distance,episode,0.03,4.279013633728027,515,501,14
c8_centroid_distance,8,centroid_distance,episode,0.05,3.7957797050476074,515,491,24
c8_centroid_distance,8,centroid_distance,episode,0.1,3.374089479446411,515,465,50
c8_centroid_distance,8,centroid_distance,task_init,0.02,9.22848892211914,68,68,0
c8_centroid_distance,8,centroid_distance,task_init,0.03,6.77157735824585,68,67,1
c8_centroid_distance,8,centroid_distance,task_init,0.05,5.821644306182861,68,66,2
c8_centroid_distance,8,centroid_distance,task_init,0.1,4.706476211547852,68,63,5
c8_assigned_radius,8,assigned_radius,episode,0.02,1.7748143672943115,515,506,9
c8_assigned_radius,8,assigned_radius,episode,0.03,1.580936074256897,515,501,14
c8_assigned_radius,8,assigned_radius,episode,0.05,1.5097299814224243,515,491,24
c8_assigned_radius,8,assigned_radius,episode,0.1,1.3955802917480469,515,465,50
c8_assigned_radius,8,assigned_radius,task_init,0.02,2.778860330581665,68,68,0
c8_assigned_radius,8,assigned_radius,task_init,0.03,2.4183475971221924,68,67,1
c8_assigned_radius,8,assigned_radius,task_init,0.05,2.110585927963257,68,66,2
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.87994384765625,68,63,5
c8_union_radius,8,union_radius,episode,0.02,1.66749906539917,515,506,9
c8_union_radius,8,union_radius,episode,0.03,1.5161772966384888,515,501,14
c8_union_radius,8,union_radius,episode,0.05,1.3868024349212646,515,491,24
c8_union_radius,8,union_radius,episode,0.1,1.2884862422943115,515,465,50
c8_union_radius,8,union_radius,task_init,0.02,2.778860330581665,68,68,0
c8_union_radius,8,union_radius,task_init,0.03,2.3253839015960693,68,67,1
c8_union_radius,8,union_radius,task_init,0.05,2.039041042327881,68,66,2
c8_union_radius,8,union_radius,task_init,0.1,1.7007887363433838,68,63,5
c16_centroid_distance,16,centroid_distance,episode,0.02,3.907520055770874,515,506,9
c16_centroid_distance,16,centroid_distance,episode,0.03,3.624361038208008,515,501,14
c16_centroid_distance,16,centroid_distance,episode,0.05,3.2790045738220215,515,491,24
c16_centroid_distance,16,centroid_distance,episode,0.1,2.9338719844818115,515,465,50
c16_centroid_distance,16,centroid_distance,task_init,0.02,6.867247104644775,68,68,0
c16_centroid_distance,16,centroid_distance,task_init,0.03,6.334845542907715,68,67,1
c16_centroid_distance,16,centroid_distance,task_init,0.05,5.107175827026367,68,66,2
c16_centroid_distance,16,centroid_distance,task_init,0.1,3.9763052463531494,68,63,5
c16_assigned_radius,16,assigned_radius,episode,0.02,1.7982076406478882,515,506,9
c16_assigned_radius,16,assigned_radius,episode,0.03,1.6620941162109375,515,501,14
c16_assigned_radius,16,assigned_radius,episode,0.05,1.5497448444366455,515,491,24
c16_assigned_radius,16,assigned_radius,episode,0.1,1.3984687328338623,515,465,50
c16_assigned_radius,16,assigned_radius,task_init,0.02,2.3778560161590576,68,68,0
c16_assigned_radius,16,assigned_radius,task_init,0.03,2.3668911457061768,68,67,1
c16_assigned_radius,16,assigned_radius,task_init,0.05,2.1511411666870117,68,66,2
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.8318549394607544,68,63,5
c16_union_radius,16,union_radius,episode,0.02,1.6588727235794067,515,506,9
c16_union_radius,16,union_radius,episode,0.03,1.556214451789856,515,501,14
c16_union_radius,16,union_radius,episode,0.05,1.463557481765747,515,491,24
c16_union_radius,16,union_radius,episode,0.1,1.322523832321167,515,465,50
c16_union_radius,16,union_radius,task_init,0.02,2.3031036853790283,68,68,0
c16_union_radius,16,union_radius,task_init,0.03,1.980177402496338,68,67,1
c16_union_radius,16,union_radius,task_init,0.05,1.9759029150009155,68,66,2
c16_union_radius,16,union_radius,task_init,0.1,1.7318432331085205,68,63,5
c32_centroid_distance,32,centroid_distance,episode,0.02,3.4487593173980713,515,506,9
c32_centroid_distance,32,centroid_distance,episode,0.03,3.287700653076172,515,501,14
c32_centroid_distance,32,centroid_distance,episode,0.05,2.8839340209960938,515,491,24
