method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,1.8533991575241089,554,544,10
knn20,0,knn20,episode,0.03,1.7510486841201782,554,539,15
knn20,0,knn20,episode,0.05,1.6769474744796753,554,528,26
knn20,0,knn20,episode,0.1,1.5136511325836182,554,500,54
knn20,0,knn20,task_init,0.02,2.49825119972229,70,70,0
knn20,0,knn20,task_init,0.03,2.357637882232666,70,69,1
knn20,0,knn20,task_init,0.05,2.1025044918060303,70,68,2
knn20,0,knn20,task_init,0.1,1.907114863395691,70,64,6
norm_only,0,norm_only,episode,0.02,7.183062553405762,554,544,10
norm_only,0,norm_only,episode,0.03,6.959945201873779,554,539,15
norm_only,0,norm_only,episode,0.05,6.742151260375977,554,528,26
norm_only,0,norm_only,episode,0.1,6.086241722106934,554,500,54
norm_only,0,norm_only,task_init,0.02,8.012550354003906,70,70,0
norm_only,0,norm_only,task_init,0.03,7.689486026763916,70,69,1
norm_only,0,norm_only,task_init,0.05,7.5216522216796875,70,68,2
norm_only,0,norm_only,task_init,0.1,7.161005973815918,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,7.049879550933838,554,544,10
c1_centroid_distance,1,centroid_distance,episode,0.03,6.822230339050293,554,539,15
c1_centroid_distance,1,centroid_distance,episode,0.05,6.501120567321777,554,528,26
c1_centroid_distance,1,centroid_distance,episode,0.1,5.861193656921387,554,500,54
c1_centroid_distance,1,centroid_distance,task_init,0.02,7.942052364349365,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,7.754830837249756,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,7.274213790893555,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,7.049879550933838,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.4974455833435059,554,544,10
c1_assigned_radius,1,assigned_radius,episode,0.03,1.4490913152694702,554,539,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.3808852434158325,554,528,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.2449601888656616,554,500,54
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.6869497299194336,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.6471824645996094,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.5450958013534546,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.4974455833435059,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.4974455833435059,554,544,10
c1_union_radius,1,union_radius,episode,0.03,1.4490913152694702,554,539,15
c1_union_radius,1,union_radius,episode,0.05,1.3808852434158325,554,528,26
c1_union_radius,1,union_radius,episode,0.1,1.2449601888656616,554,500,54
c1_union_radius,1,union_radius,task_init,0.02,1.6869497299194336,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.6471824645996094,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.5450958013534546,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.4974455833435059,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,4.714215278625488,554,544,10
c2_centroid_distance,2,centroid_distance,episode,0.03,4.5049614906311035,554,539,15
c2_centroid_distance,2,centroid_distance,episode,0.05,4.158981800079346,554,528,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.6047890186309814,554,500,54
c2_centroid_distance,2,centroid_distance,task_init,0.02,6.04618501663208,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,5.3452582359313965,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,5.311893939971924,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.670622825622559,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.5887662172317505,554,544,10
c2_assigned_radius,2,assigned_radius,episode,0.03,1.5481185913085938,554,539,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.4042567014694214,554,528,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.2601509094238281,554,500,54
c2_assigned_radius,2,assigned_radius,task_init,0.02,2.1712872982025146,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.9075909852981567,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.8014377355575562,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.5762100219726562,70,64,6
c2_union_radius,2,union_radius,episode,0.02,1.5887662172317505,554,544,10
c2_union_radius,2,union_radius,episode,0.03,1.5481185913085938,554,539,15
c2_union_radius,2,union_radius,episode,0.05,1.4042567014694214,554,528,26
