method,clusters,variant,calibration,alpha,threshold,units,rank,exceedances
knn20,0,knn20,episode,0.02,1.9593150615692139,543,534,9
knn20,0,knn20,episode,0.03,1.7706170082092285,543,528,15
knn20,0,knn20,episode,0.05,1.6881214380264282,543,517,26
knn20,0,knn20,episode,0.1,1.508886694908142,543,490,53
knn20,0,knn20,task_init,0.02,2.431532621383667,70,70,0
knn20,0,knn20,task_init,0.03,2.2368083000183105,70,69,1
knn20,0,knn20,task_init,0.05,2.021517753601074,70,68,2
knn20,0,knn20,task_init,0.1,1.8651412725448608,70,64,6
norm_only,0,norm_only,episode,0.02,6.5244140625,543,534,9
norm_only,0,norm_only,episode,0.03,6.292661666870117,543,528,15
norm_only,0,norm_only,episode,0.05,5.912968158721924,543,517,26
norm_only,0,norm_only,episode,0.1,5.228608131408691,543,490,53
norm_only,0,norm_only,task_init,0.02,7.5375165939331055,70,70,0
norm_only,0,norm_only,task_init,0.03,6.915268421173096,70,69,1
norm_only,0,norm_only,task_init,0.05,6.885584831237793,70,68,2
norm_only,0,norm_only,task_init,0.1,6.0730977058410645,70,64,6
c1_centroid_distance,1,centroid_distance,episode,0.02,6.29447603225708,543,534,9
c1_centroid_distance,1,centroid_distance,episode,0.03,6.0395121574401855,543,528,15
c1_centroid_distance,1,centroid_distance,episode,0.05,5.715157985687256,543,517,26
c1_centroid_distance,1,centroid_distance,episode,0.1,4.9608073234558105,543,490,53
c1_centroid_distance,1,centroid_distance,task_init,0.02,7.292149543762207,70,70,0
c1_centroid_distance,1,centroid_distance,task_init,0.03,6.675003528594971,70,69,1
c1_centroid_distance,1,centroid_distance,task_init,0.05,6.67291784286499,70,68,2
c1_centroid_distance,1,centroid_distance,task_init,0.1,5.787933826446533,70,64,6
c1_assigned_radius,1,assigned_radius,episode,0.02,1.3802073001861572,543,534,9
c1_assigned_radius,1,assigned_radius,episode,0.03,1.3243006467819214,543,528,15
c1_assigned_radius,1,assigned_radius,episode,0.05,1.253178596496582,543,517,26
c1_assigned_radius,1,assigned_radius,episode,0.1,1.0877699851989746,543,490,53
c1_assigned_radius,1,assigned_radius,task_init,0.02,1.59896981716156,70,70,0
c1_assigned_radius,1,assigned_radius,task_init,0.03,1.4636465311050415,70,69,1
c1_assigned_radius,1,assigned_radius,task_init,0.05,1.4631892442703247,70,68,2
c1_assigned_radius,1,assigned_radius,task_init,0.1,1.2691363096237183,70,64,6
c1_union_radius,1,union_radius,episode,0.02,1.3802073001861572,543,534,9
c1_union_radius,1,union_radius,episode,0.03,1.3243006467819214,543,528,15
c1_union_radius,1,union_radius,episode,0.05,1.253178596496582,543,517,26
c1_union_radius,1,union_radius,episode,0.1,1.0877699851989746,543,490,53
c1_union_radius,1,union_radius,task_init,0.02,1.59896981716156,70,70,0
c1_union_radius,1,union_radius,task_init,0.03,1.4636465311050415,70,69,1
c1_union_radius,1,union_radius,task_init,0.05,1.4631892442703247,70,68,2
c1_union_radius,1,union_radius,task_init,0.1,1.2691363096237183,70,64,6
c2_centroid_distance,2,centroid_distance,episode,0.02,4.094425678253174,543,534,9
c2_centroid_distance,2,centroid_distance,episode,0.03,3.8429481983184814,543,528,15
c2_centroid_distance,2,centroid_distance,episode,0.05,3.5865392684936523,543,517,26
c2_centroid_distance,2,centroid_distance,episode,0.1,3.186006784439087,543,490,53
c2_centroid_distance,2,centroid_distance,task_init,0.02,4.933032035827637,70,70,0
c2_centroid_distance,2,centroid_distance,task_init,0.03,4.518136501312256,70,69,1
c2_centroid_distance,2,centroid_distance,task_init,0.05,4.471177101135254,70,68,2
c2_centroid_distance,2,centroid_distance,task_init,0.1,4.047146320343018,70,64,6
c2_assigned_radius,2,assigned_radius,episode,0.02,1.363846778869629,543,534,9
c2_assigned_radius,2,assigned_radius,episode,0.03,1.2816193103790283,543,528,15
c2_assigned_radius,2,assigned_radius,episode,0.05,1.1967097520828247,543,517,26
c2_assigned_radius,2,assigned_radius,episode,0.1,1.0883270502090454,543,490,53
c2_assigned_radius,2,assigned_radius,task_init,0.02,1.576448917388916,70,70,0
c2_assigned_radius,2,assigned_radius,task_init,0.03,1.4902777671813965,70,69,1
c2_assigned_radius,2,assigned_radius,task_init,0.05,1.4536666870117188,70,68,2
c2_assigned_radius,2,assigned_radius,task_init,0.1,1.363846778869629,70,64,6
c2_union_radius,2,union_radius,episode,0.02,1.3586924076080322,543,534,9
c2_union_radius,2,union_radius,episode,0.03,1.2651865482330322,543,528,15
c2_union_radius,2,union_radius,episode,0.05,1.1797606945037842,543,517,26
c2_union_radius,2,union_radius,episode,0.1,1.0718860626220703,543,490,53
c2_union_radius,2,union_radius,task_init,0.02,1.576448917388916,70,70,0
c2_union_radius,2,union_radius,task_init,0.03,1.4902777671813965,70,69,1
c2_union_radius,2,union_radius,task_init,0.05,1.4438607692718506,70,68,2
c2_union_radius,2,union_radius,task_init,0.1,1.3276575803756714,70,64,6
c4_centroid_distance,4,centroid_distance,episode,0.02,3.588200569152832,543,534,9
c4_centroid_distance,4,centroid_distance,episode,0.03,3.3823788166046143,543,528,15
c4_centroid_distance,4,centroid_distance,episode,0.05,3.149862766265869,543,517,26
c4_centroid_distance,4,centroid_distance,episode,0.1,2.731585741043091,543,490,53
c4_centroid_distance,4,centroid_distance,task_init,0.02,4.094465732574463,70,70,0
c4_centroid_distance,4,centroid_distance,task_init,0.03,3.943944215774536,70,69,1
c4_centroid_distance,4,centroid_distance,task_init,0.05,3.8293051719665527,70,68,2
c4_centroid_distance,4,centroid_distance,task_init,0.1,3.5897414684295654,70,64,6
c4_assigned_radius,4,assigned_radius,episode,0.02,1.4519025087356567,543,534,9
c4_assigned_radius,4,assigned_radius,episode,0.03,1.4143052101135254,543,528,15
c4_assigned_radius,4,assigned_radius,episode,0.05,1.319945216178894,543,517,26
c4_assigned_radius,4,assigned_radius,episode,0.1,1.1802610158920288,543,490,53
c4_assigned_radius,4,assigned_radius,task_init,0.02,1.5909706354141235,70,70,0
c4_assigned_radius,4,assigned_radius,task_init,0.03,1.581202745437622,70,69,1
c4_assigned_radius,4,assigned_radius,task_init,0.05,1.5464491844177246,70,68,2
c4_assigned_radius,4,assigned_radius,task_init,0.1,1.489598274230957,70,64,6
c4_union_radius,4,union_radius,episode,0.02,1.4380815029144287,543,534,9
c4_union_radius,4,union_radius,episode,0.03,1.3905092477798462,543,528,15
c4_union_radius,4,union_radius,episode,0.05,1.3017706871032715,543,517,26
c4_union_radius,4,union_radius,episode,0.1,1.1756380796432495,543,490,53
c4_union_radius,4,union_radius,task_init,0.02,1.5909706354141235,70,70,0
c4_union_radius,4,union_radius,task_init,0.03,1.581202745437622,70,69,1
c4_union_radius,4,union_radius,task_init,0.05,1.5464491844177246,70,68,2
c4_union_radius,4,union_radius,task_init,0.1,1.429075837135315,70,64,6
c8_centroid_distance,8,centroid_distance,episode,0.02,2.968146562576294,543,534,9
c8_centroid_distance,8,centroid_distance,episode,0.03,2.8268282413482666,543,528,15
c8_centroid_distance,8,centroid_distance,episode,0.05,2.608690023422241,543,517,26
c8_centroid_distance,8,centroid_distance,episode,0.1,2.3676071166992188,543,490,53
c8_centroid_distance,8,centroid_distance,task_init,0.02,3.6674463748931885,70,70,0
c8_centroid_distance,8,centroid_distance,task_init,0.03,3.5478875637054443,70,69,1
c8_centroid_distance,8,centroid_distance,task_init,0.05,3.4358057975769043,70,68,2
c8_centroid_distance,8,centroid_distance,task_init,0.1,2.8844218254089355,70,64,6
c8_assigned_radius,8,assigned_radius,episode,0.02,1.452545404434204,543,534,9
c8_assigned_radius,8,assigned_radius,episode,0.03,1.3493006229400635,543,528,15
c8_assigned_radius,8,assigned_radius,episode,0.05,1.2913397550582886,543,517,26
c8_assigned_radius,8,assigned_radius,episode,0.1,1.1850850582122803,543,490,53
c8_assigned_radius,8,assigned_radius,task_init,0.02,1.7676138877868652,70,70,0
c8_assigned_radius,8,assigned_radius,task_init,0.03,1.6555544137954712,70,69,1
c8_assigned_radius,8,assigned_radius,task_init,0.05,1.630827784538269,70,68,2
c8_assigned_radius,8,assigned_radius,task_init,0.1,1.4138075113296509,70,64,6
c8_union_radius,8,union_radius,episode,0.02,1.396175742149353,543,534,9
c8_union_radius,8,union_radius,episode,0.03,1.3273895978927612,543,528,15
c8_union_radius,8,union_radius,episode,0.05,1.2308827638626099,543,517,26
c8_union_radius,8,union_radius,episode,0.1,1.1628261804580688,543,490,53
c8_union_radius,8,union_radius,task_init,0.02,1.7663066387176514,70,70,0
c8_union_radius,8,union_radius,task_init,0.03,1.6555544137954712,70,69,1
c8_union_radius,8,union_radius,task_init,0.05,1.630827784538269,70,68,2
c8_union_radius,8,union_radius,task_init,0.1,1.3493006229400635,70,64,6
c16_centroid_distance,16,centroid_distance,episode,0.02,2.7424614429473877,543,534,9
c16_centroid_distance,16,centroid_distance,episode,0.03,2.4759654998779297,543,528,15
c16_centroid_distance,16,centroid_distance,episode,0.05,2.275836944580078,543,517,26
c16_centroid_distance,16,centroid_distance,episode,0.1,2.0532541275024414,543,490,53
c16_centroid_distance,16,centroid_distance,task_init,0.02,3.2501041889190674,70,70,0
c16_centroid_distance,16,centroid_distance,task_init,0.03,3.0000457763671875,70,69,1
c16_centroid_distance,16,centroid_distance,task_init,0.05,2.995112180709839,70,68,2
c16_centroid_distance,16,centroid_distance,task_init,0.1,2.7503392696380615,70,64,6
c16_assigned_radius,16,assigned_radius,episode,0.02,1.4372729063034058,543,534,9
c16_assigned_radius,16,assigned_radius,episode,0.03,1.3586015701293945,543,528,15
c16_assigned_radius,16,assigned_radius,episode,0.05,1.2673537731170654,543,517,26
c16_assigned_radius,16,assigned_radius,episode,0.1,1.1720021963119507,543,490,53
c16_assigned_radius,16,assigned_radius,task_init,0.02,1.971678614616394,70,70,0
c16_assigned_radius,16,assigned_radius,task_init,0.03,1.5747857093811035,70,69,1
c16_assigned_radius,16,assigned_radius,task_init,0.05,1.5192344188690186,70,68,2
c16_assigned_radius,16,assigned_radius,task_init,0.1,1.4636619091033936,70,64,6
c16_union_radius,16,union_radius,episode,0.02,1.4019896984100342,543,534,9
c16_union_radius,16,union_radius,episode,0.03,1.2996852397918701,543,528,15
c16_union_radius,16,union_radius,episode,0.05,1.2385962009429932,543,517,26
c16_union_radius,16,union_radius,episode,0.1,1.1517524719238281,543,490,53
c16_union_radius,16,union_radius,task_init,0.02,1.9420340061187744,70,70,0
c16_union_radius,16,union_radius,task_init,0.03,1.5747857093811035,70,69,1
c16_union_radius,16,union_radius,task_init,0.05,1.5192344188690186,70,68,2
c16_union_radius,16,union_radius,task_init,0.1,1.4019896984100342,70,64,6
c32_centroid_distance,32,centroid_distance,episode,0.02,2.2739245891571045,543,534,9
c32_centroid_distance,32,centroid_distance,episode,0.03,2.1582698822021484,543,528,15
c32_centroid_distance,32,centroid_distance,episode,0.05,2.048816204071045,543,517,26
c32_centroid_distance,32,centroid_distance,episode,0.1,1.8550387620925903,543,490,53
c32_centroid_distance,32,centroid_distance,task_init,0.02,2.8402650356292725,70,70,0
c32_centroid_distance,32,centroid_distance,task_init,0.03,2.462127447128296,70,69,1
c32_centroid_distance,32,centroid_distance,task_init,0.05,2.3810360431671143,70,68,2
c32_centroid_distance,32,centroid_distance,task_init,0.1,2.278470277786255,70,64,6
c32_assigned_radius,32,assigned_radius,episode,0.02,1.4478352069854736,543,534,9
