suite,fold,failures,successes,knn_fp,knn_tp,c4_fp,c4_tp,fp_removed,tp_change
libero_goal,libero_goal_full_0,7,2393,1100,7,96,7,1004,0
libero_goal,libero_goal_full_1,50,2350,45,50,3,50,42,0
libero_goal,libero_goal_full_2,48,2352,773,48,646,48,127,0
libero_goal,libero_goal_full_3,103,697,9,101,26,90,-17,-11
libero_long,libero_long_full_0,74,2326,98,65,21,53,77,-12
libero_long,libero_long_full_1,355,2045,39,286,44,283,-5,-3
libero_long,libero_long_full_2,105,2295,19,75,14,64,5,-11
libero_long,libero_long_full_3,7,793,3,4,3,5,0,1
libero_object,libero_object_full_0,32,2368,0,29,6,28,-6,-1
libero_object,libero_object_full_1,40,2360,58,37,96,39,-38,2
libero_object,libero_object_full_2,8,2392,83,8,101,8,-18,0
libero_object,libero_object_full_3,1,799,0,1,0,1,0,0
libero_spatial,libero_spatial_full_0,81,2319,260,81,62,81,198,0
libero_spatial,libero_spatial_full_1,69,2331,26,69,73,69,-47,0
libero_spatial,libero_spatial_full_2,115,2285,240,115,28,115,212,0
libero_spatial,libero_spatial_full_3,1,799,1,1,1,1,0,0
