level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,both,removed_from_knn20,new_vs_knn20,neither,earlier,later,same_query
all,all,all,all,knn20,0,knn20,0.02,False,30904,1318,0,0,29586,0,0,1318
all,all,all,all,knn20,0,knn20,0.02,True,1096,773,0,0,323,0,0,773
all,all,all,all,norm_only,0,norm_only,0.02,False,30904,505,813,461,29125,292,118,95
all,all,all,all,norm_only,0,norm_only,0.02,True,1096,684,89,43,280,150,270,264
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,False,30904,593,725,489,29097,315,178,100
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.02,True,1096,684,89,43,280,138,270,276
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,False,30904,593,725,489,29097,315,178,100
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.02,True,1096,684,89,43,280,138,270,276
all,all,all,all,c1_union_radius,1,union_radius,0.02,False,30904,593,725,489,29097,315,178,100
all,all,all,all,c1_union_radius,1,union_radius,0.02,True,1096,684,89,43,280,138,270,276
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,False,30904,648,670,323,29263,199,203,246
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.02,True,1096,727,46,38,285,167,224,336
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,False,30904,650,668,321,29265,202,201,247
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.02,True,1096,726,47,32,291,144,229,353
all,all,all,all,c2_union_radius,2,union_radius,0.02,False,30904,648,670,321,29265,202,201,245
all,all,all,all,c2_union_radius,2,union_radius,0.02,True,1096,726,47,32,291,144,234,348
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,False,30904,379,939,53,29533,31,98,250
all,all,all,all,c4_centroid_distance,4,centroid_distance,0.02,True,1096,730,43,11,312,83,196,451
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,False,30904,364,954,37,29549,31,84,249
all,all,all,all,c4_assigned_radius,4,assigned_radius,0.02,True,1096,704,69,17,306,76,314,314
all,all,all,all,c4_union_radius,4,union_radius,0.02,False,30904,384,934,33,29553,30,99,255
all,all,all,all,c4_union_radius,4,union_radius,0.02,True,1096,716,57,15,308,84,268,364
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,False,30904,834,484,49,29537,22,414,398
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.02,True,1096,723,50,4,319,54,224,445
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,False,30904,455,863,164,29422,20,274,161
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.02,True,1096,617,156,18,305,49,364,204
all,all,all,all,c8_union_radius,8,union_radius,0.02,False,30904,650,668,104,29482,19,343,288
all,all,all,all,c8_union_radius,8,union_radius,0.02,True,1096,722,51,21,302,53,305,364
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,False,30904,929,389,30,29556,15,334,580
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.02,True,1096,731,42,7,316,40,280,411
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,False,30904,518,800,302,29284,49,199,270
all,all,all,all,c16_assigned_radius,16,assigned_radius,0.02,True,1096,505,268,38,285,82,213,210
all,all,all,all,c16_union_radius,16,union_radius,0.02,False,30904,449,869,107,29479,6,174,269
all,all,all,all,c16_union_radius,16,union_radius,0.02,True,1096,596,177,63,260,57,293,246
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,False,30904,1056,262,193,29393,141,193,722
all,all,all,all,c32_centroid_distance,32,centroid_distance,0.02,True,1096,739,34,36,287,57,277,405
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,False,30904,609,709,386,29200,243,183,183
all,all,all,all,c32_assigned_radius,32,assigned_radius,0.02,True,1096,671,102,40,283,155,341,175
all,all,all,all,c32_union_radius,32,union_radius,0.02,False,30904,439,879,247,29339,135,28,276
all,all,all,all,c32_union_radius,32,union_radius,0.02,True,1096,714,59,39,284,113,211,390
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,False,30904,877,441,58,29528,8,303,566
all,all,all,all,c64_centroid_distance,64,centroid_distance,0.02,True,1096,634,139,23,300,111,141,382
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,False,30904,642,676,471,29115,292,172,178
all,all,all,all,c64_assigned_radius,64,assigned_radius,0.02,True,1096,611,162,49,274,184,240,187
all,all,all,all,c64_union_radius,64,union_radius,0.02,False,30904,563,755,235,29351,163,144,256
all,all,all,all,c64_union_radius,64,union_radius,0.02,True,1096,674,99,56,267,210,221,243
all,all,all,all,knn20,0,knn20,0.03,False,30904,2190,0,0,28714,0,0,2190
all,all,all,all,knn20,0,knn20,0.03,True,1096,871,0,0,225,0,0,871
all,all,all,all,norm_only,0,norm_only,0.03,False,30904,999,1191,314,28400,91,673,235
all,all,all,all,norm_only,0,norm_only,0.03,True,1096,762,109,24,201,119,382,261
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,False,30904,1118,1072,287,28427,93,558,467
all,all,all,all,c1_centroid_distance,1,centroid_distance,0.03,True,1096,763,108,24,201,114,378,271
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,False,30904,1118,1072,287,28427,93,558,467
all,all,all,all,c1_assigned_radius,1,assigned_radius,0.03,True,1096,763,108,24,201,114,378,271
all,all,all,all,c1_union_radius,1,union_radius,0.03,False,30904,1118,1072,287,28427,93,558,467
all,all,all,all,c1_union_radius,1,union_radius,0.03,True,1096,763,108,24,201,114,378,271
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,False,30904,1311,879,233,28481,92,540,679
all,all,all,all,c2_centroid_distance,2,centroid_distance,0.03,True,1096,806,65,19,206,100,378,328
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,False,30904,1300,890,178,28536,96,492,712
all,all,all,all,c2_assigned_radius,2,assigned_radius,0.03,True,1096,809,62,19,206,92,394,323
