level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,knn20,0,knn20,episode,0.02,32000,1096,30904,1053,43,4107,26797,0.9607664233576643,0.1328954180688584,0.20406976744186048
all,all,all,all,norm_only,0,norm_only,episode,0.02,32000,1096,30904,894,202,2160,28744,0.8156934306569343,0.06989386487186125,0.29273084479371314
all,all,all,all,c1_centroid_distance,1,centroid_distance,episode,0.02,32000,1096,30904,902,194,2413,28491,0.822992700729927,0.07808050737768574,0.2720965309200603
all,all,all,all,c1_assigned_radius,1,assigned_radius,episode,0.02,32000,1096,30904,902,194,2413,28491,0.822992700729927,0.07808050737768574,0.2720965309200603
all,all,all,all,c1_union_radius,1,union_radius,episode,0.02,32000,1096,30904,902,194,2413,28491,0.822992700729927,0.07808050737768574,0.2720965309200603
all,all,all,all,c2_centroid_distance,2,centroid_distance,episode,0.02,32000,1096,30904,944,152,2901,28003,0.8613138686131386,0.09387134351540254,0.24551365409622886
all,all,all,all,c2_assigned_radius,2,assigned_radius,episode,0.02,32000,1096,30904,947,149,2965,27939,0.8640510948905109,0.09594227284493917,0.2420756646216769
all,all,all,all,c2_union_radius,2,union_radius,episode,0.02,32000,1096,30904,942,154,2939,27965,0.8594890510948905,0.09510095780481491,0.24272094820922444
all,all,all,all,c4_centroid_distance,4,centroid_distance,episode,0.02,32000,1096,30904,986,110,2329,28575,0.8996350364963503,0.07536241263266891,0.29743589743589743
all,all,all,all,c4_assigned_radius,4,assigned_radius,episode,0.02,32000,1096,30904,1016,80,2104,28800,0.927007299270073,0.0680818017085167,0.32564102564102565
all,all,all,all,c4_union_radius,4,union_radius,episode,0.02,32000,1096,30904,1000,96,2167,28737,0.9124087591240876,0.07012037276727931,0.3157562361856647
all,all,all,all,c8_centroid_distance,8,centroid_distance,episode,0.02,32000,1096,30904,1005,91,3150,27754,0.916970802919708,0.10192855293813098,0.24187725631768953
all,all,all,all,c8_assigned_radius,8,assigned_radius,episode,0.02,32000,1096,30904,1022,74,3273,27631,0.9324817518248175,0.1059086202433342,0.2379511059371362
all,all,all,all,c8_union_radius,8,union_radius,episode,0.02,32000,1096,30904,1005,91,3121,27783,0.916970802919708,0.1009901630856847,0.24357731459040233
all,all,all,all,c16_centroid_distance,16,centroid_distance,episode,0.02,32000,1096,30904,1028,68,3729,27175,0.9379562043795621,0.12066399171628268,0.21610258566323312
all,all,all,all,c16_assigned_radius,16,assigned_radius,episode,0.02,32000,1096,30904,983,113,3904,27000,0.8968978102189781,0.1263266891017344,0.20114589727849397
