level,cohort,suite,task,method,clusters,variant,calibration,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,episode,0.02,800,0,800,0,0,368,432,,0.46,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,episode,0.02,800,0,800,0,0,44,756,,0.055,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,episode,0.02,800,0,800,0,0,78,722,,0.0975,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,episode,0.02,800,0,800,0,0,78,722,,0.0975,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,episode,0.02,800,0,800,0,0,78,722,,0.0975,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,episode,0.02,800,0,800,0,0,202,598,,0.2525,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,episode,0.02,800,0,800,0,0,202,598,,0.2525,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,episode,0.02,800,0,800,0,0,202,598,,0.2525,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,episode,0.02,800,0,800,0,0,63,737,,0.07875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,episode,0.02,800,0,800,0,0,36,764,,0.045,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,episode,0.02,800,0,800,0,0,27,773,,0.03375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,episode,0.02,800,0,800,0,0,129,671,,0.16125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,episode,0.02,800,0,800,0,0,118,682,,0.1475,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,episode,0.02,800,0,800,0,0,145,655,,0.18125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,episode,0.02,800,0,800,0,0,271,529,,0.33875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,episode,0.02,800,0,800,0,0,204,596,,0.255,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,episode,0.02,800,0,800,0,0,139,661,,0.17375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,episode,0.02,800,0,800,0,0,358,442,,0.4475,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,episode,0.02,800,0,800,0,0,317,483,,0.39625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,episode,0.02,800,0,800,0,0,207,593,,0.25875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,episode,0.02,800,0,800,0,0,429,371,,0.53625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,episode,0.02,800,0,800,0,0,444,356,,0.555,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,episode,0.02,800,0,800,0,0,320,480,,0.4,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,episode,0.03,800,0,800,0,0,457,343,,0.57125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,episode,0.03,800,0,800,0,0,61,739,,0.07625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,episode,0.03,800,0,800,0,0,112,688,,0.14,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,episode,0.03,800,0,800,0,0,112,688,,0.14,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,episode,0.03,800,0,800,0,0,112,688,,0.14,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,episode,0.03,800,0,800,0,0,248,552,,0.31,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,episode,0.03,800,0,800,0,0,248,552,,0.31,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,episode,0.03,800,0,800,0,0,248,552,,0.31,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,episode,0.03,800,0,800,0,0,105,695,,0.13125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,episode,0.03,800,0,800,0,0,41,759,,0.05125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,episode,0.03,800,0,800,0,0,43,757,,0.05375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,episode,0.03,800,0,800,0,0,205,595,,0.25625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,episode,0.03,800,0,800,0,0,135,665,,0.16875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,episode,0.03,800,0,800,0,0,188,612,,0.235,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,episode,0.03,800,0,800,0,0,332,468,,0.415,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,episode,0.03,800,0,800,0,0,291,509,,0.36375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,episode,0.03,800,0,800,0,0,271,529,,0.33875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,episode,0.03,800,0,800,0,0,442,358,,0.5525,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,episode,0.03,800,0,800,0,0,375,425,,0.46875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,episode,0.03,800,0,800,0,0,253,547,,0.31625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,episode,0.03,800,0,800,0,0,473,327,,0.59125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,episode,0.03,800,0,800,0,0,489,311,,0.61125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_union_radius,64,union_radius,episode,0.03,800,0,800,0,0,394,406,,0.4925,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,knn20,0,knn20,episode,0.05,800,0,800,0,0,529,271,,0.66125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,norm_only,0,norm_only,episode,0.05,800,0,800,0,0,130,670,,0.1625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_centroid_distance,1,centroid_distance,episode,0.05,800,0,800,0,0,175,625,,0.21875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_assigned_radius,1,assigned_radius,episode,0.05,800,0,800,0,0,175,625,,0.21875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c1_union_radius,1,union_radius,episode,0.05,800,0,800,0,0,175,625,,0.21875,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_centroid_distance,2,centroid_distance,episode,0.05,800,0,800,0,0,365,435,,0.45625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_assigned_radius,2,assigned_radius,episode,0.05,800,0,800,0,0,361,439,,0.45125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c2_union_radius,2,union_radius,episode,0.05,800,0,800,0,0,361,439,,0.45125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_centroid_distance,4,centroid_distance,episode,0.05,800,0,800,0,0,166,634,,0.2075,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_assigned_radius,4,assigned_radius,episode,0.05,800,0,800,0,0,86,714,,0.1075,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c4_union_radius,4,union_radius,episode,0.05,800,0,800,0,0,86,714,,0.1075,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_centroid_distance,8,centroid_distance,episode,0.05,800,0,800,0,0,328,472,,0.41,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_assigned_radius,8,assigned_radius,episode,0.05,800,0,800,0,0,213,587,,0.26625,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c8_union_radius,8,union_radius,episode,0.05,800,0,800,0,0,270,530,,0.3375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_centroid_distance,16,centroid_distance,episode,0.05,800,0,800,0,0,459,341,,0.57375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_assigned_radius,16,assigned_radius,episode,0.05,800,0,800,0,0,425,375,,0.53125,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c16_union_radius,16,union_radius,episode,0.05,800,0,800,0,0,338,462,,0.4225,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_centroid_distance,32,centroid_distance,episode,0.05,800,0,800,0,0,544,256,,0.68,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_assigned_radius,32,assigned_radius,episode,0.05,800,0,800,0,0,464,336,,0.58,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c32_union_radius,32,union_radius,episode,0.05,800,0,800,0,0,408,392,,0.51,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_centroid_distance,64,centroid_distance,episode,0.05,800,0,800,0,0,590,210,,0.7375,0.0
task,all,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,c64_assigned_radius,64,assigned_radius,episode,0.05,800,0,800,0,0,564,236,,0.705,0.0
