dataset,method,observed_auc,null_lo,null_hi,mixed_init_groups,permutation_p_one_sided,family_maxT_p_one_sided
q0,routed_d0__deviation,0.5015792742422419,0.4252395545102209,0.5780464226692136,40,0.48210357928414316,1.0
q0,routed_d0__knn5,0.5053345105151087,0.4241149261686539,0.5737639657984981,40,0.4569086182763447,1.0
q0,routed_d9__deviation,0.5278462617534561,0.42789236418570603,0.5733935176203636,40,0.23355328934213157,1.0
q0,routed_d9__knn5,0.5192158519292627,0.4283189048449817,0.5729512396075847,40,0.3021395720855829,1.0
q0,routed_flowmean__deviation,0.5337132002082017,0.4198670615709746,0.579629474644876,40,0.21335732853429315,0.9996000799840032
q0,routed_flowmean__knn5,0.5161162785549746,0.4250557603280657,0.5753914208717705,40,0.34233153369326136,1.0
q0,shared_d0__deviation,0.5034463435649555,0.4156004867281149,0.5839008948300038,40,0.46890621875624877,1.0
q0,shared_d0__knn5,0.5436056025840262,0.4236353168321899,0.5765718609406442,40,0.127374525094981,0.9882023595280944
q0,shared_d9__deviation,0.5452123130924889,0.42042165717545416,0.5721759235954824,40,0.1209758048390322,0.9864027194561088
q0,shared_d9__knn5,0.5279514697287279,0.4216994493287039,0.5771794068811484,40,0.24075184963007398,1.0
q0,shared_flowmean__deviation,0.5076289423849718,0.41582436660194116,0.5823816730205954,40,0.41871625674865026,1.0
q0,shared_flowmean__knn5,0.5503010283871356,0.4283990780180301,0.573929153640538,40,0.09098180363927215,0.9494101179764047
q0,hidden_d0__deviation,0.4852261991978496,0.4152062492181352,0.5837653934769164,40,0.6304739052189562,1.0
q0,hidden_d0__knn5,0.47424124175217275,0.4169052158273271,0.5818229198648199,40,0.7254549090181963,1.0
q0,hidden_d9__deviation,0.5488862624640362,0.421281354219966,0.5739578109615183,40,0.10217956408718257,0.9728054389122176
q0,hidden_d9__knn5,0.544569390023681,0.4233809331779997,0.5755744375943292,40,0.11997600479904019,0.9858028394321136
q0,hidden_flowmean__deviation,0.4959179639690897,0.416715224671734,0.5790838522786209,40,0.5310937812437513,1.0
q0,hidden_flowmean__knn5,0.47280589848329707,0.4166874673044877,0.5819234858277864,40,0.7314537092581483,1.0
q0,function4_d0__deviation,0.5565471879510578,0.4230139730692377,0.5745901649941265,40,0.07218556288742252,0.9060187962407519
q0,function4_d0__knn5,0.5578688487398515,0.4235693884829031,0.5778353052109846,40,0.06858628274345131,0.8972205558888222
q0,function4_d9__deviation,0.5418364161078533,0.42837499970933474,0.5692595918250344,40,0.121375724855029,0.9860027994401119
q0,function4_d9__knn5,0.547393482157876,0.4263987569365888,0.5723050334617702,40,0.10097980403919216,0.9668066386722656
q0,function4_flowmean__deviation,0.5467076099513476,0.4236116551597049,0.5784066213264499,40,0.11477704459108179,0.9768046390721855
q0,function4_flowmean__knn5,0.5541448472328679,0.421049769197763,0.5764533324646919,40,0.08518296340731854,0.9458108378324335
q0,route_d0__deviation,0.516650240448357,0.41636316832959636,0.5830095679979062,40,0.34693061387722457,1.0
q0,route_d0__knn5,0.4898533214547618,0.42043990250705077,0.5778848282474609,40,0.6032793441311738,1.0
q0,route_d9__deviation,0.5420057048909435,0.4230915798218178,0.5784969461254923,40,0.14617076584683064,0.9928014397120576
q0,route_d9__knn5,0.4922533670203506,0.42469509538071054,0.5742605871056817,40,0.5842831433713257,1.0
q0,route_flowmean__deviation,0.538361484598744,0.41822383640198046,0.5803780247962889,40,0.1925614877024595,0.9992001599680064
q0,route_flowmean__knn5,0.4983853773379333,0.4250015097458294,0.5771793927751833,40,0.5210957808438312,1.0
q0,proprio__deviation,0.5,0.5,0.5,40,1.0,1.0
q0,proprio__knn5,0.5,0.5,0.5,40,1.0,1.0
q0,action__deviation,0.5390565189087457,0.423724111920951,0.5748685024888914,40,0.15516896620675866,0.9958008398320336
q0,action__knn5,0.5458546068659518,0.4250504784038549,0.5768888255505367,40,0.1281743651269746,0.9840031993601279
q0,authority_low__d0,0.49422850188252965,0.42403189230400345,0.580965488644392,40,0.5566886622675465,1.0
q0,disagreement_low__d0,0.4414983917242117,0.42416597601212774,0.5768706057390518,40,0.9372125574885023,1.0
q0,cancellation_low__d0,0.4426703027373025,0.420670978845332,0.5773040482480575,40,0.9208158368326335,1.0
q0,cosine_high__d0,0.47046116140390715,0.42273625737564374,0.5780868890770449,40,0.7678464307138573,1.0
q0,authority_low__d9,0.47076934908124923,0.4212286283676053,0.5769906098425025,40,0.7646470705858828,1.0
q0,disagreement_low__d9,0.494358747143692,0.42772388059578964,0.571371665097409,40,0.5646870625874825,1.0
q0,cancellation_low__d9,0.49876240672595457,0.42921367913235714,0.5710522607032326,40,0.509498100379924,1.0
q0,cosine_high__d9,0.4848437769053307,0.430173785548932,0.5717356109188869,40,0.6654669066186762,1.0
q0,authority_low__flowmean,0.44769505154371364,0.42018291759428705,0.582962980807211,40,0.9004199160167966,1.0
q0,disagreement_low__flowmean,0.4335954310175698,0.42594639146007224,0.5751037430012529,40,0.9630073985202959,1.0
q0,cancellation_low__flowmean,0.4439086226185539,0.4269644300649855,0.575745744481093,40,0.9256148770245951,1.0
q0,cosine_high__flowmean,0.46470660774051575,0.4216588014598827,0.5770829953299679,40,0.8086382723455309,1.0
q0,route_entropy_low__d0,0.503290478250322,0.41876347126136904,0.5802001379806959,40,0.46630673865226957,1.0
q0,route_entropy_low__d9,0.5316623885360255,0.42409458517524196,0.5761932808335292,40,0.21395720855828834,0.9996000799840032
q0,route_entropy_low__flowmean,0.5266528643568342,0.4175466099821465,0.5788329069867486,40,0.2695460907818436,1.0
q0,route_margin_low__d0,0.5129622166649731,0.42357063241512954,0.5750752615044843,40,0.3793241351729654,1.0
q0,route_margin_low__d9,0.5319807533039819,0.42376416370259007,0.5763291062452014,40,0.2001599680063987,0.9994001199760048
q0,route_margin_low__flowmean,0.5420708259181168,0.42289589569484687,0.5791790024116692,40,0.15056988602279545,0.9928014397120576
q0,route_token_collapse__d0,0.49647587753929123,0.41915131264615124,0.5825025092883768,40,0.5376924615076984,1.0
q0,route_token_collapse__d9,0.4772868700928191,0.4254886055104638,0.5745305896829925,40,0.7238552289542092,1.0
q0,route_token_collapse__flowmean,0.48440660891600734,0.41995944266281715,0.5817088203523062,40,0.6510697860427914,1.0
q0,clock,0.5,0.5,0.5,40,1.0,1.0
q0,random,0.5837240967471379,0.42259565229481494,0.5790512120916057,40,0.019396120775844832,0.47370525894821036
q34,hidden_descriptor__deviation,0.5028745392851647,0.4199965931222128,0.5810799541345557,13,0.47130573885222954,1.0
q34,hidden_descriptor__knn5,0.4949846010765148,0.4164126451350027,0.5843601222400733,13,0.55248950209958,1.0
q34,proprio__deviation,0.5515445497641899,0.41553314917632744,0.5817338240528107,13,0.11397720455908818,0.8178364327134573
q34,proprio__knn5,0.48398799438360296,0.41806179741891825,0.5869955918688808,13,0.6512697460507898,1.0
q34,action__deviation,0.486623870702799,0.415774508437567,0.584729101192442,13,0.6080783843231353,1.0
q34,action__knn5,0.3837186651563737,0.413379994725844,0.5851752566029601,13,0.9938012397520496,1.0
q34,route_d0__deviation,0.6366747715885648,0.41857059765368215,0.583017899461638,13,0.0003999200159968006,0.007598480303939212
q34,route_d0__knn5,0.5620520498150232,0.41756781288498296,0.582406105821011,13,0.07478504299140172,0.6556688662267547
q34,route_d9__deviation,0.6629971949312279,0.41544420144392336,0.5871973929485295,13,0.0001999600079984003,0.0005998800239952009
q34,route_d9__knn5,0.5660533992623995,0.41673296461826587,0.5866356680579912,13,0.06898620275944811,0.6214757048590281
q34,route_flowmean__deviation,0.6567832612997532,0.4173100044319877,0.5841522682054733,13,0.0001999600079984003,0.0007998400319936012
q34,route_flowmean__knn5,0.5527681034723885,0.4162668220138325,0.5852851523903746,13,0.11297740451909619,0.8124375124975005
q34,clock,0.5,0.5,0.5,13,1.0,1.0
q34,random,0.631085782485889,0.41282565309028907,0.5831169443919874,13,0.0007998400319936012,0.01879624075184963
q34,route_entropy_low__d0,0.6102097379271291,0.42018509436324214,0.5818091360438078,13,0.004399120175964807,0.05078984203159368
q34,route_entropy_low__d9,0.7970596661376274,0.4112088693900912,0.5848025031976702,13,0.0001999600079984003,0.0001999600079984003
q34,route_entropy_low__flowmean,0.7577492846983102,0.41563574268883907,0.5861197209082843,13,0.0001999600079984003,0.0001999600079984003
q34,route_margin_low__d0,0.27788438828362416,0.4160972357018839,0.5806330716810053,13,1.0,1.0
q34,route_margin_low__d9,0.3967630926649401,0.41555209696492895,0.5851977505194093,13,0.9922015596880623,1.0
q34,route_margin_low__flowmean,0.23436456374987116,0.41553344860886143,0.584516280750729,13,1.0,1.0
q34,route_token_collapse__d0,0.43878134069953495,0.4221734512017495,0.5770352686633756,13,0.9390121975604879,1.0
q34,route_token_collapse__d9,0.4840188498546819,0.41742978471623216,0.5817680985625289,13,0.6412717456508699,1.0
q34,route_token_collapse__flowmean,0.3552851321591951,0.4167308729024949,0.5791572087715446,13,1.0,1.0
