kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,558,554,4.033872903449155,4,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.03,558,543,3.320448970970293,15,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.05,558,532,2.974608197143034,26,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.1,558,504,2.420994821247195,54,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.15,558,476,2.2113729223947294,82,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.2,558,448,2.09535854364284,110,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.01,70,71,inf,0,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.03,70,69,4.345367828989089,1,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.05,70,68,4.134977282344628,2,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.1,70,64,2.9656076878041877,6,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.15,70,61,2.7272957292484548,9,558,stats_contrast__current,libero_goal_20260907_cap1024
task_init,0.2,70,57,2.518522727243586,13,558,stats_contrast__current,libero_goal_20260907_cap1024
episode,0.01,558,554,3.9737095911051847,4,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
episode,0.03,558,543,3.5381361348382954,15,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
episode,0.05,558,532,3.0483325537967803,26,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
episode,0.1,558,504,2.580317281862811,54,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
episode,0.15,558,476,2.426646595652011,82,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
episode,0.2,558,448,2.209028794851465,110,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.01,70,71,inf,0,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.03,70,69,4.137112503624954,1,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.05,70,68,4.1253326736166125,2,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.1,70,64,2.9754689728072607,6,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.15,70,61,2.8373795093652023,9,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
task_init,0.2,70,57,2.694075632980837,13,558,stats_contrast__cumsum,libero_goal_20260907_cap1024
