kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,550,546,3.8328853871097053,4,550,load_contrast__current,libero_goal_20260908
episode,0.03,550,535,3.41194062893647,15,550,load_contrast__current,libero_goal_20260908
episode,0.05,550,524,3.230843489247864,26,550,load_contrast__current,libero_goal_20260908
episode,0.1,550,496,2.747266289550525,54,550,load_contrast__current,libero_goal_20260908
episode,0.15,550,469,2.5304079758204145,81,550,load_contrast__current,libero_goal_20260908
episode,0.2,550,441,2.1585621974670373,109,550,load_contrast__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,load_contrast__current,libero_goal_20260908
task_init,0.03,70,69,3.783119251178474,1,550,load_contrast__current,libero_goal_20260908
task_init,0.05,70,68,3.4989174014483706,2,550,load_contrast__current,libero_goal_20260908
task_init,0.1,70,64,2.904065691262784,6,550,load_contrast__current,libero_goal_20260908
task_init,0.15,70,61,2.743220830830874,9,550,load_contrast__current,libero_goal_20260908
task_init,0.2,70,57,2.2666573280271036,13,550,load_contrast__current,libero_goal_20260908
episode,0.01,550,546,8.851497684354129,4,550,load_contrast__cumsum,libero_goal_20260908
episode,0.03,550,535,4.267964848621253,15,550,load_contrast__cumsum,libero_goal_20260908
episode,0.05,550,524,4.185654017223653,26,550,load_contrast__cumsum,libero_goal_20260908
episode,0.1,550,496,3.859886650155474,54,550,load_contrast__cumsum,libero_goal_20260908
episode,0.15,550,469,3.1500776824631083,81,550,load_contrast__cumsum,libero_goal_20260908
episode,0.2,550,441,2.909087561458908,109,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.03,70,69,9.407574363065633,1,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.05,70,68,5.366176280566935,2,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.1,70,64,4.267964848621253,6,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.15,70,61,3.9551819945954767,9,550,load_contrast__cumsum,libero_goal_20260908
task_init,0.2,70,57,3.0763832359287977,13,550,load_contrast__cumsum,libero_goal_20260908
episode,0.01,550,546,3.6362052229199784,4,550,stats_contrast__current,libero_goal_20260908
episode,0.03,550,535,3.0424478034219695,15,550,stats_contrast__current,libero_goal_20260908
episode,0.05,550,524,2.753334282214689,26,550,stats_contrast__current,libero_goal_20260908
episode,0.1,550,496,2.49660942044059,54,550,stats_contrast__current,libero_goal_20260908
episode,0.15,550,469,2.2538252895840305,81,550,stats_contrast__current,libero_goal_20260908
episode,0.2,550,441,2.080151356018935,109,550,stats_contrast__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,stats_contrast__current,libero_goal_20260908
task_init,0.03,70,69,5.116035798390582,1,550,stats_contrast__current,libero_goal_20260908
task_init,0.05,70,68,4.959793884667382,2,550,stats_contrast__current,libero_goal_20260908
task_init,0.1,70,64,3.1850271557892977,6,550,stats_contrast__current,libero_goal_20260908
task_init,0.15,70,61,3.1043548830251204,9,550,stats_contrast__current,libero_goal_20260908
task_init,0.2,70,57,2.6933890624655876,13,550,stats_contrast__current,libero_goal_20260908
episode,0.01,550,546,3.886701087036885,4,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.03,550,535,3.4906487021246524,15,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.05,550,524,3.363711053635423,26,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.1,550,496,2.9990270407752164,54,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.15,550,469,2.387842616523005,81,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.2,550,441,2.1454638973444067,109,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.03,70,69,3.9122320418871936,1,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.05,70,68,3.6916874998794547,2,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.1,70,64,3.5041805453977704,6,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.15,70,61,3.1549096791615794,9,550,stats_contrast__cumsum,libero_goal_20260908
task_init,0.2,70,57,2.4608091406423567,13,550,stats_contrast__cumsum,libero_goal_20260908
episode,0.01,550,546,4.032562772337452,4,550,history_contrast__current,libero_goal_20260908
episode,0.03,550,535,3.2995713923618766,15,550,history_contrast__current,libero_goal_20260908
episode,0.05,550,524,3.0870806926921657,26,550,history_contrast__current,libero_goal_20260908
episode,0.1,550,496,2.237743007312443,54,550,history_contrast__current,libero_goal_20260908
episode,0.15,550,469,2.1011144091382943,81,550,history_contrast__current,libero_goal_20260908
episode,0.2,550,441,1.9754763108891742,109,550,history_contrast__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,history_contrast__current,libero_goal_20260908
task_init,0.03,70,69,4.032562772337452,1,550,history_contrast__current,libero_goal_20260908
task_init,0.05,70,68,3.9836107782206653,2,550,history_contrast__current,libero_goal_20260908
task_init,0.1,70,64,3.2532053294564283,6,550,history_contrast__current,libero_goal_20260908
task_init,0.15,70,61,2.695060458720559,9,550,history_contrast__current,libero_goal_20260908
task_init,0.2,70,57,2.4777706055677675,13,550,history_contrast__current,libero_goal_20260908
episode,0.01,550,546,4.532326283944487,4,550,history_contrast__cumsum,libero_goal_20260908
episode,0.03,550,535,3.710386263631538,15,550,history_contrast__cumsum,libero_goal_20260908
episode,0.05,550,524,3.1173297290273014,26,550,history_contrast__cumsum,libero_goal_20260908
episode,0.1,550,496,2.726163134832319,54,550,history_contrast__cumsum,libero_goal_20260908
episode,0.15,550,469,2.4415888934823324,81,550,history_contrast__cumsum,libero_goal_20260908
episode,0.2,550,441,2.2875090946608716,109,550,history_contrast__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,history_contrast__cumsum,libero_goal_20260908
task_init,0.03,70,69,4.958214048451099,1,550,history_contrast__cumsum,libero_goal_20260908
task_init,0.05,70,68,4.171652139339374,2,550,history_contrast__cumsum,libero_goal_20260908
task_init,0.1,70,64,3.4013702604900797,6,550,history_contrast__cumsum,libero_goal_20260908
