kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,551,547,3.3777102148425007,4,551,load_contrast__current,libero_spatial_20260908
episode,0.03,551,536,2.931410809969878,15,551,load_contrast__current,libero_spatial_20260908
episode,0.05,551,525,2.804846780887396,26,551,load_contrast__current,libero_spatial_20260908
episode,0.1,551,497,2.552391241166528,54,551,load_contrast__current,libero_spatial_20260908
episode,0.15,551,470,2.3689469248743418,81,551,load_contrast__current,libero_spatial_20260908
episode,0.2,551,442,2.3128026570812605,109,551,load_contrast__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,load_contrast__current,libero_spatial_20260908
task_init,0.03,70,69,3.6658630549961093,1,551,load_contrast__current,libero_spatial_20260908
task_init,0.05,70,68,3.4670017143435836,2,551,load_contrast__current,libero_spatial_20260908
task_init,0.1,70,64,2.929852763783366,6,551,load_contrast__current,libero_spatial_20260908
task_init,0.15,70,61,2.8013663202498895,9,551,load_contrast__current,libero_spatial_20260908
task_init,0.2,70,57,2.556253651542234,13,551,load_contrast__current,libero_spatial_20260908
episode,0.01,551,547,4.356987705124255,4,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.03,551,536,3.6866590550738882,15,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.05,551,525,3.4119788117669554,26,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.1,551,497,3.0068949084028023,54,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.15,551,470,2.7802598003460086,81,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.2,551,442,2.624478272062392,109,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.03,70,69,4.356987705124255,1,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.05,70,68,4.278660528575626,2,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.1,70,64,3.7216968376396617,6,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.15,70,61,3.5438912064856516,9,551,load_contrast__cumsum,libero_spatial_20260908
task_init,0.2,70,57,3.2310659465411673,13,551,load_contrast__cumsum,libero_spatial_20260908
episode,0.01,551,547,2.464944358567049,4,551,stats_contrast__current,libero_spatial_20260908
episode,0.03,551,536,2.221529683453153,15,551,stats_contrast__current,libero_spatial_20260908
episode,0.05,551,525,2.0946671319781367,26,551,stats_contrast__current,libero_spatial_20260908
episode,0.1,551,497,1.9404750070040035,54,551,stats_contrast__current,libero_spatial_20260908
episode,0.15,551,470,1.8717078911088791,81,551,stats_contrast__current,libero_spatial_20260908
