kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,541,537,129354.5812368393,4,541,stats_positive__current,libero_long_20260908
episode,0.03,541,526,88588.34952116013,15,541,stats_positive__current,libero_long_20260908
episode,0.05,541,515,71405.73859214783,26,541,stats_positive__current,libero_long_20260908
episode,0.1,541,488,43305.229395627975,53,541,stats_positive__current,libero_long_20260908
episode,0.15,541,461,33035.40125489235,80,541,stats_positive__current,libero_long_20260908
episode,0.2,541,434,19031.072035431862,107,541,stats_positive__current,libero_long_20260908
task_init,0.01,70,71,inf,0,541,stats_positive__current,libero_long_20260908
task_init,0.03,70,69,170286.8491411209,1,541,stats_positive__current,libero_long_20260908
task_init,0.05,70,68,142720.5055952072,2,541,stats_positive__current,libero_long_20260908
task_init,0.1,70,64,124073.0732679367,6,541,stats_positive__current,libero_long_20260908
task_init,0.15,70,61,98644.53226327896,9,541,stats_positive__current,libero_long_20260908
task_init,0.2,70,57,75111.15819215775,13,541,stats_positive__current,libero_long_20260908
episode,0.01,541,537,228716.4032459259,4,541,stats_positive__cumsum,libero_long_20260908
episode,0.03,541,526,130811.19954586029,15,541,stats_positive__cumsum,libero_long_20260908
episode,0.05,541,515,98798.14833402634,26,541,stats_positive__cumsum,libero_long_20260908
episode,0.1,541,488,48911.202698946,53,541,stats_positive__cumsum,libero_long_20260908
episode,0.15,541,461,33863.794058561325,80,541,stats_positive__cumsum,libero_long_20260908
episode,0.2,541,434,19279.291853308678,107,541,stats_positive__cumsum,libero_long_20260908
task_init,0.01,70,71,inf,0,541,stats_positive__cumsum,libero_long_20260908
task_init,0.03,70,69,357484.48967933655,1,541,stats_positive__cumsum,libero_long_20260908
task_init,0.05,70,68,193488.07632923126,2,541,stats_positive__cumsum,libero_long_20260908
task_init,0.1,70,64,142720.5055952072,6,541,stats_positive__cumsum,libero_long_20260908
task_init,0.15,70,61,124079.59997653961,9,541,stats_positive__cumsum,libero_long_20260908
task_init,0.2,70,57,98644.53226327896,13,541,stats_positive__cumsum,libero_long_20260908
episode,0.01,541,537,3.107627985002402,4,541,stats_ratio__current,libero_long_20260908
episode,0.03,541,526,2.6437533361329595,15,541,stats_ratio__current,libero_long_20260908
episode,0.05,541,515,2.45152749462454,26,541,stats_ratio__current,libero_long_20260908
episode,0.1,541,488,2.231136334570253,53,541,stats_ratio__current,libero_long_20260908
episode,0.15,541,461,2.079137149769612,80,541,stats_ratio__current,libero_long_20260908
episode,0.2,541,434,1.9719685050740008,107,541,stats_ratio__current,libero_long_20260908
task_init,0.01,70,71,inf,0,541,stats_ratio__current,libero_long_20260908
task_init,0.03,70,69,3.441782798925402,1,541,stats_ratio__current,libero_long_20260908
task_init,0.05,70,68,3.256380841752817,2,541,stats_ratio__current,libero_long_20260908
task_init,0.1,70,64,2.6437533361329595,6,541,stats_ratio__current,libero_long_20260908
task_init,0.15,70,61,2.5595646968578167,9,541,stats_ratio__current,libero_long_20260908
task_init,0.2,70,57,2.431931656212342,13,541,stats_ratio__current,libero_long_20260908
episode,0.01,541,537,2.3984895387508685,4,541,stats_ratio__cumsum,libero_long_20260908
episode,0.03,541,526,1.9045618880796908,15,541,stats_ratio__cumsum,libero_long_20260908
episode,0.05,541,515,1.6107138663118494,26,541,stats_ratio__cumsum,libero_long_20260908
episode,0.1,541,488,1.3768862282288923,53,541,stats_ratio__cumsum,libero_long_20260908
episode,0.15,541,461,1.2734215416290253,80,541,stats_ratio__cumsum,libero_long_20260908
episode,0.2,541,434,1.1522942285631177,107,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.01,70,71,inf,0,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.03,70,69,2.5666963260469524,1,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.05,70,68,2.4243513291681893,2,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.1,70,64,1.6903346330729394,6,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.15,70,61,1.5016962802787184,9,541,stats_ratio__cumsum,libero_long_20260908
task_init,0.2,70,57,1.4288676758992538,13,541,stats_ratio__cumsum,libero_long_20260908
episode,0.01,541,537,21.345378258644644,4,541,success_only__current,libero_long_20260908
episode,0.03,541,526,9.564885573644878,15,541,success_only__current,libero_long_20260908
episode,0.05,541,515,7.760850567199697,26,541,success_only__current,libero_long_20260908
episode,0.1,541,488,6.133435740187557,53,541,success_only__current,libero_long_20260908
episode,0.15,541,461,5.128590145213445,80,541,success_only__current,libero_long_20260908
episode,0.2,541,434,4.33622185141751,107,541,success_only__current,libero_long_20260908
task_init,0.01,70,71,inf,0,541,success_only__current,libero_long_20260908
task_init,0.03,70,69,35.782353747301194,1,541,success_only__current,libero_long_20260908
task_init,0.05,70,68,25.57786528972349,2,541,success_only__current,libero_long_20260908
task_init,0.1,70,64,15.120425553542418,6,541,success_only__current,libero_long_20260908
task_init,0.15,70,61,13.085838924891283,9,541,success_only__current,libero_long_20260908
task_init,0.2,70,57,9.096538180921868,13,541,success_only__current,libero_long_20260908
episode,0.01,541,537,4.925951817848084,4,541,success_only__cumsum,libero_long_20260908
episode,0.03,541,526,3.689851769056208,15,541,success_only__cumsum,libero_long_20260908
episode,0.05,541,515,2.7814811396024934,26,541,success_only__cumsum,libero_long_20260908
episode,0.1,541,488,2.2697762162543333,53,541,success_only__cumsum,libero_long_20260908
episode,0.15,541,461,2.0530641005839123,80,541,success_only__cumsum,libero_long_20260908
episode,0.2,541,434,1.8605707462733427,107,541,success_only__cumsum,libero_long_20260908
task_init,0.01,70,71,inf,0,541,success_only__cumsum,libero_long_20260908
task_init,0.03,70,69,6.32077877880124,1,541,success_only__cumsum,libero_long_20260908
task_init,0.05,70,68,5.311806539601808,2,541,success_only__cumsum,libero_long_20260908
task_init,0.1,70,64,4.378173429930056,6,541,success_only__cumsum,libero_long_20260908
task_init,0.15,70,61,3.2118835369245695,9,541,success_only__cumsum,libero_long_20260908
task_init,0.2,70,57,2.8208115513790366,13,541,success_only__cumsum,libero_long_20260908
