fold,suite,seed,reference_cap,method,calibration,global_row,scope,first_alarm,failed_goal_release,drop_goal_release,reason
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1234,unseen,27,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1241,unseen,-1,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1242,unseen,23,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1243,unseen,20,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1245,unseen,-1,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1246,unseen,-1,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1247,unseen,21,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1259,unseen,23,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1272,unseen,19,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1273,unseen,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1274,unseen,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1276,unseen,24,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1278,unseen,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1328,unseen,-1,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1331,unseen,20,18.0,18.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1332,unseen,17,28.0,28.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1335,unseen,20,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1345,unseen,13,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1347,unseen,13,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1348,unseen,26,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1351,unseen,13,14.0,14.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1396,unseen,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1397,unseen,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1404,unseen,13,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1406,unseen,26,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1408,unseen,19,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1418,unseen,22,14.0,14.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1419,unseen,-1,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1420,unseen,19,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1422,unseen,12,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1423,unseen,21,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1429,unseen,19,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1456,unseen,22,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1462,unseen,12,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1520,unseen,19,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1521,unseen,20,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1522,unseen,20,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1523,unseen,20,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1525,unseen,13,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1526,unseen,13,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1527,unseen,22,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1553,unseen,20,14.0,14.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1554,unseen,13,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1555,unseen,24,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1558,unseen,22,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1560,unseen,19,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1561,unseen,20,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1563,unseen,23,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1564,unseen,19,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,1565,unseen,20,18.0,18.0,object_released_or_dropped_before_goal
