方法,统一观察长度 AUC,同 init AUC,完整轨迹 AUC
stats_contrast__cumsum,0.47745855263545894,0.4878470509626409,0.4869457959497012
load_contrast__current,0.6192947286055976,0.6148511560909437,0.8841297308129493
history_contrast__current,0.6255528519631465,0.639186917015684,0.9873082720172485
behavior_contrast__current,0.5891496300060798,0.5893110831945011,0.9208887775978155
eef_motion_low__current,0.6413531448089466,0.6542906387091874,0.9849156878738136
success_only__current,0.6734447569857506,0.6557675557596776,0.848705877873183
success_only__cumsum,0.6927710883961082,0.6611963484187166,0.9995183491194441
stats_ratio__cumsum,0.6054397612543153,0.598948122739556,0.9998248045906726
v7_guard_constant,0.47644127932287206,0.4521375167280717,0.9220995575766775
v7_turbulence_constant,0.5401894539024666,0.5320392219387755,0.909078238652672
v7_success_fusion_constant,0.6516042048459378,0.6018878866080662,0.9615271626917314
clock,0.5,0.5,0.9997835021568316
random,0.528977516922818,0.5472128922065459,0.7272170064100094
