fold,suite,seed,reference_cap,method,calibration,global_row,scope,first_alarm,failed_goal_release,drop_goal_release,reason
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1234,unseen,3,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1241,unseen,2,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1242,unseen,3,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1243,unseen,2,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1245,unseen,2,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1246,unseen,2,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1247,unseen,2,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1259,unseen,2,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1272,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1273,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1274,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1276,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1278,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1328,unseen,3,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1331,unseen,2,18.0,18.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1332,unseen,3,28.0,28.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1335,unseen,2,17.0,17.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1345,unseen,2,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1347,unseen,2,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1348,unseen,2,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1351,unseen,2,14.0,14.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1396,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1397,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1404,unseen,3,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1406,unseen,12,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1408,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1418,unseen,3,14.0,14.0,object_released_outside_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1419,unseen,2,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1420,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1422,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1423,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1429,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1456,unseen,2,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1462,unseen,2,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1520,unseen,12,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1521,unseen,2,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1522,unseen,3,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1523,unseen,3,19.0,19.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,20260907,4096,stats_contrast__cumsum,episode,1525,unseen,2,19.0,19.0,object_released_or_dropped_before_goal
