fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.01,seen,560,12,548,6,5,0.5,0.009124087591240875,0.5454545454545454,0.7454379562043796,0.8416666666666668,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.01,unseen,1200,78,1122,48,0,0.6153846153846154,0.0,1.0,0.8076923076923077,0.89017094017094,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.03,seen,560,12,548,7,13,0.5833333333333334,0.023722627737226276,0.35,0.7798053527980536,0.8333333333333334,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.03,unseen,1200,78,1122,51,1,0.6538461538461539,0.00089126559714795,0.9807692307692307,0.8264774441245029,0.8675213675213674,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,seen,560,12,548,8,19,0.6666666666666666,0.03467153284671533,0.2962962962962963,0.8159975669099756,0.8305555555555556,23.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.05,unseen,1200,78,1122,53,1,0.6794871794871795,0.00089126559714795,0.9814814814814815,0.8392979569450157,0.86025641025641,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.1,seen,560,12,548,8,31,0.6666666666666666,0.05656934306569343,0.20512820512820512,0.8050486618004865,0.7777777777777777,16.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.1,unseen,1200,78,1122,57,1,0.7307692307692307,0.00089126559714795,0.9827586206896551,0.8649389825860414,0.8358974358974357,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.15,seen,560,12,548,10,92,0.8333333333333334,0.1678832116788321,0.09803921568627451,0.8327250608272507,0.7333333333333334,20.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.15,unseen,1200,78,1122,78,72,1.0,0.06417112299465241,0.52,0.9679144385026738,0.6055555555555555,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.2,seen,560,12,548,10,116,0.8333333333333334,0.2116788321167883,0.07936507936507936,0.8108272506082725,0.7222222222222223,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,episode,0.2,unseen,1200,78,1122,78,117,1.0,0.10427807486631016,0.4,0.9478609625668449,0.5619658119658119,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.03,seen,560,12,548,6,4,0.5,0.0072992700729927005,0.6,0.7463503649635036,0.8444444444444446,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.03,unseen,1200,78,1122,47,0,0.6025641025641025,0.0,1.0,0.8012820512820513,0.8918803418803418,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,seen,560,12,548,6,6,0.5,0.010948905109489052,0.5,0.7445255474452555,0.8416666666666668,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,unseen,1200,78,1122,48,0,0.6153846153846154,0.0,1.0,0.8076923076923077,0.8876068376068375,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.1,seen,560,12,548,8,19,0.6666666666666666,0.03467153284671533,0.2962962962962963,0.8159975669099756,0.8305555555555556,23.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.1,unseen,1200,78,1122,53,1,0.6794871794871795,0.00089126559714795,0.9814814814814815,0.8392979569450157,0.86025641025641,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.15,seen,560,12,548,8,28,0.6666666666666666,0.051094890510948905,0.2222222222222222,0.8077858880778588,0.7805555555555556,16.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.15,unseen,1200,78,1122,56,1,0.717948717948718,0.00089126559714795,0.9824561403508771,0.858528726175785,0.8418803418803418,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.2,seen,560,12,548,10,101,0.8333333333333334,0.1843065693430657,0.09009009009009009,0.8245133819951339,0.7277777777777779,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.2,unseen,1200,78,1122,78,88,1.0,0.0784313725490196,0.46987951807228917,0.9607843137254902,0.5918803418803419,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.01,seen,560,12,548,8,0,0.6666666666666666,0.0,1.0,0.8333333333333333,0.8305555555555556,22.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.01,unseen,1200,78,1122,55,1,0.7051282051282052,0.00089126559714795,0.9821428571428571,0.8521184697655286,0.8499999999999998,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.03,seen,560,12,548,8,12,0.6666666666666666,0.021897810218978103,0.4,0.8223844282238442,0.8222222222222223,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.03,unseen,1200,78,1122,60,2,0.7692307692307693,0.0017825311942959,0.967741935483871,0.8837241190182367,0.8239316239316238,23.0
