kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.01,507,503,4.498338222503662,4,507,v7_guard_constant,libero_long_20260909
episode,0.03,507,493,3.6213653087615967,14,507,v7_guard_constant,libero_long_20260909
episode,0.05,507,483,2.909698724746704,24,507,v7_guard_constant,libero_long_20260909
episode,0.1,507,458,2.3320326805114746,49,507,v7_guard_constant,libero_long_20260909
episode,0.15,507,432,2.0882134437561035,75,507,v7_guard_constant,libero_long_20260909
episode,0.2,507,407,1.6927332878112793,100,507,v7_guard_constant,libero_long_20260909
task_init,0.01,69,70,inf,0,507,v7_guard_constant,libero_long_20260909
task_init,0.03,69,68,5.644343376159668,1,507,v7_guard_constant,libero_long_20260909
task_init,0.05,69,67,5.065250396728516,2,507,v7_guard_constant,libero_long_20260909
task_init,0.1,69,63,4.238266468048096,6,507,v7_guard_constant,libero_long_20260909
task_init,0.15,69,60,3.4975855350494385,9,507,v7_guard_constant,libero_long_20260909
task_init,0.2,69,56,2.8174703121185303,13,507,v7_guard_constant,libero_long_20260909
episode,0.01,507,503,8.057738687593323,4,507,v7_guard_timeband,libero_long_20260909
episode,0.03,507,493,6.280219473827374,14,507,v7_guard_timeband,libero_long_20260909
episode,0.05,507,483,4.989510089118778,24,507,v7_guard_timeband,libero_long_20260909
episode,0.1,507,458,3.814902767465592,49,507,v7_guard_timeband,libero_long_20260909
episode,0.15,507,432,3.2052515886681223,75,507,v7_guard_timeband,libero_long_20260909
episode,0.2,507,407,2.662759993214907,100,507,v7_guard_timeband,libero_long_20260909
task_init,0.01,69,70,inf,0,507,v7_guard_timeband,libero_long_20260909
task_init,0.03,69,68,12.702018828414323,1,507,v7_guard_timeband,libero_long_20260909
task_init,0.05,69,67,12.067398233028456,2,507,v7_guard_timeband,libero_long_20260909
task_init,0.1,69,63,6.654411316840543,6,507,v7_guard_timeband,libero_long_20260909
task_init,0.15,69,60,5.395591226607989,9,507,v7_guard_timeband,libero_long_20260909
task_init,0.2,69,56,4.022040580484045,13,507,v7_guard_timeband,libero_long_20260909
episode,0.01,507,503,4.498338222503662,4,507,v7_freeze_constant,libero_long_20260909
episode,0.03,507,493,3.6213653087615967,14,507,v7_freeze_constant,libero_long_20260909
episode,0.05,507,483,2.909698724746704,24,507,v7_freeze_constant,libero_long_20260909
episode,0.1,507,458,2.3261497020721436,49,507,v7_freeze_constant,libero_long_20260909
episode,0.15,507,432,2.0729105472564697,75,507,v7_freeze_constant,libero_long_20260909
episode,0.2,507,407,1.6403933763504028,100,507,v7_freeze_constant,libero_long_20260909
task_init,0.01,69,70,inf,0,507,v7_freeze_constant,libero_long_20260909
task_init,0.03,69,68,5.644343376159668,1,507,v7_freeze_constant,libero_long_20260909
task_init,0.05,69,67,5.065250396728516,2,507,v7_freeze_constant,libero_long_20260909
task_init,0.1,69,63,4.238266468048096,6,507,v7_freeze_constant,libero_long_20260909
task_init,0.15,69,60,3.4975855350494385,9,507,v7_freeze_constant,libero_long_20260909
task_init,0.2,69,56,2.8174703121185303,13,507,v7_freeze_constant,libero_long_20260909
episode,0.01,507,503,1.8047266006469727,4,507,v7_turbulence_constant,libero_long_20260909
episode,0.03,507,493,1.3819504976272583,14,507,v7_turbulence_constant,libero_long_20260909
episode,0.05,507,483,1.158037781715393,24,507,v7_turbulence_constant,libero_long_20260909
episode,0.1,507,458,0.8841599822044373,49,507,v7_turbulence_constant,libero_long_20260909
episode,0.15,507,432,0.6318362951278687,75,507,v7_turbulence_constant,libero_long_20260909
episode,0.2,507,407,0.5035346150398254,100,507,v7_turbulence_constant,libero_long_20260909
task_init,0.01,69,70,inf,0,507,v7_turbulence_constant,libero_long_20260909
task_init,0.03,69,68,1.9512296915054321,1,507,v7_turbulence_constant,libero_long_20260909
task_init,0.05,69,67,1.8629826307296753,2,507,v7_turbulence_constant,libero_long_20260909
task_init,0.1,69,63,1.3822685480117798,6,507,v7_turbulence_constant,libero_long_20260909
task_init,0.15,69,60,1.1711210012435913,9,507,v7_turbulence_constant,libero_long_20260909
task_init,0.2,69,56,0.9047945737838745,13,507,v7_turbulence_constant,libero_long_20260909
episode,0.01,507,503,12.821001052856445,4,507,v7_success_fusion_constant,libero_long_20260909
episode,0.03,507,493,8.200345993041992,14,507,v7_success_fusion_constant,libero_long_20260909
episode,0.05,507,483,7.336699485778809,24,507,v7_success_fusion_constant,libero_long_20260909
episode,0.1,507,458,6.291025638580322,49,507,v7_success_fusion_constant,libero_long_20260909
episode,0.15,507,432,5.362041473388672,75,507,v7_success_fusion_constant,libero_long_20260909
episode,0.2,507,407,4.4715399742126465,100,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.01,69,70,inf,0,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.03,69,68,16.14667320251465,1,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.05,69,67,15.387316703796387,2,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.1,69,63,9.621440887451172,6,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.15,69,60,8.790750503540039,9,507,v7_success_fusion_constant,libero_long_20260909
task_init,0.2,69,56,8.200345993041992,13,507,v7_success_fusion_constant,libero_long_20260909
