method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,558,554,6.444741249084473,4,558,libero_goal_20260907
dyn_radius,episode,0.03,558,543,6.0728349685668945,15,558,libero_goal_20260907
dyn_radius,episode,0.05,558,532,5.713652610778809,26,558,libero_goal_20260907
dyn_radius,episode,0.1,558,504,5.112850666046143,54,558,libero_goal_20260907
dyn_radius,episode,0.15,558,476,4.664299488067627,82,558,libero_goal_20260907
dyn_radius,episode,0.2,558,448,4.020627498626709,110,558,libero_goal_20260907
dyn_radius,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_radius,task_init,0.03,70,69,6.580737590789795,1,558,libero_goal_20260907
dyn_radius,task_init,0.05,70,68,6.535240173339844,2,558,libero_goal_20260907
dyn_radius,task_init,0.1,70,64,6.10108757019043,6,558,libero_goal_20260907
dyn_radius,task_init,0.15,70,61,5.335273742675781,9,558,libero_goal_20260907
dyn_radius,task_init,0.2,70,57,5.063181400299072,13,558,libero_goal_20260907
dyn_radius_outward,episode,0.01,558,554,4.62345027923584,4,558,libero_goal_20260907
dyn_radius_outward,episode,0.03,558,543,4.1313090324401855,15,558,libero_goal_20260907
dyn_radius_outward,episode,0.05,558,532,3.80542254447937,26,558,libero_goal_20260907
dyn_radius_outward,episode,0.1,558,504,3.1770846843719482,54,558,libero_goal_20260907
dyn_radius_outward,episode,0.15,558,476,2.663156032562256,82,558,libero_goal_20260907
dyn_radius_outward,episode,0.2,558,448,2.440870523452759,110,558,libero_goal_20260907
dyn_radius_outward,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_radius_outward,task_init,0.03,70,69,5.287091255187988,1,558,libero_goal_20260907
dyn_radius_outward,task_init,0.05,70,68,5.194602012634277,2,558,libero_goal_20260907
dyn_radius_outward,task_init,0.1,70,64,4.048423767089844,6,558,libero_goal_20260907
dyn_radius_outward,task_init,0.15,70,61,3.2324514389038086,9,558,libero_goal_20260907
dyn_radius_outward,task_init,0.2,70,57,3.055837631225586,13,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.01,558,554,1.4105054140090942,4,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.03,558,543,1.2411295175552368,15,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.05,558,532,1.1031495332717896,26,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.1,558,504,0.9298937320709229,54,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.15,558,476,0.8608835339546204,82,558,libero_goal_20260907
dyn_success_knn_k1,episode,0.2,558,448,0.8018980026245117,110,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.03,70,69,1.47445809841156,1,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.05,70,68,1.4617078304290771,2,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.1,70,64,1.2558115720748901,6,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.15,70,61,1.1245923042297363,9,558,libero_goal_20260907
dyn_success_knn_k1,task_init,0.2,70,57,0.9801627397537231,13,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.01,558,554,1.56615149974823,4,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.03,558,543,1.3973735570907593,15,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.05,558,532,1.2346277236938477,26,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.1,558,504,1.0294045209884644,54,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.15,558,476,0.9538547992706299,82,558,libero_goal_20260907
dyn_success_knn_k5,episode,0.2,558,448,0.9089963436126709,110,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.03,70,69,1.6550668478012085,1,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.05,70,68,1.5988680124282837,2,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.1,70,64,1.3825135231018066,6,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.15,70,61,1.2284637689590454,9,558,libero_goal_20260907
dyn_success_knn_k5,task_init,0.2,70,57,1.10308837890625,13,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.01,558,554,1.8209435939788818,4,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.03,558,543,1.60194993019104,15,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.05,558,532,1.4257900714874268,26,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.1,558,504,1.213172197341919,54,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.15,558,476,1.1383233070373535,82,558,libero_goal_20260907
dyn_success_knn_k20,episode,0.2,558,448,1.055996060371399,110,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.03,70,69,1.9078218936920166,1,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.05,70,68,1.8795933723449707,2,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.1,70,64,1.5540238618850708,6,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.15,70,61,1.3931410312652588,9,558,libero_goal_20260907
dyn_success_knn_k20,task_init,0.2,70,57,1.3264391422271729,13,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.01,558,554,1.4982393980026245,4,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.03,558,543,1.1556172370910645,15,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.05,558,532,1.0400630235671997,26,558,libero_goal_20260907
