method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,552,548,6.440852165222168,4,552,libero_object_20260909
dyn_radius,episode,0.03,552,537,5.70898962020874,15,552,libero_object_20260909
dyn_radius,episode,0.05,552,526,5.419795036315918,26,552,libero_object_20260909
dyn_radius,episode,0.1,552,498,5.017670154571533,54,552,libero_object_20260909
dyn_radius,episode,0.15,552,471,4.79962158203125,81,552,libero_object_20260909
dyn_radius,episode,0.2,552,443,4.5856781005859375,109,552,libero_object_20260909
dyn_radius,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_radius,task_init,0.03,70,69,6.494875431060791,1,552,libero_object_20260909
dyn_radius,task_init,0.05,70,68,6.486364841461182,2,552,libero_object_20260909
dyn_radius,task_init,0.1,70,64,6.066414833068848,6,552,libero_object_20260909
dyn_radius,task_init,0.15,70,61,5.552003860473633,9,552,libero_object_20260909
dyn_radius,task_init,0.2,70,57,5.350255966186523,13,552,libero_object_20260909
dyn_radius_outward,episode,0.01,552,548,4.644076347351074,4,552,libero_object_20260909
dyn_radius_outward,episode,0.03,552,537,3.8235185146331787,15,552,libero_object_20260909
dyn_radius_outward,episode,0.05,552,526,3.369691848754883,26,552,libero_object_20260909
dyn_radius_outward,episode,0.1,552,498,2.430434465408325,54,552,libero_object_20260909
dyn_radius_outward,episode,0.15,552,471,2.0382325649261475,81,552,libero_object_20260909
dyn_radius_outward,episode,0.2,552,443,1.736525297164917,109,552,libero_object_20260909
dyn_radius_outward,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_radius_outward,task_init,0.03,70,69,4.725500106811523,1,552,libero_object_20260909
dyn_radius_outward,task_init,0.05,70,68,4.681791305541992,2,552,libero_object_20260909
dyn_radius_outward,task_init,0.1,70,64,3.1562719345092773,6,552,libero_object_20260909
dyn_radius_outward,task_init,0.15,70,61,2.92010235786438,9,552,libero_object_20260909
dyn_radius_outward,task_init,0.2,70,57,2.644014358520508,13,552,libero_object_20260909
dyn_success_knn_k1,episode,0.01,552,548,1.4362410306930542,4,552,libero_object_20260909
dyn_success_knn_k1,episode,0.03,552,537,1.2712780237197876,15,552,libero_object_20260909
dyn_success_knn_k1,episode,0.05,552,526,1.147058129310608,26,552,libero_object_20260909
dyn_success_knn_k1,episode,0.1,552,498,1.0421127080917358,54,552,libero_object_20260909
dyn_success_knn_k1,episode,0.15,552,471,0.9892261624336243,81,552,libero_object_20260909
dyn_success_knn_k1,episode,0.2,552,443,0.9499147534370422,109,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.03,70,69,1.7156009674072266,1,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.05,70,68,1.6082029342651367,2,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.1,70,64,1.3950423002243042,6,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.15,70,61,1.3154067993164062,9,552,libero_object_20260909
dyn_success_knn_k1,task_init,0.2,70,57,1.2116597890853882,13,552,libero_object_20260909
dyn_success_knn_k5,episode,0.01,552,548,1.779903769493103,4,552,libero_object_20260909
dyn_success_knn_k5,episode,0.03,552,537,1.4133015871047974,15,552,libero_object_20260909
dyn_success_knn_k5,episode,0.05,552,526,1.2645270824432373,26,552,libero_object_20260909
dyn_success_knn_k5,episode,0.1,552,498,1.1274322271347046,54,552,libero_object_20260909
dyn_success_knn_k5,episode,0.15,552,471,1.0686554908752441,81,552,libero_object_20260909
dyn_success_knn_k5,episode,0.2,552,443,1.0375323295593262,109,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.03,70,69,1.9630846977233887,1,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.05,70,68,1.875436544418335,2,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.1,70,64,1.604266881942749,6,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.15,70,61,1.5013407468795776,9,552,libero_object_20260909
dyn_success_knn_k5,task_init,0.2,70,57,1.351116418838501,13,552,libero_object_20260909
dyn_success_knn_k20,episode,0.01,552,548,1.9908019304275513,4,552,libero_object_20260909
dyn_success_knn_k20,episode,0.03,552,537,1.691629409790039,15,552,libero_object_20260909
dyn_success_knn_k20,episode,0.05,552,526,1.4448766708374023,26,552,libero_object_20260909
dyn_success_knn_k20,episode,0.1,552,498,1.3035141229629517,54,552,libero_object_20260909
dyn_success_knn_k20,episode,0.15,552,471,1.2353088855743408,81,552,libero_object_20260909
dyn_success_knn_k20,episode,0.2,552,443,1.18765389919281,109,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.03,70,69,2.396949291229248,1,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.05,70,68,2.27472186088562,2,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.1,70,64,1.9079296588897705,6,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.15,70,61,1.8320019245147705,9,552,libero_object_20260909
dyn_success_knn_k20,task_init,0.2,70,57,1.63206946849823,13,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.01,552,548,1.6095682382583618,4,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.03,552,537,1.3440903425216675,15,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.05,552,526,1.1691005229949951,26,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.1,552,498,1.0787150859832764,54,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.15,552,471,1.0314078330993652,81,552,libero_object_20260909
dyn_success_knn_k20_persist3,episode,0.2,552,443,0.9842925667762756,109,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.03,70,69,1.828971028327942,1,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.05,70,68,1.8173874616622925,2,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.1,70,64,1.4839884042739868,6,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.15,70,61,1.3781464099884033,9,552,libero_object_20260909
dyn_success_knn_k20_persist3,task_init,0.2,70,57,1.214036464691162,13,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.01,552,548,0.10000000149011612,3,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.03,552,537,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.05,552,526,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.1,552,498,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.15,552,471,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.2,552,443,0.0,82,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.03,70,69,0.15000000596046448,0,552,libero_object_20260909
