method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,516,520,0.8373392820358276,4,520,libero_long_20260907
route_ja_k20,episode,0.03,506,520,0.827005922794342,14,520,libero_long_20260907
route_ja_k20,episode,0.05,495,520,0.8241845369338989,25,520,libero_long_20260907
route_ja_k20,episode,0.1,469,520,0.8180118799209595,51,520,libero_long_20260907
route_ja_k20,episode,0.15,443,520,0.8122321367263794,77,520,libero_long_20260907
route_ja_k20,episode,0.2,417,520,0.8090000152587891,103,520,libero_long_20260907
route_ja_k20,task_init,0.01,71,70,inf,0,520,libero_long_20260907
route_ja_k20,task_init,0.03,69,70,0.84246426820755,1,520,libero_long_20260907
route_ja_k20,task_init,0.05,68,70,0.8424583077430725,2,520,libero_long_20260907
route_ja_k20,task_init,0.1,64,70,0.8303511738777161,6,520,libero_long_20260907
route_ja_k20,task_init,0.15,61,70,0.829369068145752,9,520,libero_long_20260907
route_ja_k20,task_init,0.2,57,70,0.8256964087486267,13,520,libero_long_20260907
route_wj_site_k20,episode,0.01,516,520,0.12395107001066208,4,520,libero_long_20260907
route_wj_site_k20,episode,0.03,506,520,0.12048447132110596,14,520,libero_long_20260907
route_wj_site_k20,episode,0.05,495,520,0.11713497340679169,25,520,libero_long_20260907
route_wj_site_k20,episode,0.1,469,520,0.11401472240686417,51,520,libero_long_20260907
route_wj_site_k20,episode,0.15,443,520,0.11122012138366699,77,520,libero_long_20260907
route_wj_site_k20,episode,0.2,417,520,0.10912524908781052,103,520,libero_long_20260907
route_wj_site_k20,task_init,0.01,71,70,inf,0,520,libero_long_20260907
route_wj_site_k20,task_init,0.03,69,70,0.12599696218967438,1,520,libero_long_20260907
route_wj_site_k20,task_init,0.05,68,70,0.12497799843549728,2,520,libero_long_20260907
route_wj_site_k20,task_init,0.1,64,70,0.11855393648147583,6,520,libero_long_20260907
route_wj_site_k20,task_init,0.15,61,70,0.11679712682962418,9,520,libero_long_20260907
route_wj_site_k20,task_init,0.2,57,70,0.11523087322711945,13,520,libero_long_20260907
route_wj_aligned_k20,episode,0.01,516,520,0.12481847405433655,4,520,libero_long_20260907
route_wj_aligned_k20,episode,0.03,506,520,0.1210191398859024,14,520,libero_long_20260907
route_wj_aligned_k20,episode,0.05,495,520,0.11769116669893265,25,520,libero_long_20260907
route_wj_aligned_k20,episode,0.1,469,520,0.11455626785755157,51,520,libero_long_20260907
route_wj_aligned_k20,episode,0.15,443,520,0.11171119660139084,77,520,libero_long_20260907
route_wj_aligned_k20,episode,0.2,417,520,0.10959622263908386,103,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.03,69,70,0.12648002803325653,1,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.05,68,70,0.12565219402313232,2,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.1,64,70,0.11913294345140457,6,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.15,61,70,0.11731433868408203,9,520,libero_long_20260907
route_wj_aligned_k20,task_init,0.2,57,70,0.115777887403965,13,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.01,516,520,0.06367773562669754,4,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.03,506,520,0.061196401715278625,14,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.05,495,520,0.06009862571954727,25,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.1,469,520,0.05775411054491997,51,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.15,443,520,0.05619672313332558,77,520,libero_long_20260907
route_hellinger_aligned_k20,episode,0.2,417,520,0.05504784733057022,103,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.03,69,70,0.06624187529087067,1,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.05,68,70,0.06367773562669754,2,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.1,64,70,0.061061881482601166,6,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.15,61,70,0.059119004756212234,9,520,libero_long_20260907
route_hellinger_aligned_k20,task_init,0.2,57,70,0.05819263681769371,13,520,libero_long_20260907
