method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,548,552,0.838815450668335,4,552,libero_object_20260909
route_ja_k20,episode,0.03,537,552,0.8249226212501526,15,552,libero_object_20260909
route_ja_k20,episode,0.05,526,552,0.8119702339172363,26,552,libero_object_20260909
route_ja_k20,episode,0.1,498,552,0.7943333387374878,54,552,libero_object_20260909
route_ja_k20,episode,0.15,471,552,0.7818333506584167,81,552,libero_object_20260909
route_ja_k20,episode,0.2,443,552,0.7735714316368103,109,552,libero_object_20260909
route_ja_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260909
route_ja_k20,task_init,0.03,69,70,0.8449464440345764,1,552,libero_object_20260909
route_ja_k20,task_init,0.05,68,70,0.8431666493415833,2,552,libero_object_20260909
route_ja_k20,task_init,0.1,64,70,0.8264702558517456,6,552,libero_object_20260909
route_ja_k20,task_init,0.15,61,70,0.8184999823570251,9,552,libero_object_20260909
route_ja_k20,task_init,0.2,57,70,0.8094642758369446,13,552,libero_object_20260909
route_wj_site_k20,episode,0.01,548,552,0.12611062824726105,4,552,libero_object_20260909
route_wj_site_k20,episode,0.03,537,552,0.12349052727222443,15,552,libero_object_20260909
route_wj_site_k20,episode,0.05,526,552,0.12210188060998917,26,552,libero_object_20260909
route_wj_site_k20,episode,0.1,498,552,0.11660373210906982,54,552,libero_object_20260909
route_wj_site_k20,episode,0.15,471,552,0.11404455453157425,81,552,libero_object_20260909
route_wj_site_k20,episode,0.2,443,552,0.11125179380178452,109,552,libero_object_20260909
route_wj_site_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260909
route_wj_site_k20,task_init,0.03,69,70,0.1277545988559723,1,552,libero_object_20260909
route_wj_site_k20,task_init,0.05,68,70,0.1277228742837906,2,552,libero_object_20260909
route_wj_site_k20,task_init,0.1,64,70,0.12473799288272858,6,552,libero_object_20260909
route_wj_site_k20,task_init,0.15,61,70,0.12399356812238693,9,552,libero_object_20260909
route_wj_site_k20,task_init,0.2,57,70,0.12290097773075104,13,552,libero_object_20260909
route_wj_aligned_k20,episode,0.01,548,552,0.12697060406208038,4,552,libero_object_20260909
route_wj_aligned_k20,episode,0.03,537,552,0.12436475604772568,15,552,libero_object_20260909
route_wj_aligned_k20,episode,0.05,526,552,0.12261088192462921,26,552,libero_object_20260909
route_wj_aligned_k20,episode,0.1,498,552,0.11736001074314117,54,552,libero_object_20260909
route_wj_aligned_k20,episode,0.15,471,552,0.11463455855846405,81,552,libero_object_20260909
route_wj_aligned_k20,episode,0.2,443,552,0.11191496253013611,109,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.03,69,70,0.1285552978515625,1,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.05,68,70,0.12832127511501312,2,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.1,64,70,0.12551939487457275,6,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.15,61,70,0.12485343962907791,9,552,libero_object_20260909
route_wj_aligned_k20,task_init,0.2,57,70,0.12370293587446213,13,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.01,548,552,0.06452078372240067,4,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.03,537,552,0.062393397092819214,15,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.05,526,552,0.061438217759132385,26,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.1,498,552,0.05886056274175644,54,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.15,471,552,0.057615604251623154,81,552,libero_object_20260909
route_hellinger_aligned_k20,episode,0.2,443,552,0.05629285052418709,109,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.03,69,70,0.06544358283281326,1,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.05,68,70,0.0645875409245491,2,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.1,64,70,0.06328725069761276,6,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.15,61,70,0.06297169625759125,9,552,libero_object_20260909
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06192461773753166,13,552,libero_object_20260909
