method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,531,535,0.8461130857467651,4,535,libero_spatial_20260907
route_ja_k20,episode,0.03,520,535,0.783255934715271,15,535,libero_spatial_20260907
route_ja_k20,episode,0.05,510,535,0.7630416750907898,25,535,libero_spatial_20260907
route_ja_k20,episode,0.1,483,535,0.746958315372467,52,535,libero_spatial_20260907
route_ja_k20,episode,0.15,456,535,0.7395535707473755,79,535,libero_spatial_20260907
route_ja_k20,episode,0.2,429,535,0.7322678565979004,106,535,libero_spatial_20260907
route_ja_k20,task_init,0.01,71,70,inf,0,535,libero_spatial_20260907
route_ja_k20,task_init,0.03,69,70,0.8553928732872009,1,535,libero_spatial_20260907
route_ja_k20,task_init,0.05,68,70,0.8522023558616638,2,535,libero_spatial_20260907
route_ja_k20,task_init,0.1,64,70,0.8121309280395508,6,535,libero_spatial_20260907
route_ja_k20,task_init,0.15,61,70,0.7824583053588867,9,535,libero_spatial_20260907
route_ja_k20,task_init,0.2,57,70,0.7630000114440918,13,535,libero_spatial_20260907
route_wj_site_k20,episode,0.01,531,535,0.14861489832401276,4,535,libero_spatial_20260907
route_wj_site_k20,episode,0.03,520,535,0.14144593477249146,15,535,libero_spatial_20260907
route_wj_site_k20,episode,0.05,510,535,0.13499614596366882,25,535,libero_spatial_20260907
route_wj_site_k20,episode,0.1,483,535,0.12970276176929474,52,535,libero_spatial_20260907
route_wj_site_k20,episode,0.15,456,535,0.12435634434223175,79,535,libero_spatial_20260907
route_wj_site_k20,episode,0.2,429,535,0.11962375044822693,106,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.01,71,70,inf,0,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.03,69,70,0.1537044644355774,1,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.05,68,70,0.1488935649394989,2,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.1,64,70,0.14237704873085022,6,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.15,61,70,0.13728313148021698,9,535,libero_spatial_20260907
route_wj_site_k20,task_init,0.2,57,70,0.13457472622394562,13,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.01,531,535,0.14938746392726898,4,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.03,520,535,0.14241871237754822,15,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.05,510,535,0.13587625324726105,25,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.1,483,535,0.13085630536079407,52,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.15,456,535,0.12513522803783417,79,535,libero_spatial_20260907
route_wj_aligned_k20,episode,0.2,429,535,0.12053989619016647,106,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.03,69,70,0.15448689460754395,1,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.05,68,70,0.1500081568956375,2,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.1,64,70,0.14323902130126953,6,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.15,61,70,0.1384400576353073,9,535,libero_spatial_20260907
route_wj_aligned_k20,task_init,0.2,57,70,0.1354397088289261,13,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.01,531,535,0.0766931027173996,4,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.03,520,535,0.07220473140478134,15,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.05,510,535,0.06973585486412048,25,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.1,483,535,0.06645730882883072,52,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.15,456,535,0.06375429034233093,79,535,libero_spatial_20260907
route_hellinger_aligned_k20,episode,0.2,429,535,0.06120876595377922,106,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.03,69,70,0.07799679785966873,1,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.05,68,70,0.07705707848072052,2,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.1,64,70,0.07220473140478134,6,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.15,61,70,0.07090316712856293,9,535,libero_spatial_20260907
route_hellinger_aligned_k20,task_init,0.2,57,70,0.06885399669408798,13,535,libero_spatial_20260907
