method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,2.374406337738037,538,542,4,libero_goal_20260909
knn10,episode,0.03,2.140929698944092,527,542,15,libero_goal_20260909
knn10,episode,0.05,1.9600365161895752,516,542,26,libero_goal_20260909
knn10,episode,0.1,1.7971737384796143,489,542,53,libero_goal_20260909
knn10,episode,0.15,1.6997096538543701,462,542,80,libero_goal_20260909
knn10,episode,0.2,1.6142371892929077,435,542,107,libero_goal_20260909
knn10,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn10,task_init,0.03,2.5682194232940674,69,70,1,libero_goal_20260909
knn10,task_init,0.05,2.4570610523223877,68,70,2,libero_goal_20260909
knn10,task_init,0.1,2.140929698944092,64,70,6,libero_goal_20260909
knn10,task_init,0.15,1.9020664691925049,61,70,9,libero_goal_20260909
knn10,task_init,0.2,1.865497350692749,57,70,13,libero_goal_20260909
knn10_persist3,episode,0.01,2.1288554668426514,538,542,4,libero_goal_20260909
knn10_persist3,episode,0.03,1.8300210237503052,527,542,15,libero_goal_20260909
knn10_persist3,episode,0.05,1.5875349044799805,516,542,26,libero_goal_20260909
knn10_persist3,episode,0.1,1.4240235090255737,489,542,53,libero_goal_20260909
knn10_persist3,episode,0.15,1.3265935182571411,462,542,80,libero_goal_20260909
knn10_persist3,episode,0.2,1.2324262857437134,435,542,107,libero_goal_20260909
knn10_persist3,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn10_persist3,task_init,0.03,2.4334733486175537,69,70,1,libero_goal_20260909
knn10_persist3,task_init,0.05,2.2706363201141357,68,70,2,libero_goal_20260909
knn10_persist3,task_init,0.1,1.6507984399795532,64,70,6,libero_goal_20260909
knn10_persist3,task_init,0.15,1.5410610437393188,61,70,9,libero_goal_20260909
knn10_persist3,task_init,0.2,1.4930120706558228,57,70,13,libero_goal_20260909
knn10_delta_q7,episode,0.01,1.3873155117034912,538,542,4,libero_goal_20260909
knn10_delta_q7,episode,0.03,1.2105458974838257,527,542,15,libero_goal_20260909
knn10_delta_q7,episode,0.05,1.077271580696106,516,542,26,libero_goal_20260909
knn10_delta_q7,episode,0.1,0.9208000898361206,489,542,53,libero_goal_20260909
knn10_delta_q7,episode,0.15,0.7845735549926758,462,542,80,libero_goal_20260909
knn10_delta_q7,episode,0.2,0.6649750471115112,435,542,107,libero_goal_20260909
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn10_delta_q7,task_init,0.03,1.565523386001587,69,70,1,libero_goal_20260909
knn10_delta_q7,task_init,0.05,1.356205940246582,68,70,2,libero_goal_20260909
knn10_delta_q7,task_init,0.1,1.1601580381393433,64,70,6,libero_goal_20260909
knn10_delta_q7,task_init,0.15,1.0504169464111328,61,70,9,libero_goal_20260909
knn10_delta_q7,task_init,0.2,0.9339343309402466,57,70,13,libero_goal_20260909
v7_guard,episode,0.01,2.0523788928985596,538,542,4,libero_goal_20260909
v7_guard,episode,0.03,1.6791917085647583,527,542,15,libero_goal_20260909
v7_guard,episode,0.05,1.4398605823516846,516,542,26,libero_goal_20260909
v7_guard,episode,0.1,1.1766985654830933,489,542,53,libero_goal_20260909
v7_guard,episode,0.15,1.1178615093231201,462,542,80,libero_goal_20260909
v7_guard,episode,0.2,1.0394492149353027,435,542,107,libero_goal_20260909
v7_guard,task_init,0.01,inf,71,70,0,libero_goal_20260909
v7_guard,task_init,0.03,2.290834426879883,69,70,1,libero_goal_20260909
v7_guard,task_init,0.05,1.8820996284484863,68,70,2,libero_goal_20260909
v7_guard,task_init,0.1,1.4717497825622559,64,70,6,libero_goal_20260909
v7_guard,task_init,0.15,1.3295197486877441,61,70,9,libero_goal_20260909
v7_guard,task_init,0.2,1.254757046699524,57,70,13,libero_goal_20260909
v8_guard,episode,0.01,2.564227819442749,538,542,4,libero_goal_20260909
v8_guard,episode,0.03,2.1414852142333984,527,542,15,libero_goal_20260909
v8_guard,episode,0.05,1.9020177125930786,516,542,26,libero_goal_20260909
v8_guard,episode,0.1,1.6191935539245605,489,542,53,libero_goal_20260909
v8_guard,episode,0.15,1.4296364784240723,462,542,80,libero_goal_20260909
v8_guard,episode,0.2,1.2557553052902222,435,542,107,libero_goal_20260909
v8_guard,task_init,0.01,inf,71,70,0,libero_goal_20260909
v8_guard,task_init,0.03,3.0800058841705322,69,70,1,libero_goal_20260909
v8_guard,task_init,0.05,2.7040483951568604,68,70,2,libero_goal_20260909
v8_guard,task_init,0.1,2.230936288833618,64,70,6,libero_goal_20260909
v8_guard,task_init,0.15,1.8820996284484863,61,70,9,libero_goal_20260909
v8_guard,task_init,0.2,1.7657254934310913,57,70,13,libero_goal_20260909
v82_guard,episode,0.01,2.865185260772705,538,542,4,libero_goal_20260909
v82_guard,episode,0.03,2.371872901916504,527,542,15,libero_goal_20260909
v82_guard,episode,0.05,2.236454725265503,516,542,26,libero_goal_20260909
v82_guard,episode,0.1,1.8803455829620361,489,542,53,libero_goal_20260909
v82_guard,episode,0.15,1.6742738485336304,462,542,80,libero_goal_20260909
v82_guard,episode,0.2,1.5300120115280151,435,542,107,libero_goal_20260909
v82_guard,task_init,0.01,inf,71,70,0,libero_goal_20260909
v82_guard,task_init,0.03,3.3850231170654297,69,70,1,libero_goal_20260909
v82_guard,task_init,0.05,2.8692452907562256,68,70,2,libero_goal_20260909
v82_guard,task_init,0.1,2.5359537601470947,64,70,6,libero_goal_20260909
v82_guard,task_init,0.15,2.144304037094116,61,70,9,libero_goal_20260909
v82_guard,task_init,0.2,1.9069170951843262,57,70,13,libero_goal_20260909
knn12_v8,episode,0.01,2.662416696548462,538,542,4,libero_goal_20260909
knn12_v8,episode,0.03,2.3544695377349854,527,542,15,libero_goal_20260909
knn12_v8,episode,0.05,2.240780830383301,516,542,26,libero_goal_20260909
knn12_v8,episode,0.1,2.065528631210327,489,542,53,libero_goal_20260909
knn12_v8,episode,0.15,1.9583736658096313,462,542,80,libero_goal_20260909
knn12_v8,episode,0.2,1.8740729093551636,435,542,107,libero_goal_20260909
knn12_v8,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn12_v8,task_init,0.03,2.747185468673706,69,70,1,libero_goal_20260909
knn12_v8,task_init,0.05,2.694044828414917,68,70,2,libero_goal_20260909
knn12_v8,task_init,0.1,2.4100003242492676,64,70,6,libero_goal_20260909
knn12_v8,task_init,0.15,2.241631507873535,61,70,9,libero_goal_20260909
knn12_v8,task_init,0.2,2.1720967292785645,57,70,13,libero_goal_20260909
knn_and_v7,episode,0.01,2.4640166759490967,538,542,4,libero_goal_20260909
knn_and_v7,episode,0.03,1.9939885139465332,527,542,15,libero_goal_20260909
knn_and_v7,episode,0.05,1.3148530721664429,516,542,26,libero_goal_20260909
knn_and_v7,episode,0.1,1.0300265550613403,489,542,53,libero_goal_20260909
knn_and_v7,episode,0.15,0.6777528524398804,462,542,80,libero_goal_20260909
knn_and_v7,episode,0.2,0.4774622619152069,435,542,107,libero_goal_20260909
knn_and_v7,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn_and_v7,task_init,0.03,2.760444402694702,69,70,1,libero_goal_20260909
knn_and_v7,task_init,0.05,2.252340078353882,68,70,2,libero_goal_20260909
knn_and_v7,task_init,0.1,1.2929250001907349,64,70,6,libero_goal_20260909
knn_and_v7,task_init,0.15,1.1782007217407227,61,70,9,libero_goal_20260909
knn_and_v7,task_init,0.2,0.7237296104431152,57,70,13,libero_goal_20260909
knn_and_v8,episode,0.01,2.712399482727051,538,542,4,libero_goal_20260909
knn_and_v8,episode,0.03,2.159379482269287,527,542,15,libero_goal_20260909
knn_and_v8,episode,0.05,1.8559013605117798,516,542,26,libero_goal_20260909
knn_and_v8,episode,0.1,1.4780725240707397,489,542,53,libero_goal_20260909
knn_and_v8,episode,0.15,1.1712815761566162,462,542,80,libero_goal_20260909
knn_and_v8,episode,0.2,0.9506266117095947,435,542,107,libero_goal_20260909
knn_and_v8,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn_and_v8,task_init,0.03,3.0962204933166504,69,70,1,libero_goal_20260909
knn_and_v8,task_init,0.05,2.791240930557251,68,70,2,libero_goal_20260909
knn_and_v8,task_init,0.1,2.069240093231201,64,70,6,libero_goal_20260909
knn_and_v8,task_init,0.15,1.8274182081222534,61,70,9,libero_goal_20260909
knn_and_v8,task_init,0.2,1.5498892068862915,57,70,13,libero_goal_20260909
knn_or_v8,episode,0.01,4.380468368530273,538,542,4,libero_goal_20260909
knn_or_v8,episode,0.03,3.6429495811462402,527,542,15,libero_goal_20260909
knn_or_v8,episode,0.05,3.2093212604522705,516,542,26,libero_goal_20260909
knn_or_v8,episode,0.1,2.592327356338501,489,542,53,libero_goal_20260909
knn_or_v8,episode,0.15,2.305619239807129,462,542,80,libero_goal_20260909
knn_or_v8,episode,0.2,2.0614736080169678,435,542,107,libero_goal_20260909
knn_or_v8,task_init,0.01,inf,71,70,0,libero_goal_20260909
knn_or_v8,task_init,0.03,5.003844738006592,69,70,1,libero_goal_20260909
knn_or_v8,task_init,0.05,4.646317005157471,68,70,2,libero_goal_20260909
knn_or_v8,task_init,0.1,3.7339649200439453,64,70,6,libero_goal_20260909
knn_or_v8,task_init,0.15,3.0905072689056396,61,70,9,libero_goal_20260909
knn_or_v8,task_init,0.2,2.818329095840454,57,70,13,libero_goal_20260909
