method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,3.4687318801879883,537,541,4,libero_long_20260908
knn10,episode,0.03,2.6383228302001953,526,541,15,libero_long_20260908
knn10,episode,0.05,2.3764140605926514,515,541,26,libero_long_20260908
knn10,episode,0.1,2.0724456310272217,488,541,53,libero_long_20260908
knn10,episode,0.15,1.9198945760726929,461,541,80,libero_long_20260908
knn10,episode,0.2,1.8213988542556763,434,541,107,libero_long_20260908
knn10,task_init,0.01,inf,71,70,0,libero_long_20260908
knn10,task_init,0.03,3.8145828247070312,69,70,1,libero_long_20260908
knn10,task_init,0.05,3.5915188789367676,68,70,2,libero_long_20260908
knn10,task_init,0.1,2.7559032440185547,64,70,6,libero_long_20260908
knn10,task_init,0.15,2.4591596126556396,61,70,9,libero_long_20260908
knn10,task_init,0.2,2.3127024173736572,57,70,13,libero_long_20260908
knn10_persist3,episode,0.01,2.9064223766326904,537,541,4,libero_long_20260908
knn10_persist3,episode,0.03,2.2512292861938477,526,541,15,libero_long_20260908
knn10_persist3,episode,0.05,2.065859794616699,515,541,26,libero_long_20260908
knn10_persist3,episode,0.1,1.8006755113601685,488,541,53,libero_long_20260908
knn10_persist3,episode,0.15,1.6514943838119507,461,541,80,libero_long_20260908
knn10_persist3,episode,0.2,1.6015533208847046,434,541,107,libero_long_20260908
knn10_persist3,task_init,0.01,inf,71,70,0,libero_long_20260908
knn10_persist3,task_init,0.03,3.1267175674438477,69,70,1,libero_long_20260908
knn10_persist3,task_init,0.05,2.9064223766326904,68,70,2,libero_long_20260908
knn10_persist3,task_init,0.1,2.2859678268432617,64,70,6,libero_long_20260908
knn10_persist3,task_init,0.15,2.0829615592956543,61,70,9,libero_long_20260908
knn10_persist3,task_init,0.2,1.9646267890930176,57,70,13,libero_long_20260908
knn10_delta_q7,episode,0.01,2.5476536750793457,537,541,4,libero_long_20260908
knn10_delta_q7,episode,0.03,1.7954344749450684,526,541,15,libero_long_20260908
knn10_delta_q7,episode,0.05,1.421692132949829,515,541,26,libero_long_20260908
knn10_delta_q7,episode,0.1,1.1195745468139648,488,541,53,libero_long_20260908
knn10_delta_q7,episode,0.15,0.9913954138755798,461,541,80,libero_long_20260908
knn10_delta_q7,episode,0.2,0.9242889285087585,434,541,107,libero_long_20260908
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_long_20260908
knn10_delta_q7,task_init,0.03,2.8854401111602783,69,70,1,libero_long_20260908
knn10_delta_q7,task_init,0.05,2.6456925868988037,68,70,2,libero_long_20260908
knn10_delta_q7,task_init,0.1,1.8892872333526611,64,70,6,libero_long_20260908
knn10_delta_q7,task_init,0.15,1.511952519416809,61,70,9,libero_long_20260908
knn10_delta_q7,task_init,0.2,1.3740253448486328,57,70,13,libero_long_20260908
v7_guard,episode,0.01,5.948578357696533,537,541,4,libero_long_20260908
v7_guard,episode,0.03,4.202178955078125,526,541,15,libero_long_20260908
v7_guard,episode,0.05,3.7078070640563965,515,541,26,libero_long_20260908
v7_guard,episode,0.1,2.7297961711883545,488,541,53,libero_long_20260908
v7_guard,episode,0.15,2.2195162773132324,461,541,80,libero_long_20260908
v7_guard,episode,0.2,1.9782958030700684,434,541,107,libero_long_20260908
v7_guard,task_init,0.01,inf,71,70,0,libero_long_20260908
v7_guard,task_init,0.03,6.846936225891113,69,70,1,libero_long_20260908
v7_guard,task_init,0.05,5.948578357696533,68,70,2,libero_long_20260908
v7_guard,task_init,0.1,3.6953141689300537,64,70,6,libero_long_20260908
