method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,1.8896188735961914,539,543,4,libero_spatial_20260909
knn10,episode,0.03,1.5573993921279907,528,543,15,libero_spatial_20260909
knn10,episode,0.05,1.461551547050476,517,543,26,libero_spatial_20260909
knn10,episode,0.1,1.3638050556182861,490,543,53,libero_spatial_20260909
knn10,episode,0.15,1.3041629791259766,463,543,80,libero_spatial_20260909
knn10,episode,0.2,1.2377656698226929,436,543,107,libero_spatial_20260909
knn10,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn10,task_init,0.03,2.0669965744018555,69,70,1,libero_spatial_20260909
knn10,task_init,0.05,1.9179973602294922,68,70,2,libero_spatial_20260909
knn10,task_init,0.1,1.6354330778121948,64,70,6,libero_spatial_20260909
knn10,task_init,0.15,1.5464080572128296,61,70,9,libero_spatial_20260909
knn10,task_init,0.2,1.4797437191009521,57,70,13,libero_spatial_20260909
knn10_persist3,episode,0.01,1.3871773481369019,539,543,4,libero_spatial_20260909
knn10_persist3,episode,0.03,1.2190450429916382,528,543,15,libero_spatial_20260909
knn10_persist3,episode,0.05,1.1633201837539673,517,543,26,libero_spatial_20260909
knn10_persist3,episode,0.1,1.0537025928497314,490,543,53,libero_spatial_20260909
knn10_persist3,episode,0.15,0.990206241607666,463,543,80,libero_spatial_20260909
knn10_persist3,episode,0.2,0.9536412954330444,436,543,107,libero_spatial_20260909
knn10_persist3,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn10_persist3,task_init,0.03,1.4981392621994019,69,70,1,libero_spatial_20260909
knn10_persist3,task_init,0.05,1.4176347255706787,68,70,2,libero_spatial_20260909
knn10_persist3,task_init,0.1,1.2386443614959717,64,70,6,libero_spatial_20260909
knn10_persist3,task_init,0.15,1.2311195135116577,61,70,9,libero_spatial_20260909
knn10_persist3,task_init,0.2,1.157484769821167,57,70,13,libero_spatial_20260909
knn10_delta_q7,episode,0.01,0.9130725860595703,539,543,4,libero_spatial_20260909
knn10_delta_q7,episode,0.03,0.785115122795105,528,543,15,libero_spatial_20260909
knn10_delta_q7,episode,0.05,0.7131495475769043,517,543,26,libero_spatial_20260909
knn10_delta_q7,episode,0.1,0.6139600872993469,490,543,53,libero_spatial_20260909
knn10_delta_q7,episode,0.15,0.5435838103294373,463,543,80,libero_spatial_20260909
knn10_delta_q7,episode,0.2,0.48552024364471436,436,543,107,libero_spatial_20260909
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn10_delta_q7,task_init,0.03,1.032578706741333,69,70,1,libero_spatial_20260909
knn10_delta_q7,task_init,0.05,1.017200231552124,68,70,2,libero_spatial_20260909
knn10_delta_q7,task_init,0.1,0.8165618181228638,64,70,6,libero_spatial_20260909
knn10_delta_q7,task_init,0.15,0.7871605753898621,61,70,9,libero_spatial_20260909
knn10_delta_q7,task_init,0.2,0.740686297416687,57,70,13,libero_spatial_20260909
v7_guard,episode,0.01,2.664741039276123,539,543,4,libero_spatial_20260909
v7_guard,episode,0.03,2.360623359680176,528,543,15,libero_spatial_20260909
v7_guard,episode,0.05,2.1994588375091553,517,543,26,libero_spatial_20260909
v7_guard,episode,0.1,1.900834321975708,490,543,53,libero_spatial_20260909
v7_guard,episode,0.15,1.7102397680282593,463,543,80,libero_spatial_20260909
v7_guard,episode,0.2,1.5563666820526123,436,543,107,libero_spatial_20260909
v7_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260909
v7_guard,task_init,0.03,2.664741039276123,69,70,1,libero_spatial_20260909
v7_guard,task_init,0.05,2.575192451477051,68,70,2,libero_spatial_20260909
v7_guard,task_init,0.1,2.3014776706695557,64,70,6,libero_spatial_20260909
v7_guard,task_init,0.15,2.147871494293213,61,70,9,libero_spatial_20260909
v7_guard,task_init,0.2,2.023956775665283,57,70,13,libero_spatial_20260909
v8_guard,episode,0.01,2.9335765838623047,539,543,4,libero_spatial_20260909
v8_guard,episode,0.03,2.532773733139038,528,543,15,libero_spatial_20260909
v8_guard,episode,0.05,2.3014776706695557,517,543,26,libero_spatial_20260909
v8_guard,episode,0.1,2.0064189434051514,490,543,53,libero_spatial_20260909
v8_guard,episode,0.15,1.8015881776809692,463,543,80,libero_spatial_20260909
v8_guard,episode,0.2,1.641440510749817,436,543,107,libero_spatial_20260909
v8_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260909
v8_guard,task_init,0.03,3.640014886856079,69,70,1,libero_spatial_20260909
v8_guard,task_init,0.05,3.1604933738708496,68,70,2,libero_spatial_20260909
v8_guard,task_init,0.1,2.486211061477661,64,70,6,libero_spatial_20260909
v8_guard,task_init,0.15,2.3014776706695557,61,70,9,libero_spatial_20260909
v8_guard,task_init,0.2,2.147871494293213,57,70,13,libero_spatial_20260909
v82_guard,episode,0.01,3.1604933738708496,539,543,4,libero_spatial_20260909
v82_guard,episode,0.03,2.6224091053009033,528,543,15,libero_spatial_20260909
v82_guard,episode,0.05,2.344470977783203,517,543,26,libero_spatial_20260909
v82_guard,episode,0.1,2.0592427253723145,490,543,53,libero_spatial_20260909
v82_guard,episode,0.15,1.8452337980270386,463,543,80,libero_spatial_20260909
v82_guard,episode,0.2,1.7213159799575806,436,543,107,libero_spatial_20260909
v82_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260909
v82_guard,task_init,0.03,3.885640859603882,69,70,1,libero_spatial_20260909
v82_guard,task_init,0.05,3.373352527618408,68,70,2,libero_spatial_20260909
v82_guard,task_init,0.1,2.575192451477051,64,70,6,libero_spatial_20260909
v82_guard,task_init,0.15,2.386120557785034,61,70,9,libero_spatial_20260909
v82_guard,task_init,0.2,2.20843768119812,57,70,13,libero_spatial_20260909
knn12_v8,episode,0.01,2.5002999305725098,539,543,4,libero_spatial_20260909
knn12_v8,episode,0.03,2.205831527709961,528,543,15,libero_spatial_20260909
knn12_v8,episode,0.05,1.9847770929336548,517,543,26,libero_spatial_20260909
knn12_v8,episode,0.1,1.767486810684204,490,543,53,libero_spatial_20260909
knn12_v8,episode,0.15,1.6880460977554321,463,543,80,libero_spatial_20260909
knn12_v8,episode,0.2,1.6151548624038696,436,543,107,libero_spatial_20260909
knn12_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn12_v8,task_init,0.03,2.8206965923309326,69,70,1,libero_spatial_20260909
knn12_v8,task_init,0.05,2.5933194160461426,68,70,2,libero_spatial_20260909
knn12_v8,task_init,0.1,2.4501729011535645,64,70,6,libero_spatial_20260909
knn12_v8,task_init,0.15,2.205831527709961,61,70,9,libero_spatial_20260909
knn12_v8,task_init,0.2,1.9216980934143066,57,70,13,libero_spatial_20260909
knn_and_v7,episode,0.01,2.0142462253570557,539,543,4,libero_spatial_20260909
knn_and_v7,episode,0.03,1.7171411514282227,528,543,15,libero_spatial_20260909
knn_and_v7,episode,0.05,1.5534873008728027,517,543,26,libero_spatial_20260909
knn_and_v7,episode,0.1,1.366782546043396,490,543,53,libero_spatial_20260909
knn_and_v7,episode,0.15,1.2264022827148438,463,543,80,libero_spatial_20260909
knn_and_v7,episode,0.2,1.0826226472854614,436,543,107,libero_spatial_20260909
knn_and_v7,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn_and_v7,task_init,0.03,2.0142462253570557,69,70,1,libero_spatial_20260909
knn_and_v7,task_init,0.05,1.9126635789871216,68,70,2,libero_spatial_20260909
knn_and_v7,task_init,0.1,1.7560964822769165,64,70,6,libero_spatial_20260909
knn_and_v7,task_init,0.15,1.6680768728256226,61,70,9,libero_spatial_20260909
knn_and_v7,task_init,0.2,1.46837317943573,57,70,13,libero_spatial_20260909
knn_and_v8,episode,0.01,2.715712308883667,539,543,4,libero_spatial_20260909
knn_and_v8,episode,0.03,2.023704767227173,528,543,15,libero_spatial_20260909
knn_and_v8,episode,0.05,1.7179375886917114,517,543,26,libero_spatial_20260909
knn_and_v8,episode,0.1,1.444975733757019,490,543,53,libero_spatial_20260909
knn_and_v8,episode,0.15,1.270857810974121,463,543,80,libero_spatial_20260909
knn_and_v8,episode,0.2,1.0947517156600952,436,543,107,libero_spatial_20260909
knn_and_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn_and_v8,task_init,0.03,3.082425832748413,69,70,1,libero_spatial_20260909
knn_and_v8,task_init,0.05,2.715712308883667,68,70,2,libero_spatial_20260909
knn_and_v8,task_init,0.1,2.107841968536377,64,70,6,libero_spatial_20260909
knn_and_v8,task_init,0.15,1.897043228149414,61,70,9,libero_spatial_20260909
knn_and_v8,task_init,0.2,1.7033509016036987,57,70,13,libero_spatial_20260909
knn_or_v8,episode,0.01,4.94760274887085,539,543,4,libero_spatial_20260909
knn_or_v8,episode,0.03,3.498673439025879,528,543,15,libero_spatial_20260909
knn_or_v8,episode,0.05,3.1359708309173584,517,543,26,libero_spatial_20260909
knn_or_v8,episode,0.1,2.6504082679748535,490,543,53,libero_spatial_20260909
knn_or_v8,episode,0.15,2.3505985736846924,463,543,80,libero_spatial_20260909
knn_or_v8,episode,0.2,2.1426258087158203,436,543,107,libero_spatial_20260909
knn_or_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260909
knn_or_v8,task_init,0.03,5.754776954650879,69,70,1,libero_spatial_20260909
knn_or_v8,task_init,0.05,5.076741695404053,68,70,2,libero_spatial_20260909
knn_or_v8,task_init,0.1,4.180565357208252,64,70,6,libero_spatial_20260909
knn_or_v8,task_init,0.15,3.5803921222686768,61,70,9,libero_spatial_20260909
knn_or_v8,task_init,0.2,3.1613306999206543,57,70,13,libero_spatial_20260909
