global_row,task,episode,init_state_id,noise_seed,failure,length,fold,variant,threshold,first_alarm_query,original_first_alarm_query
2000,libero_goal/push_the_plate_to_the_front_of_the_stove,0,0,1008,False,13,libero_goal_20260909,original,2.4570610523223877,10,10
2001,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,1009,False,13,libero_goal_20260909,original,2.4570610523223877,10,10
2002,libero_goal/push_the_plate_to_the_front_of_the_stove,2,0,1010,False,13,libero_goal_20260909,original,2.4570610523223877,9,9
2003,libero_goal/push_the_plate_to_the_front_of_the_stove,3,0,1011,False,13,libero_goal_20260909,original,2.4570610523223877,10,10
2004,libero_goal/push_the_plate_to_the_front_of_the_stove,4,0,1012,False,17,libero_goal_20260909,original,2.4570610523223877,10,10
2005,libero_goal/push_the_plate_to_the_front_of_the_stove,5,0,1013,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2006,libero_goal/push_the_plate_to_the_front_of_the_stove,6,0,1014,False,13,libero_goal_20260909,original,2.4570610523223877,10,10
2007,libero_goal/push_the_plate_to_the_front_of_the_stove,7,0,1015,False,13,libero_goal_20260909,original,2.4570610523223877,9,9
2008,libero_goal/push_the_plate_to_the_front_of_the_stove,8,1,1008,False,21,libero_goal_20260909,original,2.4570610523223877,-1,-1
2009,libero_goal/push_the_plate_to_the_front_of_the_stove,9,1,1009,False,21,libero_goal_20260909,original,2.4570610523223877,19,19
2010,libero_goal/push_the_plate_to_the_front_of_the_stove,10,1,1010,False,22,libero_goal_20260909,original,2.4570610523223877,19,19
2011,libero_goal/push_the_plate_to_the_front_of_the_stove,11,1,1011,False,21,libero_goal_20260909,original,2.4570610523223877,20,20
2012,libero_goal/push_the_plate_to_the_front_of_the_stove,12,1,1012,False,22,libero_goal_20260909,original,2.4570610523223877,17,17
2013,libero_goal/push_the_plate_to_the_front_of_the_stove,13,1,1013,False,21,libero_goal_20260909,original,2.4570610523223877,-1,-1
2014,libero_goal/push_the_plate_to_the_front_of_the_stove,14,1,1014,False,21,libero_goal_20260909,original,2.4570610523223877,20,20
2015,libero_goal/push_the_plate_to_the_front_of_the_stove,15,1,1015,False,21,libero_goal_20260909,original,2.4570610523223877,-1,-1
2016,libero_goal/push_the_plate_to_the_front_of_the_stove,16,2,1008,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2017,libero_goal/push_the_plate_to_the_front_of_the_stove,17,2,1009,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2018,libero_goal/push_the_plate_to_the_front_of_the_stove,18,2,1010,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2019,libero_goal/push_the_plate_to_the_front_of_the_stove,19,2,1011,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2020,libero_goal/push_the_plate_to_the_front_of_the_stove,20,2,1012,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2021,libero_goal/push_the_plate_to_the_front_of_the_stove,21,2,1013,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2022,libero_goal/push_the_plate_to_the_front_of_the_stove,22,2,1014,False,13,libero_goal_20260909,original,2.4570610523223877,9,9
2023,libero_goal/push_the_plate_to_the_front_of_the_stove,23,2,1015,False,14,libero_goal_20260909,original,2.4570610523223877,9,9
2024,libero_goal/push_the_plate_to_the_front_of_the_stove,24,3,1008,False,14,libero_goal_20260909,original,2.4570610523223877,8,8
2025,libero_goal/push_the_plate_to_the_front_of_the_stove,25,3,1009,False,14,libero_goal_20260909,original,2.4570610523223877,8,8
2026,libero_goal/push_the_plate_to_the_front_of_the_stove,26,3,1010,False,15,libero_goal_20260909,original,2.4570610523223877,8,8
