scope,failure,bin,count,alarmed,all_episodes,fraction_of_alarms
seen,False,"[0,25%)",0,69,6469,0.0
seen,False,"[25,50%)",3,69,6469,0.043478260869565216
seen,False,"[50,75%)",22,69,6469,0.3188405797101449
seen,False,"[75,100%]",44,69,6469,0.6376811594202898
seen,True,"[0,25%)",0,194,251,0.0
seen,True,"[25,50%)",19,194,251,0.0979381443298969
seen,True,"[50,75%)",138,194,251,0.711340206185567
seen,True,"[75,100%]",37,194,251,0.19072164948453607
unseen,False,"[0,25%)",0,847,13909,0.0
unseen,False,"[25,50%)",20,847,13909,0.023612750885478158
unseen,False,"[50,75%)",272,847,13909,0.32113341204250295
unseen,False,"[75,100%]",555,847,13909,0.6552538370720189
unseen,True,"[0,25%)",8,441,491,0.018140589569160998
unseen,True,"[25,50%)",42,441,491,0.09523809523809523
unseen,True,"[50,75%)",302,441,491,0.6848072562358276
unseen,True,"[75,100%]",89,441,491,0.2018140589569161
