fold,suite,task,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,knn10,80,0,80,0,1,,0.0125,0.0,,,,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,knn10,80,1,79,1,2,1.0,0.02531645569620253,0.3333333333333333,0.9873417721518988,0.5333333333333333,15.0,1,1.0,2,1,1.0,2,1,1.0,2,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,knn10,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4777777777777778,13.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,knn10,80,8,72,8,0,1.0,0.0,1.0,1.0,0.4875,12.5,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,7,0.875,0,5,0.625,0,0,0.0,0,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,knn10,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,knn10,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,knn10,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,knn10,400,51,349,50,20,0.9803921568627451,0.05730659025787966,0.7142857142857143,0.9615427833024327,0.7117647058823531,21.0,50,0.9803921568627451,20,49,0.9607843137254902,11,46,0.9019607843137255,10,43,0.8431372549019608,3,22,0.43137254901960786,1,1,0.0196078431372549,1,0,0.0,0,0.0,0.0,0.0,0.0057306590257879654,0.0196078431372549,0.02865329512893983,0.5490196078431373,0.05730659025787966,0.9803921568627451,0.05730659025787966,0.9803921568627451,0.05730659025787966,0.9803921568627451,0.05730659025787966
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,knn10,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.5092592592592593,12.0,18,1.0,1,18,1.0,1,17,0.9444444444444444,1,17,0.9444444444444444,1,16,0.8888888888888888,1,12,0.6666666666666666,0,1,0.05555555555555555,0,0.0,0.0,0.05555555555555555,0.0,0.6666666666666666,0.002617801047120419,0.9444444444444444,0.002617801047120419,1.0,0.002617801047120419,1.0,0.002617801047120419,1.0,0.002617801047120419
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,knn10,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5444444444444444,16.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,3,0.3333333333333333,0,0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
