method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,2.374406337738037,538,542,4
euclidean,episode,0.03,2.140929698944092,527,542,15
euclidean,episode,0.05,1.9600365161895752,516,542,26
euclidean,episode,0.1,1.7971737384796143,489,542,53
euclidean,episode,0.15,1.6997096538543701,462,542,80
euclidean,episode,0.2,1.6142371892929077,435,542,107
euclidean,task_init,0.01,inf,71,70,0
euclidean,task_init,0.03,2.5682194232940674,69,70,1
euclidean,task_init,0.05,2.4570610523223877,68,70,2
euclidean,task_init,0.1,2.140929698944092,64,70,6
euclidean,task_init,0.15,1.9020664691925049,61,70,9
euclidean,task_init,0.2,1.865497350692749,57,70,13
cosine,episode,0.01,0.3636901378631592,538,542,4
cosine,episode,0.03,0.32623815536499023,527,542,15
cosine,episode,0.05,0.3053267300128937,516,542,26
cosine,episode,0.1,0.25037041306495667,489,542,53
cosine,episode,0.15,0.2242230474948883,462,542,80
cosine,episode,0.2,0.19715924561023712,435,542,107
cosine,task_init,0.01,inf,71,70,0
cosine,task_init,0.03,0.3765457570552826,69,70,1
cosine,task_init,0.05,0.35810554027557373,68,70,2
cosine,task_init,0.1,0.3181043863296509,64,70,6
cosine,task_init,0.15,0.28771910071372986,61,70,9
cosine,task_init,0.2,0.26208725571632385,57,70,13
