method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,3.431382894515991,503,507,4
euclidean,episode,0.03,2.8362245559692383,493,507,14
euclidean,episode,0.05,2.4896090030670166,483,507,24
euclidean,episode,0.1,2.097607135772705,458,507,49
euclidean,episode,0.15,1.9711031913757324,432,507,75
euclidean,episode,0.2,1.878608226776123,407,507,100
euclidean,task_init,0.01,inf,70,69,0
euclidean,task_init,0.03,5.7172088623046875,68,69,1
euclidean,task_init,0.05,4.622232437133789,67,69,2
euclidean,task_init,0.1,3.1708593368530273,63,69,6
euclidean,task_init,0.15,2.9359147548675537,60,69,9
euclidean,task_init,0.2,2.473688840866089,56,69,13
cosine,episode,0.01,0.42077478766441345,503,507,4
cosine,episode,0.03,0.3764376640319824,493,507,14
cosine,episode,0.05,0.358991801738739,483,507,24
cosine,episode,0.1,0.3193332254886627,458,507,49
cosine,episode,0.15,0.2975592017173767,432,507,75
cosine,episode,0.2,0.2766329050064087,407,507,100
cosine,task_init,0.01,inf,70,69,0
cosine,task_init,0.03,0.4390426576137543,68,69,1
cosine,task_init,0.05,0.429747998714447,67,69,2
cosine,task_init,0.1,0.4053035080432892,63,69,6
cosine,task_init,0.15,0.3799265921115875,60,69,9
cosine,task_init,0.2,0.35967591404914856,56,69,13
