method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,1.8882981538772583,547,551,4
euclidean,episode,0.03,1.5955252647399902,536,551,15
euclidean,episode,0.05,1.5130363702774048,525,551,26
euclidean,episode,0.1,1.4190787076950073,497,551,54
euclidean,episode,0.15,1.3588749170303345,470,551,81
euclidean,episode,0.2,1.3030381202697754,442,551,109
euclidean,task_init,0.01,inf,71,70,0
euclidean,task_init,0.03,2.424532175064087,69,70,1
euclidean,task_init,0.05,1.8084982633590698,68,70,2
euclidean,task_init,0.1,1.697395920753479,64,70,6
euclidean,task_init,0.15,1.5955252647399902,61,70,9
euclidean,task_init,0.2,1.5656441450119019,57,70,13
cosine,episode,0.01,0.3955816924571991,547,551,4
cosine,episode,0.03,0.3421455919742584,536,551,15
cosine,episode,0.05,0.3255545198917389,525,551,26
cosine,episode,0.1,0.2889617681503296,497,551,54
cosine,episode,0.15,0.27062010765075684,470,551,81
cosine,episode,0.2,0.2502541244029999,442,551,109
cosine,task_init,0.01,inf,71,70,0
cosine,task_init,0.03,0.40655699372291565,69,70,1
cosine,task_init,0.05,0.40654775500297546,68,70,2
cosine,task_init,0.1,0.35852712392807007,64,70,6
cosine,task_init,0.15,0.3421455919742584,61,70,9
cosine,task_init,0.2,0.32783615589141846,57,70,13
