method,calibration,alpha,threshold,rank,units,exceedances
euclidean,episode,0.01,2.0431175231933594,531,535,4
euclidean,episode,0.03,1.7576147317886353,520,535,15
euclidean,episode,0.05,1.6978949308395386,510,535,25
euclidean,episode,0.1,1.4996047019958496,483,535,52
euclidean,episode,0.15,1.4243768453598022,456,535,79
euclidean,episode,0.2,1.3552292585372925,429,535,106
euclidean,task_init,0.01,inf,71,70,0
euclidean,task_init,0.03,2.3183672428131104,69,70,1
euclidean,task_init,0.05,2.0431175231933594,68,70,2
euclidean,task_init,0.1,1.8603105545043945,64,70,6
euclidean,task_init,0.15,1.7576147317886353,61,70,9
euclidean,task_init,0.2,1.7147822380065918,57,70,13
cosine,episode,0.01,0.3420780897140503,531,535,4
cosine,episode,0.03,0.302104651927948,520,535,15
cosine,episode,0.05,0.2866169512271881,510,535,25
cosine,episode,0.1,0.24354109168052673,483,535,52
cosine,episode,0.15,0.22236338257789612,456,535,79
cosine,episode,0.2,0.2050170600414276,429,535,106
cosine,task_init,0.01,inf,71,70,0
cosine,task_init,0.03,0.3788570165634155,69,70,1
cosine,task_init,0.05,0.37882402539253235,68,70,2
cosine,task_init,0.1,0.3221573531627655,64,70,6
cosine,task_init,0.15,0.3032967746257782,61,70,9
cosine,task_init,0.2,0.2937411665916443,57,70,13
