method,calibration,scope,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
cosine,episode,seen,6720,251,6469,28,362,223,6107,0.11155378486055777,0.05595918998299582,0.07179487179487179
cosine,episode,unseen,14400,491,13909,75,1121,416,12788,0.15274949083503056,0.08059529800848371,0.06270903010033445
cosine,task_init,seen,6720,251,6469,3,60,248,6409,0.01195219123505976,0.009275003864584944,0.047619047619047616
cosine,task_init,unseen,14400,491,13909,15,221,476,13688,0.03054989816700611,0.015888992738514632,0.0635593220338983
cosine_neighbors_euclidean_score,episode,seen,6720,251,6469,207,287,44,6182,0.8247011952191236,0.04436543515226465,0.4190283400809717
cosine_neighbors_euclidean_score,episode,unseen,14400,491,13909,439,2099,52,11810,0.8940936863543788,0.1509094830685168,0.17297084318360914
cosine_neighbors_euclidean_score,task_init,seen,6720,251,6469,169,54,82,6415,0.6733067729083665,0.008347503478126449,0.757847533632287
cosine_neighbors_euclidean_score,task_init,unseen,14400,491,13909,356,665,135,13244,0.725050916496945,0.04781077000503271,0.3486777668952008
cosine_without_center,episode,seen,6720,251,6469,80,309,171,6160,0.3187250996015936,0.04776626990261246,0.20565552699228792
cosine_without_center,episode,unseen,14400,491,13909,205,1671,286,12238,0.4175152749490835,0.12013804011790927,0.10927505330490406
cosine_without_center,task_init,seen,6720,251,6469,38,68,213,6401,0.15139442231075698,0.010511671046529603,0.3584905660377358
cosine_without_center,task_init,unseen,14400,491,13909,59,490,432,13419,0.12016293279022404,0.035228988424760944,0.10746812386156648
euclidean,episode,seen,6720,251,6469,243,362,8,6107,0.9681274900398407,0.05595918998299582,0.40165289256198344
euclidean,episode,unseen,14400,491,13909,490,2511,1,11398,0.9979633401221996,0.18053059170321376,0.16327890703098968
euclidean,task_init,seen,6720,251,6469,194,69,57,6400,0.7729083665338645,0.010666254444272685,0.7376425855513308
euclidean,task_init,unseen,14400,491,13909,441,847,50,13062,0.8981670061099797,0.06089582284851535,0.3423913043478261
euclidean_neighbors_cosine_score,episode,seen,6720,251,6469,24,391,227,6078,0.09561752988047809,0.060442108517545216,0.05783132530120482
euclidean_neighbors_cosine_score,episode,unseen,14400,491,13909,47,1057,444,12852,0.09572301425661914,0.07599396074484147,0.042572463768115944
euclidean_neighbors_cosine_score,task_init,seen,6720,251,6469,1,63,250,6406,0.00398406374501992,0.009738754057814191,0.015625
euclidean_neighbors_cosine_score,task_init,unseen,14400,491,13909,13,143,478,13766,0.026476578411405296,0.010281112948450643,0.08333333333333333
norm_only,episode,seen,6720,251,6469,210,298,41,6171,0.8366533864541833,0.046065852527438556,0.41338582677165353
norm_only,episode,unseen,14400,491,13909,414,1171,77,12738,0.8431771894093686,0.08419009274570421,0.261198738170347
norm_only,task_init,seen,6720,251,6469,177,81,74,6388,0.7051792828685259,0.012521255217189674,0.686046511627907
norm_only,task_init,unseen,14400,491,13909,358,580,133,13329,0.7291242362525459,0.041699618951757854,0.3816631130063966
