suite,method,scope,task,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_goal,cosine,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,160,0,160,0,9,0,151,,0.05625,0.0
libero_goal,cosine,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,160,23,137,0,13,23,124,0.0,0.0948905109489051,0.0
libero_goal,cosine,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,160,2,158,0,8,2,150,0.0,0.05063291139240506,0.0
libero_goal,cosine,seen,libero_goal/put_the_bowl_on_the_plate,160,6,154,1,0,5,154,0.16666666666666666,0.0,1.0
libero_goal,cosine,seen,libero_goal/put_the_bowl_on_the_stove,80,1,79,0,0,1,79,0.0,0.0,
libero_goal,cosine,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,240,15,225,0,0,15,225,0.0,0.0,
libero_goal,cosine,seen,libero_goal/put_the_cream_cheese_in_the_bowl,240,8,232,0,0,8,232,0.0,0.0,
libero_goal,cosine,seen,libero_goal/put_the_wine_bottle_on_the_rack,160,0,160,0,0,0,160,,0.0,
libero_goal,cosine,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,240,2,238,0,0,2,238,0.0,0.0,
libero_goal,cosine,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,0,80,,0.0,
libero_goal,cosine,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,21,0,379,,0.0525,0.0
libero_goal,cosine,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,12,98,39,251,0.23529411764705882,0.2808022922636103,0.10909090909090909
libero_goal,cosine,unseen,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,399,0,6,1,393,0.0,0.015037593984962405,0.0
libero_goal,cosine,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,0,0,18,382,0.0,0.0,
libero_goal,cosine,unseen,libero_goal/put_the_bowl_on_the_stove,800,18,782,0,1,18,781,0.0,0.0012787723785166241,0.0
libero_goal,cosine,unseen,libero_goal/put_the_wine_bottle_on_the_rack,400,1,399,0,1,1,398,0.0,0.002506265664160401,0.0
libero_goal,cosine,unseen,libero_goal/turn_on_the_stove,800,0,800,0,0,0,800,,0.0,
libero_goal,euclidean,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,160,0,160,0,1,0,159,,0.00625,0.0
libero_goal,euclidean,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,160,23,137,23,2,0,135,1.0,0.014598540145985401,0.92
libero_goal,euclidean,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,160,2,158,2,3,0,155,1.0,0.0189873417721519,0.4
libero_goal,euclidean,seen,libero_goal/put_the_bowl_on_the_plate,160,6,154,5,0,1,154,0.8333333333333334,0.0,1.0
libero_goal,euclidean,seen,libero_goal/put_the_bowl_on_the_stove,80,1,79,1,0,0,79,1.0,0.0,1.0
libero_goal,euclidean,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,240,15,225,15,0,0,225,1.0,0.0,1.0
libero_goal,euclidean,seen,libero_goal/put_the_cream_cheese_in_the_bowl,240,8,232,8,7,0,225,1.0,0.03017241379310345,0.5333333333333333
libero_goal,euclidean,seen,libero_goal/put_the_wine_bottle_on_the_rack,160,0,160,0,0,0,160,,0.0,
