method,calibration,threshold,units,rank
euclidean,episode,1.6769474744796753,554,528
euclidean,task_init,2.1025044918060303,70,68
cosine,episode,0.30699846148490906,554,528
cosine,task_init,0.3816905617713928,70,68
cosine_neighbors_euclidean_score,episode,2.9940974712371826,554,528
cosine_neighbors_euclidean_score,task_init,3.728264808654785,70,68
euclidean_neighbors_cosine_score,episode,0.45021891593933105,554,528
euclidean_neighbors_cosine_score,task_init,0.5713679194450378,70,68
cosine_without_center,episode,0.24795274436473846,554,528
cosine_without_center,task_init,0.3946210443973541,70,68
norm_only,episode,6.742151260375977,554,528
norm_only,task_init,7.5216522216796875,70,68
