level,cohort,suite,task,method,failure,episodes,cutoff_query,detected,recall
all,all,all,all,euclidean,True,1096,7,0,0.0
all,all,all,all,euclidean,True,1096,10,63,0.05748175182481752
all,all,all,all,euclidean,True,1096,14,341,0.31113138686131386
all,all,all,all,euclidean,True,1096,19,508,0.4635036496350365
all,all,all,all,euclidean,True,1096,29,653,0.5958029197080292
all,all,all,all,euclidean,True,1096,39,899,0.8202554744525548
all,all,all,all,euclidean,True,1096,51,977,0.8914233576642335
all,all,all,all,cosine,True,1096,7,5,0.004562043795620438
all,all,all,all,cosine,True,1096,10,12,0.010948905109489052
all,all,all,all,cosine,True,1096,14,30,0.02737226277372263
all,all,all,all,cosine,True,1096,19,34,0.03102189781021898
all,all,all,all,cosine,True,1096,29,37,0.03375912408759124
all,all,all,all,cosine,True,1096,39,37,0.03375912408759124
all,all,all,all,cosine,True,1096,51,38,0.03467153284671533
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,7,3,0.002737226277372263
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,10,38,0.03467153284671533
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,14,179,0.1633211678832117
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,19,454,0.4142335766423358
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,29,617,0.5629562043795621
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,39,854,0.7791970802919708
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,51,910,0.8302919708029197
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,7,5,0.004562043795620438
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,10,10,0.009124087591240875
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,14,28,0.025547445255474453
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,19,29,0.02645985401459854
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,29,30,0.02737226277372263
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,39,30,0.02737226277372263
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,51,30,0.02737226277372263
all,all,all,all,cosine_without_center,True,1096,7,12,0.010948905109489052
all,all,all,all,cosine_without_center,True,1096,10,72,0.06569343065693431
all,all,all,all,cosine_without_center,True,1096,14,105,0.09580291970802919
all,all,all,all,cosine_without_center,True,1096,19,139,0.12682481751824817
all,all,all,all,cosine_without_center,True,1096,29,155,0.14142335766423358
all,all,all,all,cosine_without_center,True,1096,39,156,0.14233576642335766
all,all,all,all,cosine_without_center,True,1096,51,158,0.14416058394160583
all,all,all,all,norm_only,True,1096,7,1,0.0009124087591240876
all,all,all,all,norm_only,True,1096,10,26,0.023722627737226276
all,all,all,all,norm_only,True,1096,14,132,0.12043795620437957
all,all,all,all,norm_only,True,1096,19,385,0.3512773722627737
all,all,all,all,norm_only,True,1096,29,558,0.5091240875912408
all,all,all,all,norm_only,True,1096,39,778,0.7098540145985401
all,all,all,all,norm_only,True,1096,51,824,0.7518248175182481
cohort,A,all,all,euclidean,True,532,7,0,0.0
cohort,A,all,all,euclidean,True,532,10,35,0.06578947368421052
cohort,A,all,all,euclidean,True,532,14,160,0.3007518796992481
cohort,A,all,all,euclidean,True,532,19,242,0.4548872180451128
cohort,A,all,all,euclidean,True,532,29,318,0.5977443609022557
cohort,A,all,all,euclidean,True,532,39,436,0.8195488721804511
cohort,A,all,all,euclidean,True,532,51,478,0.8984962406015038
