reason,method,failures,detected,missed,recall
approached_target_without_observed_contact,euclidean,29,23,6,0.7931034482758621
approached_target_without_observed_contact,cosine,29,1,28,0.034482758620689655
approached_target_without_observed_contact,cosine_neighbors_euclidean_score,29,15,14,0.5172413793103449
approached_target_without_observed_contact,euclidean_neighbors_cosine_score,29,1,28,0.034482758620689655
approached_target_without_observed_contact,cosine_without_center,29,1,28,0.034482758620689655
approached_target_without_observed_contact,norm_only,29,11,18,0.3793103448275862
goal_predicate_regressed,euclidean,54,48,6,0.8888888888888888
goal_predicate_regressed,cosine,54,0,54,0.0
goal_predicate_regressed,cosine_neighbors_euclidean_score,54,37,17,0.6851851851851852
goal_predicate_regressed,euclidean_neighbors_cosine_score,54,1,53,0.018518518518518517
goal_predicate_regressed,cosine_without_center,54,0,54,0.0
goal_predicate_regressed,norm_only,54,30,24,0.5555555555555556
mechanism_threshold_not_reached,euclidean,7,6,1,0.8571428571428571
mechanism_threshold_not_reached,cosine,7,0,7,0.0
mechanism_threshold_not_reached,cosine_neighbors_euclidean_score,7,6,1,0.8571428571428571
mechanism_threshold_not_reached,euclidean_neighbors_cosine_score,7,0,7,0.0
mechanism_threshold_not_reached,cosine_without_center,7,1,6,0.14285714285714285
mechanism_threshold_not_reached,norm_only,7,6,1,0.8571428571428571
no_meaningful_target_progress,euclidean,4,4,0,1.0
no_meaningful_target_progress,cosine,4,0,4,0.0
no_meaningful_target_progress,cosine_neighbors_euclidean_score,4,4,0,1.0
no_meaningful_target_progress,euclidean_neighbors_cosine_score,4,0,4,0.0
no_meaningful_target_progress,cosine_without_center,4,0,4,0.0
no_meaningful_target_progress,norm_only,4,4,0,1.0
object_moved_but_goal_unmet,euclidean,174,148,26,0.8505747126436781
object_moved_but_goal_unmet,cosine,174,3,171,0.017241379310344827
object_moved_but_goal_unmet,cosine_neighbors_euclidean_score,174,144,30,0.8275862068965517
object_moved_but_goal_unmet,euclidean_neighbors_cosine_score,174,1,173,0.005747126436781609
object_moved_but_goal_unmet,cosine_without_center,174,15,159,0.08620689655172414
object_moved_but_goal_unmet,norm_only,174,119,55,0.6839080459770115
object_released_or_dropped_before_goal,euclidean,470,435,35,0.925531914893617
object_released_or_dropped_before_goal,cosine,470,25,445,0.05319148936170213
object_released_or_dropped_before_goal,cosine_neighbors_euclidean_score,470,408,62,0.8680851063829788
object_released_or_dropped_before_goal,euclidean_neighbors_cosine_score,470,24,446,0.05106382978723404
object_released_or_dropped_before_goal,cosine_without_center,470,119,351,0.2531914893617021
object_released_or_dropped_before_goal,norm_only,470,392,78,0.8340425531914893
object_released_outside_goal,euclidean,45,39,6,0.8666666666666667
object_released_outside_goal,cosine,45,3,42,0.06666666666666667
object_released_outside_goal,cosine_neighbors_euclidean_score,45,38,7,0.8444444444444444
object_released_outside_goal,euclidean_neighbors_cosine_score,45,2,43,0.044444444444444446
object_released_outside_goal,cosine_without_center,45,10,35,0.2222222222222222
object_released_outside_goal,norm_only,45,31,14,0.6888888888888889
stable_grasp_not_observed,euclidean,273,239,34,0.8754578754578755
stable_grasp_not_observed,cosine,273,6,267,0.02197802197802198
stable_grasp_not_observed,cosine_neighbors_euclidean_score,273,225,48,0.8241758241758241
stable_grasp_not_observed,euclidean_neighbors_cosine_score,273,1,272,0.003663003663003663
stable_grasp_not_observed,cosine_without_center,273,8,265,0.029304029304029304
stable_grasp_not_observed,norm_only,273,205,68,0.7509157509157509
timeout_while_holding_target,euclidean,40,35,5,0.875
timeout_while_holding_target,cosine,40,0,40,0.0
timeout_while_holding_target,cosine_neighbors_euclidean_score,40,33,7,0.825
timeout_while_holding_target,euclidean_neighbors_cosine_score,40,0,40,0.0
timeout_while_holding_target,cosine_without_center,40,4,36,0.1
timeout_while_holding_target,norm_only,40,26,14,0.65
