method,calibration,threshold,units,rank,fold,suite
euclidean,episode,1.6210957765579224,540,514,libero_goal_full_0,libero_goal
euclidean,task_init,1.9599847793579104,70,68,libero_goal_full_0,libero_goal
cosine,episode,0.2418252825736999,540,514,libero_goal_full_0,libero_goal
cosine,task_init,0.326732873916626,70,68,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,episode,2.355415105819702,540,514,libero_goal_full_0,libero_goal
cosine_neighbors_euclidean_score,task_init,2.9383974075317383,70,68,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,episode,0.3158353269100189,540,514,libero_goal_full_0,libero_goal
euclidean_neighbors_cosine_score,task_init,0.4079544842243194,70,68,libero_goal_full_0,libero_goal
cosine_without_center,episode,0.2274586409330368,540,514,libero_goal_full_0,libero_goal
cosine_without_center,task_init,0.34858438372612,70,68,libero_goal_full_0,libero_goal
norm_only,episode,5.7772603034973145,540,514,libero_goal_full_0,libero_goal
norm_only,task_init,6.996034145355225,70,68,libero_goal_full_0,libero_goal
euclidean,episode,1.7048996686935425,547,521,libero_goal_full_1,libero_goal
euclidean,task_init,2.4561617374420166,70,68,libero_goal_full_1,libero_goal
cosine,episode,0.2869022190570831,547,521,libero_goal_full_1,libero_goal
cosine,task_init,0.3894838988780975,70,68,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,episode,2.7646801471710205,547,521,libero_goal_full_1,libero_goal
cosine_neighbors_euclidean_score,task_init,3.3827483654022217,70,68,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,episode,0.4259762167930603,547,521,libero_goal_full_1,libero_goal
euclidean_neighbors_cosine_score,task_init,0.5446472764015198,70,68,libero_goal_full_1,libero_goal
cosine_without_center,episode,0.2525675594806671,547,521,libero_goal_full_1,libero_goal
cosine_without_center,task_init,0.3134946227073669,70,68,libero_goal_full_1,libero_goal
norm_only,episode,7.524178981781006,547,521,libero_goal_full_1,libero_goal
norm_only,task_init,8.506902694702148,70,68,libero_goal_full_1,libero_goal
euclidean,episode,1.823172926902771,541,515,libero_goal_full_2,libero_goal
euclidean,task_init,2.2216238975524902,70,68,libero_goal_full_2,libero_goal
cosine,episode,0.2896419763565063,541,515,libero_goal_full_2,libero_goal
cosine,task_init,0.3585526049137115,70,68,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,episode,2.684988260269165,541,515,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,task_init,3.344986915588379,70,68,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,episode,0.3849857151508331,541,515,libero_goal_full_2,libero_goal
euclidean_neighbors_cosine_score,task_init,0.4872752726078033,70,68,libero_goal_full_2,libero_goal
cosine_without_center,episode,0.255004346370697,541,515,libero_goal_full_2,libero_goal
cosine_without_center,task_init,0.3336459696292877,70,68,libero_goal_full_2,libero_goal
norm_only,episode,6.088837623596191,541,515,libero_goal_full_2,libero_goal
norm_only,task_init,7.023609638214111,70,68,libero_goal_full_2,libero_goal
euclidean,episode,1.1950372457504272,556,530,libero_goal_full_3,libero_goal
euclidean,task_init,2.129474878311157,70,68,libero_goal_full_3,libero_goal
cosine,episode,0.2292063385248184,556,530,libero_goal_full_3,libero_goal
cosine,task_init,0.3304979801177978,70,68,libero_goal_full_3,libero_goal
cosine_neighbors_euclidean_score,episode,2.247965097427368,556,530,libero_goal_full_3,libero_goal
cosine_neighbors_euclidean_score,task_init,3.413597583770752,70,68,libero_goal_full_3,libero_goal
euclidean_neighbors_cosine_score,episode,0.2942375242710113,556,530,libero_goal_full_3,libero_goal
