calibration,method,window,observed_scores,clipped_at_one,clipped_fraction
episode,v82_reference,q7_13,83443,606,0.0072624426255048355
episode,v82_reference,all,142301,655,0.004602919164306646
episode,dynamics_only,q7_13,67580,42522,0.6292098253921279
episode,dynamics_only,all,126438,55544,0.4392983122162641
episode,v82_integrated,q7_13,83443,59736,0.7158898889061994
episode,v82_integrated,all,142301,80110,0.5629616095459624
task_init,v82_reference,q7_13,83443,6486,0.07772970770466067
task_init,v82_reference,all,142301,7794,0.05477122437649771
task_init,dynamics_only,q7_13,67580,51145,0.7568067475584492
task_init,dynamics_only,all,126438,72585,0.5740758316328952
task_init,v82_integrated,q7_13,83443,67789,0.8123988830698801
task_init,v82_integrated,all,142301,94977,0.6674373335394691
