calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,0.4377774032249003,0.4377774032249003,0.0,0.4344626102590033,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,0.4352210798359458,0.4352210798359458,0.0,0.43867633013090623,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,0.6130119669644362,0.6130119669644362,0.0,0.6188549918534749,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5901736052587224,0.5901736052587224,0.0,0.5966627338614529,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.49907298162818137,0.49907298162818137,0.0,0.5013202988931963,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.5814652508567897,0.5814652508567897,0.0,0.589134221023653,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.5707624023821563,0.5707624023821563,0.0,0.5778414517669532,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.6175627844260914,0.6175627844260914,0.0,0.622338333614248,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15,0.6792797348165627,0.6792797348165627,0.0,0.6851508511714142,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,0.7757739198831395,0.7757739198831395,0.0,0.7697623461992247,51,349
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17,0.7719392635102822,0.7719392635102822,0.0,0.7666188426590148,51,328
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,18,0.7082800511508951,0.7082800511508951,0.0,0.7017263427109974,51,184
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19,0.5267565359477124,0.5267565359477124,0.0,0.5179738562091504,51,48
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,51,5
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,21,0.09803921568627451,0.09803921568627451,0.0,0.09803921568627451,51,4
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,22,0.3088235294117647,0.3088235294117647,0.0,0.2696078431372549,51,4
episode,v82_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,0.7549019607843137,0.7549019607843137,0.0,0.7352941176470589,51,4
