global_row,task,episode,calibration,method,failure,final_state,ever_alarm,first_alarm,ever_signal_cleared,alarm_then_cleared
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0,episode,v82_reference,False,NORMAL,False,-1,False,False
401,libero_goal/open_the_middle_drawer_of_the_cabinet,1,episode,v82_reference,False,NORMAL,False,-1,False,False
402,libero_goal/open_the_middle_drawer_of_the_cabinet,2,episode,v82_reference,False,NORMAL,False,-1,False,False
403,libero_goal/open_the_middle_drawer_of_the_cabinet,3,episode,v82_reference,False,NORMAL,False,-1,False,False
404,libero_goal/open_the_middle_drawer_of_the_cabinet,4,episode,v82_reference,False,NORMAL,False,-1,False,False
405,libero_goal/open_the_middle_drawer_of_the_cabinet,5,episode,v82_reference,False,NORMAL,False,-1,False,False
406,libero_goal/open_the_middle_drawer_of_the_cabinet,6,episode,v82_reference,False,NORMAL,False,-1,False,False
407,libero_goal/open_the_middle_drawer_of_the_cabinet,7,episode,v82_reference,False,WATCH,False,-1,False,False
408,libero_goal/open_the_middle_drawer_of_the_cabinet,8,episode,v82_reference,False,NORMAL,False,-1,False,False
409,libero_goal/open_the_middle_drawer_of_the_cabinet,9,episode,v82_reference,False,NORMAL,False,-1,False,False
410,libero_goal/open_the_middle_drawer_of_the_cabinet,10,episode,v82_reference,False,NORMAL,False,-1,False,False
411,libero_goal/open_the_middle_drawer_of_the_cabinet,11,episode,v82_reference,False,NORMAL,False,-1,False,False
412,libero_goal/open_the_middle_drawer_of_the_cabinet,12,episode,v82_reference,False,NORMAL,False,-1,False,False
413,libero_goal/open_the_middle_drawer_of_the_cabinet,13,episode,v82_reference,False,NORMAL,False,-1,False,False
414,libero_goal/open_the_middle_drawer_of_the_cabinet,14,episode,v82_reference,False,NORMAL,False,-1,False,False
415,libero_goal/open_the_middle_drawer_of_the_cabinet,15,episode,v82_reference,False,NORMAL,False,-1,False,False
416,libero_goal/open_the_middle_drawer_of_the_cabinet,16,episode,v82_reference,False,NORMAL,False,-1,False,False
417,libero_goal/open_the_middle_drawer_of_the_cabinet,17,episode,v82_reference,False,NORMAL,False,-1,False,False
418,libero_goal/open_the_middle_drawer_of_the_cabinet,18,episode,v82_reference,False,NORMAL,False,-1,False,False
419,libero_goal/open_the_middle_drawer_of_the_cabinet,19,episode,v82_reference,False,NORMAL,False,-1,False,False
420,libero_goal/open_the_middle_drawer_of_the_cabinet,20,episode,v82_reference,False,NORMAL,False,-1,False,False
421,libero_goal/open_the_middle_drawer_of_the_cabinet,21,episode,v82_reference,False,NORMAL,False,-1,False,False
422,libero_goal/open_the_middle_drawer_of_the_cabinet,22,episode,v82_reference,False,NORMAL,False,-1,False,False
423,libero_goal/open_the_middle_drawer_of_the_cabinet,23,episode,v82_reference,False,NORMAL,False,-1,False,False
424,libero_goal/open_the_middle_drawer_of_the_cabinet,24,episode,v82_reference,False,NORMAL,False,-1,False,False
425,libero_goal/open_the_middle_drawer_of_the_cabinet,25,episode,v82_reference,False,NORMAL,False,-1,False,False
426,libero_goal/open_the_middle_drawer_of_the_cabinet,26,episode,v82_reference,False,NORMAL,False,-1,False,False
427,libero_goal/open_the_middle_drawer_of_the_cabinet,27,episode,v82_reference,False,NORMAL,False,-1,False,False
428,libero_goal/open_the_middle_drawer_of_the_cabinet,28,episode,v82_reference,False,NORMAL,False,-1,False,False
429,libero_goal/open_the_middle_drawer_of_the_cabinet,29,episode,v82_reference,False,NORMAL,False,-1,False,False
430,libero_goal/open_the_middle_drawer_of_the_cabinet,30,episode,v82_reference,False,NORMAL,False,-1,False,False
431,libero_goal/open_the_middle_drawer_of_the_cabinet,31,episode,v82_reference,False,NORMAL,False,-1,False,False
432,libero_goal/open_the_middle_drawer_of_the_cabinet,32,episode,v82_reference,False,NORMAL,False,-1,False,False
