fold,role,global_row
0,reference,16
0,reference,17
0,reference,18
0,reference,19
0,reference,20
0,reference,21
0,reference,22
0,reference,23
0,reference,24
0,reference,25
0,reference,26
0,reference,27
0,reference,28
0,reference,29
0,reference,30
0,reference,31
0,reference,32
0,reference,33
0,reference,34
0,reference,35
0,reference,36
0,reference,37
0,reference,38
0,reference,39
0,reference,56
0,reference,57
0,reference,58
0,reference,59
0,reference,60
0,reference,61
0,reference,62
0,reference,63
0,reference,64
0,reference,65
0,reference,66
0,reference,67
0,reference,68
0,reference,69
0,reference,70
0,reference,71
0,reference,72
0,reference,73
0,reference,74
0,reference,75
0,reference,76
0,reference,77
0,reference,78
0,reference,79
0,reference,96
0,reference,97
0,reference,98
0,reference,99
0,reference,100
0,reference,101
0,reference,102
0,reference,103
0,reference,104
0,reference,105
0,reference,106
0,reference,107
0,reference,108
0,reference,109
0,reference,110
0,reference,111
0,reference,112
0,reference,113
0,reference,114
0,reference,115
0,reference,116
0,reference,117
0,reference,118
0,reference,119
0,reference,136
0,reference,137
0,reference,138
0,reference,139
0,reference,140
0,reference,141
0,reference,142
0,reference,143
0,reference,144
0,reference,145
0,reference,146
0,reference,147
0,reference,148
0,reference,149
0,reference,150
0,reference,151
0,reference,152
0,reference,153
0,reference,154
0,reference,155
0,reference,156
0,reference,157
0,reference,158
0,reference,159
0,reference,176
0,reference,177
0,reference,178
0,reference,179
0,reference,180
0,reference,181
0,reference,182
0,reference,183
0,reference,184
0,reference,185
0,reference,186
0,reference,187
0,reference,188
0,reference,189
0,reference,190
0,reference,191
0,reference,192
0,reference,193
0,reference,194
0,reference,195
0,reference,196
0,reference,197
0,reference,198
0,reference,199
0,reference,216
0,reference,217
0,reference,218
0,reference,219
0,reference,220
0,reference,221
0,reference,222
0,reference,223
0,reference,224
0,reference,225
0,reference,226
0,reference,227
0,reference,228
0,reference,229
0,reference,230
0,reference,231
0,reference,232
0,reference,233
0,reference,234
0,reference,235
0,reference,236
0,reference,237
0,reference,238
0,reference,239
0,reference,256
0,reference,257
0,reference,258
0,reference,259
0,reference,260
0,reference,261
0,reference,262
0,reference,263
0,reference,264
0,reference,265
0,reference,266
0,reference,267
0,reference,268
0,reference,269
0,reference,270
0,reference,271
0,reference,272
0,reference,273
0,reference,274
0,reference,275
0,reference,276
0,reference,277
0,reference,278
0,reference,279
0,reference,296
0,reference,297
0,reference,298
0,reference,299
0,reference,300
0,reference,301
0,reference,302
0,reference,303
0,reference,304
0,reference,305
0,reference,306
