calibration,method,suite,task,auc,reference_auc,delta,raw_v82_auc,queries,first_query,last_query,window
episode,dynamics_only,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.5915500870835441,0.5482845478210386,0.043265539262505426,0.553748337921606,6,8,13,q7_13
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,0.9522700280812457,0.6313040300899914,0.3209659979912544,0.6060610284378126,6,8,13,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_bowl_on_the_plate,0.7166666666666667,0.45555555555555555,0.26111111111111107,0.4648148148148148,6,8,13,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_bowl_on_the_stove,0.6250488922414997,0.4829121615958427,0.142136730645657,0.4660478305813986,2,8,9,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,0.7486174197734781,0.6531935759792356,0.09542384379424257,0.6565523242095328,2,8,9,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,0.7225049271077877,0.5205194583187077,0.20198546878908008,0.5160888183636205,6,8,13,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,0.12350746357679859,0.02432490715503637,0.09918255642176221,0.037018817579800876,6,8,13,q7_13
episode,dynamics_only,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0.6215289880329964,0.6535073887810033,-0.031978400748006876,0.6691397367591163,3,8,10,q7_13
episode,dynamics_only,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0.5178872053872053,0.5955387205387205,-0.07765151515151514,0.5980639730639731,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0.6372180451127819,0.3748955722639933,0.2623224728487887,0.38512949039264827,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0.8842940685045949,0.7857142857142857,0.0985797827903091,0.7944862155388471,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.499488018298359,0.5468585157406668,-0.04737049744230785,0.5472663280051774,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0.900960960960961,0.9480405405405405,-0.04707957957957959,0.9493843843843844,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0.814465811965812,0.9028418803418803,-0.08837606837606837,0.9010256410256411,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0.6361005892255892,0.5090488215488215,0.1270517676767677,0.48316498316498313,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.43946271929824565,0.45861842105263156,-0.019155701754385968,0.4600438596491228,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0.4747805034858257,0.6515430052438068,-0.17676250175798122,0.6435115424025074,6,8,13,q7_13
episode,dynamics_only,libero_long,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0.38370699379582635,0.5145234066553863,-0.13081641285956006,0.5070501974055274,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.6863617045537,0.2669664379012266,0.41939526665247345,0.2666006444343976,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0.7872187403280718,0.7919893789208509,-0.004770638592779079,0.7916713966115516,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9332562742839429,0.961310581618287,-0.02805430733434396,0.9660742651754668,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0.49120189507711837,0.46720369243386967,0.023998202643248673,0.4614593489816796,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_milk_and_place_it_in_the_basket,0.5597467209712059,0.43338131236867766,0.12636540860252823,0.43767728248260124,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,0.9964158444908756,0.37758953882158447,0.6188263056692912,0.36622619490068825,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0.8396492383033807,0.6676739363854222,0.17197530191795854,0.6718813938195143,6,8,13,q7_13
episode,dynamics_only,libero_object,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,0.7360635790521841,0.8595710958726873,-0.12350751682050315,0.857820598804925,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0.7692610062893083,0.7652991559086395,0.003961850380668652,0.4787115193644489,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0.5,0.3971881190666911,0.10281188093330888,0.40638407468529936,3,8,10,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.585351180024256,0.8554722730034595,-0.2701210929792035,0.8523737136844826,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0.9134760705289672,0.9368275710600935,-0.023351500531126244,0.9352131846091736,5,8,12,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.6766430238746332,0.5178586711133287,0.15878435276130445,0.514298737583332,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0.8196337053519445,0.8265197282457747,-0.006886022893830261,0.8307040915357415,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0.6780866192630898,0.46545284780578894,0.21263377145730086,0.477743661567191,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0.7790818782257452,0.7695162696943697,0.009565608531375483,0.7527449584342537,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0.7856414952084726,0.6728652831888512,0.1127762120196215,0.6727228343530479,6,8,13,q7_13
episode,dynamics_only,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0.5763416682736208,0.633091871291987,-0.05675020301836627,0.6422263654457411,6,8,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.5666449961073254,0.5324978128787331,0.034147183228592295,0.5367075196840914,7,7,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,0.7025951234844762,0.5500686888777083,0.15252643460676785,0.53237024779095,7,7,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_bowl_on_the_plate,0.7015873015873016,0.5186475848200915,0.18293971676721002,0.5214606597355924,7,7,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_bowl_on_the_stove,0.538672598925302,0.45933842884451465,0.07933417008078729,0.4453011870447933,3,7,9,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,0.5520833333333334,0.6260548319028237,-0.07397149856949033,0.6287822786396885,3,7,9,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,0.5210735183367998,0.5859719824195669,-0.0648984640827672,0.582742634308833,7,7,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,0.3998200574806761,0.030337926147209836,0.3694821313334663,0.04748408495740898,7,7,13,q7_13
episode,v82_integrated,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0.5,0.6141906919616923,-0.1141906919616923,0.6259149529452771,4,7,10,q7_13
episode,v82_integrated,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0.5168650793650794,0.5951930014430015,-0.07832792207792205,0.5913600288600289,7,7,13,q7_13
episode,v82_integrated,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0.4817400644468314,0.3861439312567132,0.09559613319011816,0.39312567132116,7,7,13,q7_13
episode,v82_integrated,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0.525062656641604,0.7798066595059076,-0.2547440028643036,0.7916219119226637,7,7,13,q7_13
episode,v82_integrated,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.5408293533642612,0.5464905981542062,-0.005661244789945024,0.5467698609005559,7,7,13,q7_13
