method,calibration,alpha,scope,tp,fp,failures,successes,active_failure,active_success,recall,fpr,recall_lo,recall_hi,fpr_lo,fpr_hi
v82_reference,episode,0.005,all,392,76,564,15436,274,0,0.6950354609929078,0.004923555325213786,0.6220366035326665,0.7652878205630931,0.002674538862298516,0.007816360274356384
v82_reference,episode,0.005,libero_goal,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256,0.5099047287091902,1.0,0.0002553593560742932,0.003338662787815329
v82_reference,episode,0.005,libero_long,201,54,274,3726,274,0,0.7335766423357665,0.014492753623188406,0.7002519379844961,0.8691111709154964,0.0056334789524063135,0.025861794133499014
v82_reference,episode,0.005,libero_object,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448,0.2553191489361702,0.6470985691573925,0.0007606442668846744,0.007573892803317191
v82_reference,episode,0.005,libero_spatial,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067,0.42371251629726203,0.768295892169448,0.0,0.0012976901116013497
recent4,episode,0.005,all,392,76,564,15436,274,0,0.6950354609929078,0.004923555325213786,0.6220366035326665,0.7652878205630931,0.002674538862298516,0.007816360274356384
recent4,episode,0.005,libero_goal,83,6,106,3894,0,0,0.7830188679245284,0.0015408320493066256,0.5099047287091902,1.0,0.0002553593560742932,0.003338662787815329
recent4,episode,0.005,libero_long,201,54,274,3726,274,0,0.7335766423357665,0.014492753623188406,0.7002519379844961,0.8691111709154964,0.0056334789524063135,0.025861794133499014
recent4,episode,0.005,libero_object,20,14,44,3956,0,0,0.45454545454545453,0.003538928210313448,0.2553191489361702,0.6470985691573925,0.0007606442668846744,0.007573892803317191
recent4,episode,0.005,libero_spatial,88,2,140,3860,0,0,0.6285714285714286,0.0005181347150259067,0.42371251629726203,0.768295892169448,0.0,0.0012976901116013497
absolute_gate,episode,0.005,all,350,81,564,15436,274,0,0.6205673758865248,0.005247473438714693,0.5562378693266293,0.6847578115018241,0.002947322563327528,0.00797191749920233
absolute_gate,episode,0.005,libero_goal,82,23,106,3894,0,0,0.7735849056603774,0.005906522855675398,0.665,1.0,0.0015205174851629505,0.011683561382016632
absolute_gate,episode,0.005,libero_long,190,56,274,3726,274,0,0.6934306569343066,0.015029522275899088,0.6428571428571429,0.8103448275862069,0.007083462829422158,0.02498612263429219
absolute_gate,episode,0.005,libero_object,23,1,44,3956,0,0,0.5227272727272727,0.0002527805864509606,0.3055253623188406,0.6739256825075833,0.0,0.0007600709399543957
absolute_gate,episode,0.005,libero_spatial,55,1,140,3860,0,0,0.39285714285714285,0.00025906735751295336,0.2807017543859649,0.5495819972514886,0.0,0.0007867820613690008
