global_row,source,episode,init_state_id,noise_seed,failure,length,primary_failure_reason,v82_first,diagnostic_no_acc_confirmation_first,cause,freeze_raw_first,freeze_smooth_first,freeze_confirmed_first,freeze_longest_smooth_run,acceleration_raw_first,acceleration_smooth_first,acceleration_confirmed_first,acceleration_longest_smooth_run,periodicity_raw_first,periodicity_smooth_first,periodicity_confirmed_first,periodicity_longest_smooth_run,frontback_first,frontback_max_margin,curvature_first,curvature_max_margin,release_query,release_count,observed_goal_true,release_to_alarm_queries
27600,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,0,0,1008,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.10457383113106092,-1,-0.3742370140204827,-1,0,False,
27601,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,1,0,1009,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.10399739399055641,-1,-0.40620545081918435,-1,0,False,
27602,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,2,0,1010,False,14,,-1,-1,,-1,-1,-1,0,8,-1,-1,0,-1,-1,-1,0,-1,-0.060568199778596565,-1,-0.34028250352976225,-1,0,False,
27603,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,3,0,1011,False,14,,-1,-1,,-1,-1,-1,0,9,-1,-1,0,-1,-1,-1,0,-1,-0.040812914234896504,-1,-0.28826550565163295,-1,0,False,
27604,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,4,0,1012,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.11857135238250098,-1,-0.3516192629216239,-1,0,False,
27605,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,5,0,1013,False,11,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,9,-1,-1,0,-1,-0.08395417193820079,-1,-0.3789064563276867,-1,0,False,
27606,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,6,0,1014,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.12705254012842973,-1,-0.3819846512575944,-1,0,False,
27607,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,7,0,1015,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.11323736363649368,-1,-0.34834061872245126,-1,0,False,
27608,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,8,1,1008,False,10,,-1,-1,,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-0.13283400194967784,-1,-0.3035119936773214,-1,0,False,
27609,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,9,1,1009,False,10,,-1,-1,,-1,-1,-1,0,9,-1,-1,0,-1,-1,-1,0,-1,-0.1292034926470369,-1,-0.3887001078116397,-1,0,False,
