cohort,query,representation,layer,paired_states,total_variation,success_top4,failure_top4
B,0,load,2,11,0.0014386465772986412,28 13 20 1,28 13 20 1
B,0,load,3,11,0.0013773133978247643,27 26 22 9,27 26 9 22
B,0,load,4,11,0.001755105797201395,28 25 29 2,28 25 29 2
B,0,load,5,11,0.001571696251630783,29 2 25 8,29 2 25 8
B,0,load,12,11,0.0014135055243968964,24 29 2 8,24 2 29 8
B,0,load,13,11,0.0015511931851506233,16 4 30 23,16 4 30 23
B,0,load,14,11,0.0012103058397769928,19 0 22 26,19 0 22 26
B,0,load,15,11,0.0012255124747753143,17 13 31 27,17 31 13 22
B,0,hard_load,2,11,0.060600657016038895,13 28 1 21,13 28 1 12
B,0,hard_load,3,11,0.05941016227006912,27 9 19 31,27 9 31 19
B,0,hard_load,4,11,0.06435605883598328,28 25 20 9,28 25 9 20
B,0,hard_load,5,11,0.05895563215017319,29 2 8 25,29 2 25 8
B,0,hard_load,12,11,0.05200216546654701,24 29 4 19,24 29 2 4
B,0,hard_load,13,11,0.04118508845567703,30 4 16 25,30 16 4 25
B,0,hard_load,14,11,0.04122836887836456,19 0 26 22,19 0 26 22
B,0,hard_load,15,11,0.056006498634815216,17 13 22 27,17 13 22 31
B,4,load,2,11,0.002502252347767353,8 13 16 30,8 13 30 16
B,4,load,3,11,0.0033746017143130302,23 7 8 19,23 8 7 19
B,4,load,4,11,0.002558663487434387,17 23 28 27,17 23 27 28
B,4,load,5,11,0.00316705834120512,29 31 13 23,31 29 13 23
B,4,load,12,11,0.005518817342817783,23 29 5 7,23 29 5 7
B,4,load,13,11,0.005506531335413456,24 18 30 13,24 18 13 30
B,4,load,14,11,0.006088209338486195,23 20 5 31,23 5 20 31
B,4,load,15,11,0.006270838435739279,1 13 19 24,1 13 19 12
B,4,hard_load,2,11,0.06395021080970764,8 13 30 5,8 13 30 16
B,4,hard_load,3,11,0.06252707540988922,23 8 7 19,23 8 19 7
B,4,hard_load,4,11,0.05235391855239868,17 23 11 21,17 23 21 11
B,4,hard_load,5,11,0.04062770679593086,31 29 23 16,31 29 23 13
B,4,hard_load,12,11,0.05976732075214386,7 23 29 5,23 5 29 7
B,4,hard_load,13,11,0.08926407992839813,24 18 3 30,24 3 18 13
B,4,hard_load,14,11,0.09352272748947144,23 20 5 3,23 5 20 1
B,4,hard_load,15,11,0.08624458312988281,1 13 10 7,1 13 12 19
B,6,load,2,11,0.003041050396859646,26 8 1 2,26 8 2 1
B,6,load,3,11,0.003804177977144718,5 31 25 11,5 11 31 25
B,6,load,4,11,0.004924767650663853,27 29 11 5,6 11 29 10
B,6,load,5,11,0.0042435163632035255,13 24 5 23,13 24 23 5
B,6,load,12,11,0.009459342807531357,7 10 16 4,7 16 10 4
B,6,load,13,11,0.01126808114349842,12 29 1 17,29 12 5 1
B,6,load,14,11,0.00930042564868927,29 10 31 9,29 10 16 31
B,6,load,15,11,0.010950470343232155,14 17 29 21,14 17 29 1
B,6,hard_load,2,11,0.08663419634103775,26 8 6 22,26 25 8 2
B,6,hard_load,3,11,0.07217533886432648,5 31 25 11,5 31 25 11
B,6,hard_load,4,11,0.0937662422657013,29 11 27 5,29 11 6 5
B,6,hard_load,5,11,0.07545993477106094,13 24 23 30,13 24 23 5
B,6,hard_load,12,11,0.11465908586978912,7 10 16 27,7 10 16 27
B,6,hard_load,13,11,0.1516612470149994,1 12 29 17,5 29 1 26
B,6,hard_load,14,11,0.10996752977371216,29 9 10 8,10 8 29 4
B,6,hard_load,15,11,0.14089825749397278,14 17 29 30,17 14 10 30
B,8,load,2,11,0.007643374614417553,3 18 16 0,3 16 23 26
B,8,load,3,11,0.008471634238958359,18 20 26 0,26 18 28 0
B,8,load,4,11,0.008379935286939144,28 0 25 27,0 28 29 17
